CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,8.0,10.0,92.0,172.5,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,61.0,73.0,207.0,212.0,
2,35,17.0,8.0,7.0,0.0,138.0,,,0.0,2.8,0.0,0.0,0.0,4.2,0.0,0.0,6.0,11.0,147.0,151.0,
3,55,45.0,32.0,13.0,92.0,172.5,,,2.2,1.6,1.2,0.2,3.0,2.6,1.7,0.4,71.0,72.0,169.0,170.0,
4,55,20.0,24.0,19.0,92.0,172.5,,,5.0,0.0,2.2,0.3,6.9,0.0,3.9,0.6,67.0,60.0,207.0,196.0,
5,15,30.0,16.0,26.0,0.0,138.0,,,7.4,0.0,3.0,0.0,11.6,0.0,4.0,0.0,13.0,13.0,169.0,176.0,
6,25,30.0,16.0,3.0,0.0,138.0,,,1.1,0.0,0.0,0.1,1.4,0.0,0.0,0.4,41.0,39.0,163.0,164.0,
7,20,50.0,8.0,5.0,0.0,138.0,,,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,26.0,27.0,144.0,139.0,
8,10,43.0,16.0,9.0,0.0,138.0,,,0.0,2.5,1.1,0.0,0.0,3.5,1.9,0.0,40.0,42.0,151.0,154.0,
9,55,60.0,24.0,16.0,0.0,138.0,,,4.6,0.0,1.6,0.2,5.6,0.0,2.4,1.6,44.0,40.0,156.0,162.0,
10,30,60.0,32.0,16.0,92.0,172.5,,,2.7,1.8,1.7,0.2,4.4,3.1,1.3,0.7,80.0,80.0,176.0,180.0,
11,20,65.0,8.0,12.0,0.0,138.0,,,0.0,4.8,0.0,0.0,0.0,7.2,0.0,0.0,33.0,32.0,157.0,157.0,
12,50,35.0,24.0,19.0,0.0,138.0,,,4.5,0.0,2.6,0.5,6.4,0.0,4.0,1.0,3.0,6.0,143.0,136.0,
13,30,25.0,24.0,23.0,92.0,172.5,,,5.2,0.0,2.5,1.5,8.9,0.0,3.2,1.7,71.0,71.0,209.0,214.0,
14,15,10.0,8.0,20.0,0.0,138.0,,,0.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,30.0,24.0,195.0,197.0,
15,30,5.0,32.0,8.0,0.0,138.0,,,1.6,1.0,0.5,0.1,2.0,1.6,0.9,0.2,28.0,21.0,161.0,161.0,
16,10,20.0,8.0,19.0,0.0,138.0,,,7.6,0.0,0.0,0.0,11.4,0.0,0.0,0.0,22.0,19.0,141.0,149.0,
17,5,30.0,16.0,2.0,92.0,172.5,,,0.0,0.5,0.3,0.0,0.0,0.7,0.5,0.0,53.0,50.0,196.0,198.0,
18,20,40.0,24.0,12.0,0.0,138.0,,,2.4,2.1,0.0,0.4,4.1,2.7,0.0,0.4,41.0,46.0,141.0,139.0,
19,15,60.0,16.0,17.0,0.0,138.0,,,0.0,6.5,0.0,0.3,0.0,8.3,0.0,1.9,24.0,20.0,149.0,152.0,
20,45,65.0,16.0,9.0,92.0,172.5,,,0.0,0.0,2.8,0.8,0.0,0.0,4.6,0.8,72.0,79.0,184.0,187.0,
21,45,20.0,32.0,11.0,0.0,138.0,,,2.3,1.2,0.8,0.1,2.7,1.9,1.4,0.6,17.0,13.0,145.0,142.0,
22,45,10.0,8.0,18.0,0.0,138.0,,,7.2,0.0,0.0,0.0,10.8,0.0,0.0,0.0,40.0,44.0,162.0,159.0,
23,55,5.0,16.0,29.0,0.0,138.0,,,8.8,0.0,2.8,0.0,12.0,0.0,5.4,0.0,34.0,26.0,164.0,164.0,
24,65,35.0,8.0,3.0,92.0,172.5,,,0.0,0.0,0.0,1.2,0.0,0.0,0.0,1.8,48.0,56.0,200.0,202.0,
25,65,20.0,32.0,6.0,0.0,138.0,,,1.0,0.7,0.4,0.2,1.5,1.2,0.6,0.4,49.0,48.0,189.0,193.0,
26,45,30.0,24.0,17.0,92.0,172.5,,,3.9,2.4,0.0,0.5,5.2,4.1,0.0,0.9,79.0,80.0,187.0,191.0,
27,35,40.0,8.0,16.0,0.0,138.0,,,6.4,0.0,0.0,0.0,9.6,0.0,0.0,0.0,3.0,0.0,147.0,149.0,
28,41,37.0,8.0,16.0,0.0,138.0,,,6.4,0.0,0.0,0.0,9.6,0.0,0.0,0.0,2.0,2.0,143.0,137.0,
29,64,42.0,8.0,9.0,0.0,138.0,,,0.0,3.6,0.0,0.0,0.0,5.4,0.0,0.0,18.0,25.0,159.0,157.0,
30,40,60.0,16.0,21.0,0.0,138.0,,,6.3,0.0,0.0,2.1,10.3,0.0,0.0,2.3,17.0,20.0,135.0,136.0,
31,31,52.0,8.0,27.0,0.0,138.0,,,0.0,0.0,10.8,0.0,0.0,0.0,16.2,0.0,9.0,14.0,143.0,138.0,
32,35,69.0,16.0,23.0,92.0,172.5,,,5.2,4.0,0.0,0.0,8.2,5.6,0.0,0.0,55.0,62.0,196.0,187.0,
33,53,52.0,16.0,11.0,0.0,138.0,,,2.4,2.0,0.0,0.0,3.9,2.7,0.0,0.0,19.0,19.0,165.0,172.0,
34,65,55.0,32.0,14.0,92.0,172.5,,,2.6,1.7,1.0,0.3,4.3,2.7,1.1,0.3,70.0,63.0,181.0,183.0,
35,63,65.0,8.0,8.0,0.0,138.0,,,0.0,3.2,0.0,0.0,0.0,4.8,0.0,0.0,44.0,42.0,178.0,189.0,
36,2,60.0,16.0,5.0,0.0,138.0,,,0.0,1.1,0.9,0.0,0.0,2.0,1.0,0.0,36.0,38.0,187.0,182.0,
37,20,20.0,24.0,8.0,92.0,172.5,,,1.9,0.0,1.0,0.3,3.0,0.0,1.4,0.5,83.0,81.0,195.0,193.0,
38,5,5.0,24.0,16.0,0.0,138.0,,,3.2,2.6,0.0,0.7,4.7,4.4,0.0,0.5,40.0,33.0,159.0,153.0,
39,60,12.0,24.0,31.0,0.0,138.0,,,5.7,5.0,1.7,0.0,8.6,5.6,4.4,0.0,22.0,22.0,199.0,187.0,
40,40,25.0,32.0,9.0,0.0,138.0,,,1.3,1.2,0.8,0.3,2.4,2.0,0.9,0.1,30.0,38.0,145.0,144.0,
41,42,7.0,8.0,5.0,0.0,138.0,,,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,33.0,40.0,165.0,162.0,
42,24,12.0,8.0,5.0,0.0,138.0,,,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,11.0,17.0,169.0,162.0,
43,23,3.0,32.0,7.0,92.0,172.5,,,1.2,0.8,0.7,0.1,1.6,1.4,0.7,0.4,82.0,72.0,185.0,192.0,
44,11,14.0,16.0,18.0,0.0,138.0,,,4.5,2.7,0.0,0.0,6.5,4.3,0.0,0.0,19.0,27.0,145.0,151.0,
45,6,38.0,8.0,16.0,0.0,138.0,,,0.0,0.0,0.0,6.4,0.0,0.0,0.0,9.6,18.0,27.0,174.0,171.0,
46,2,48.0,24.0,1.0,92.0,172.5,,,0.2,0.1,0.1,0.0,0.3,0.2,0.1,0.1,58.0,58.0,187.0,183.0,
47,8,56.0,8.0,27.0,0.0,138.0,,,0.0,0.0,0.0,10.8,0.0,0.0,0.0,16.2,29.0,33.0,184.0,178.0,
48,13,52.0,16.0,36.0,92.0,172.5,,,10.3,0.0,4.1,0.0,16.3,0.0,5.3,0.0,61.0,52.0,197.0,198.0,
49,6,68.0,16.0,30.0,0.0,138.0,,,0.0,7.2,4.8,0.0,0.0,12.0,6.0,0.0,71.0,71.0,158.0,156.0,
50,47,47.0,8.0,13.0,92.0,172.5,,,5.2,0.0,0.0,0.0,7.8,0.0,0.0,0.0,72.0,71.0,184.0,183.0,
51,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
capacity,200,,,,,,,,,,,,,,,,,,,,
