CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,8.0,10.0,0.0,600.0,,,0.0,4.0,0.0,6.0,0.0,0.0,994.0,978.0,
2,35,17.0,8.0,7.0,0.0,600.0,,,0.0,2.8,0.0,4.2,0.0,0.0,979.0,986.0,
3,55,45.0,16.0,13.0,0.0,600.0,,,3.5,1.7,4.8,3.0,0.0,0.0,975.0,993.0,
4,55,20.0,8.0,19.0,650.0,1000.0,,,0.0,7.6,0.0,11.4,675.0,665.0,809.0,801.0,
5,15,30.0,16.0,26.0,0.0,600.0,,,6.2,4.2,9.6,6.0,0.0,0.0,978.0,974.0,
6,25,30.0,16.0,3.0,0.0,600.0,,,0.8,0.4,1.1,0.7,405.0,413.0,523.0,516.0,
7,20,50.0,8.0,5.0,0.0,600.0,,,0.0,2.0,0.0,3.0,0.0,0.0,991.0,990.0,
8,10,43.0,16.0,9.0,0.0,600.0,,,2.6,1.0,2.9,2.5,397.0,400.0,482.0,488.0,
9,55,60.0,16.0,16.0,0.0,600.0,,,4.2,2.2,5.7,3.9,396.0,395.0,501.0,504.0,
10,30,60.0,16.0,16.0,400.0,750.0,,,3.5,2.9,5.3,4.3,576.0,574.0,634.0,632.0,
11,20,65.0,8.0,12.0,0.0,600.0,,,0.0,4.8,0.0,7.2,205.0,202.0,331.0,333.0,
12,50,35.0,8.0,19.0,0.0,600.0,,,7.6,0.0,11.4,0.0,0.0,0.0,994.0,998.0,
13,30,25.0,8.0,23.0,650.0,1000.0,,,0.0,9.2,0.0,13.8,680.0,679.0,831.0,838.0,
14,15,10.0,16.0,20.0,0.0,600.0,,,4.9,3.1,8.2,3.8,0.0,0.0,974.0,979.0,
15,30,5.0,8.0,8.0,0.0,600.0,,,0.0,3.2,0.0,4.8,165.0,167.0,312.0,305.0,
16,10,20.0,16.0,19.0,0.0,600.0,,,5.4,2.2,6.9,4.5,0.0,0.0,997.0,983.0,
17,5,30.0,16.0,2.0,650.0,1000.0,,,0.6,0.2,0.6,0.6,723.0,725.0,875.0,883.0,
18,20,40.0,16.0,12.0,0.0,600.0,,,3.5,1.3,4.8,2.4,0.0,0.0,993.0,977.0,
19,15,60.0,8.0,17.0,0.0,600.0,,,6.8,0.0,10.2,0.0,0.0,0.0,992.0,979.0,
20,45,65.0,8.0,9.0,0.0,600.0,,,0.0,3.6,0.0,5.4,0.0,0.0,997.0,966.0,
21,45,20.0,8.0,11.0,0.0,600.0,,,4.4,0.0,6.6,0.0,0.0,0.0,999.0,1000.0,
22,45,10.0,16.0,18.0,0.0,600.0,,,4.5,2.7,6.6,4.2,401.0,406.0,499.0,497.0,
23,55,5.0,8.0,29.0,0.0,600.0,,,11.6,0.0,17.4,0.0,196.0,203.0,326.0,325.0,
24,65,35.0,16.0,3.0,0.0,600.0,,,0.7,0.5,1.0,0.8,0.0,0.0,971.0,963.0,
25,65,20.0,8.0,6.0,650.0,1000.0,,,0.0,2.4,0.0,3.6,810.0,805.0,969.0,958.0,
26,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
capacity,1000,,,,,,,,,,,,,,,,
