CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,8.0,10.0,0.0,600.0,,,4.0,0.0,6.0,0.0,133.0,129.0,994.0,984.0,
2,35,17.0,16.0,7.0,0.0,600.0,,,2.0,0.8,2.8,1.4,15.0,8.0,839.0,821.0,
3,55,45.0,16.0,13.0,400.0,750.0,,,3.5,1.7,4.5,3.3,262.0,251.0,868.0,840.0,
4,55,20.0,16.0,19.0,650.0,1000.0,,,3.9,3.7,6.1,5.3,668.0,671.0,801.0,809.0,
5,15,30.0,8.0,26.0,0.0,600.0,,,10.4,0.0,15.6,0.0,3.0,10.0,962.0,913.0,
6,25,30.0,8.0,3.0,0.0,600.0,,,0.0,1.2,0.0,1.8,348.0,344.0,579.0,579.0,
7,20,50.0,16.0,5.0,0.0,600.0,,,1.1,0.9,2.1,0.9,58.0,17.0,708.0,670.0,
8,10,43.0,8.0,9.0,0.0,600.0,,,3.6,0.0,5.4,0.0,388.0,384.0,498.0,498.0,
9,55,60.0,8.0,16.0,0.0,600.0,,,0.0,6.4,0.0,9.6,386.0,383.0,508.0,507.0,
10,30,60.0,16.0,16.0,400.0,750.0,,,4.4,2.0,6.1,3.5,513.0,499.0,694.0,705.0,
11,20,65.0,8.0,12.0,0.0,600.0,,,4.8,0.0,7.2,0.0,206.0,197.0,325.0,335.0,
12,50,35.0,16.0,19.0,0.0,600.0,,,5.1,2.5,7.8,3.6,15.0,7.0,766.0,757.0,
13,30,25.0,8.0,23.0,650.0,1000.0,,,0.0,9.2,0.0,13.8,684.0,682.0,826.0,825.0,
14,15,10.0,8.0,20.0,0.0,600.0,,,0.0,8.0,0.0,12.0,26.0,25.0,704.0,760.0,
15,30,5.0,16.0,8.0,0.0,600.0,,,2.1,1.1,2.9,1.9,170.0,172.0,309.0,311.0,
16,10,20.0,8.0,19.0,0.0,600.0,,,0.0,7.6,0.0,11.4,89.0,77.0,568.0,552.0,
17,5,30.0,8.0,2.0,650.0,1000.0,,,0.0,0.8,0.0,1.2,654.0,661.0,947.0,944.0,
18,20,40.0,16.0,12.0,0.0,600.0,,,2.8,2.0,4.3,2.9,205.0,224.0,600.0,596.0,
19,15,60.0,8.0,17.0,0.0,600.0,,,6.8,0.0,10.2,0.0,61.0,73.0,583.0,577.0,
20,45,65.0,16.0,9.0,400.0,750.0,,,1.9,1.7,3.9,1.5,404.0,414.0,847.0,849.0,
21,45,20.0,16.0,11.0,0.0,600.0,,,2.8,1.6,4.5,2.1,18.0,18.0,774.0,784.0,
22,45,10.0,8.0,18.0,0.0,600.0,,,7.2,0.0,10.8,0.0,346.0,335.0,555.0,572.0,
23,55,5.0,8.0,29.0,0.0,600.0,,,0.0,11.6,0.0,17.4,198.0,197.0,336.0,333.0,
24,65,35.0,16.0,3.0,400.0,750.0,,,0.7,0.5,1.2,0.6,383.0,383.0,964.0,997.0,
25,65,20.0,8.0,6.0,650.0,1000.0,,,2.4,0.0,3.6,0.0,817.0,817.0,967.0,964.0,
26,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
capacity,1000,,,,,,,,,,,,,,,,
