CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,52,75.0,8.0,10.0,0.0,2034.0,,,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,224.0,230.0,572.0,582.0,
2,45,70.0,32.0,30.0,0.0,2034.0,,,5.5,3.6,2.6,0.3,7.9,4.8,3.9,1.3,117.0,123.0,453.0,480.0,
3,62,69.0,24.0,10.0,0.0,2034.0,,,0.0,2.3,1.0,0.7,0.0,3.4,1.9,0.7,1080.0,1079.0,1413.0,1425.0,
4,60,66.0,32.0,10.0,0.0,2034.0,,,1.8,1.5,0.7,0.1,2.4,1.8,1.2,0.6,1173.0,1171.0,1509.0,1512.0,
5,42,65.0,24.0,10.0,0.0,2034.0,,,2.3,1.6,0.0,0.1,2.8,2.6,0.0,0.6,3.0,1.0,350.0,360.0,
6,16,42.0,8.0,20.0,0.0,2034.0,,,0.0,0.0,8.0,0.0,0.0,0.0,12.0,0.0,415.0,393.0,745.0,739.0,
7,58,70.0,32.0,20.0,0.0,2034.0,,,3.4,2.7,1.0,0.8,6.2,3.8,1.7,0.3,990.0,962.0,1339.0,1339.0,
8,34,60.0,32.0,20.0,2203.5,3390.0,,,3.5,2.0,1.8,0.7,4.4,4.0,2.4,1.2,2793.0,2803.0,3142.0,3144.0,
9,28,70.0,16.0,10.0,2203.5,3390.0,,,2.7,0.0,1.3,0.0,4.1,0.0,1.9,0.0,2505.0,2502.0,2847.0,2855.0,
10,35,66.0,16.0,10.0,2203.5,3390.0,,,0.0,3.0,0.0,1.0,0.0,5.1,0.0,0.9,2698.0,2702.0,3032.0,3051.0,
11,35,69.0,8.0,10.0,2203.5,3390.0,,,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,2608.0,2594.0,2951.0,2964.0,
