CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 21
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,32.0,10.0,149.5,230.0,,,1.5,1.2,0.8,0.4,2.8,1.7,0.8,0.8,123.0,125.0,204.0,205.0,
2,35,17.0,24.0,7.0,0.0,138.0,,,1.7,1.0,0.0,0.2,2.3,1.7,0.0,0.2,13.0,18.0,90.0,92.0,
3,55,45.0,24.0,13.0,0.0,138.0,,,2.9,2.1,0.0,0.2,3.9,2.9,0.0,1.0,106.0,104.0,135.0,135.0,
4,55,20.0,32.0,19.0,92.0,172.5,,,3.4,2.1,1.5,0.6,4.8,3.0,2.2,1.4,58.0,61.0,196.0,203.0,
5,15,30.0,24.0,26.0,0.0,138.0,,,6.7,0.0,2.6,1.1,8.9,0.0,4.3,2.4,13.0,19.0,113.0,107.0,
6,25,30.0,24.0,3.0,0.0,138.0,,,0.6,0.4,0.2,0.0,0.9,0.7,0.3,0.0,48.0,50.0,154.0,162.0,
7,20,50.0,16.0,5.0,0.0,138.0,,,0.0,1.4,0.0,0.6,0.0,2.4,0.0,0.6,65.0,65.0,105.0,108.0,
8,10,43.0,32.0,9.0,0.0,138.0,,,1.6,1.1,0.7,0.3,2.3,1.7,1.3,0.1,57.0,55.0,145.0,143.0,
9,55,60.0,8.0,16.0,0.0,138.0,,,0.0,6.4,0.0,0.0,0.0,9.6,0.0,0.0,48.0,46.0,153.0,155.0,
10,30,60.0,16.0,16.0,92.0,172.5,,,4.6,0.0,1.8,0.0,6.5,0.0,3.1,0.0,98.0,98.0,156.0,161.0,
11,20,65.0,24.0,12.0,0.0,138.0,,,0.0,2.4,1.4,1.1,0.0,5.0,1.9,0.2,29.0,25.0,157.0,157.0,
12,50,35.0,32.0,19.0,0.0,138.0,,,3.2,2.2,1.8,0.5,5.0,3.6,2.4,0.4,35.0,35.0,98.0,97.0,
13,30,25.0,32.0,23.0,92.0,172.5,,,3.9,3.1,1.8,0.4,5.5,4.1,3.0,1.2,69.0,60.0,219.0,208.0,
14,15,10.0,16.0,20.0,0.0,138.0,,,0.0,0.0,6.8,1.2,0.0,0.0,9.4,2.6,30.0,31.0,146.0,147.0,
15,30,5.0,16.0,8.0,0.0,138.0,,,0.0,2.0,1.2,0.0,0.0,2.7,2.1,0.0,21.0,17.0,160.0,154.0,
16,10,20.0,16.0,19.0,0.0,138.0,,,4.4,3.2,0.0,0.0,7.3,4.1,0.0,0.0,52.0,51.0,107.0,108.0,
17,5,30.0,8.0,2.0,0.0,138.0,,,0.8,0.0,0.0,0.0,1.2,0.0,0.0,0.0,46.0,51.0,193.0,189.0,
18,20,40.0,24.0,12.0,0.0,138.0,,,0.0,2.5,1.6,0.6,0.0,4.3,1.8,1.1,74.0,74.0,108.0,107.0,
19,15,60.0,8.0,17.0,0.0,138.0,,,0.0,6.8,0.0,0.0,0.0,10.2,0.0,0.0,52.0,50.0,108.0,113.0,
20,45,65.0,32.0,9.0,92.0,172.5,,,1.4,1.3,0.6,0.4,2.6,1.6,1.0,0.3,108.0,107.0,152.0,156.0,
21,45,20.0,16.0,11.0,0.0,138.0,,,0.0,0.0,3.6,0.8,0.0,0.0,5.5,1.1,34.0,31.0,97.0,100.0,
22,45,10.0,16.0,18.0,0.0,138.0,,,0.0,0.0,6.3,0.9,0.0,0.0,7.6,3.2,59.0,53.0,152.0,148.0,
23,55,5.0,16.0,29.0,0.0,138.0,,,10.1,0.0,0.0,1.5,13.4,0.0,0.0,4.0,24.0,33.0,157.0,160.0,
24,65,35.0,16.0,3.0,92.0,172.5,,,0.0,0.0,1.0,0.2,0.0,0.0,1.3,0.5,115.0,112.0,197.0,197.0,
25,65,20.0,32.0,6.0,0.0,138.0,,,1.1,0.7,0.4,0.3,1.7,1.1,0.6,0.2,35.0,42.0,192.0,187.0,
