CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,41,49.0,16.0,10.0,650.0,1000.0,,,6.2,3.8,703.0,858.0,
2,35,17.0,16.0,7.0,0.0,600.0,,,4.2,2.8,141.0,294.0,
3,55,45.0,16.0,13.0,0.0,600.0,,,8.6,4.4,523.0,589.0,
4,55,20.0,16.0,19.0,650.0,1000.0,,,12.5,6.5,678.0,806.0,
5,15,30.0,8.0,26.0,0.0,600.0,,,26.0,0.0,23.0,226.0,
6,25,30.0,16.0,3.0,0.0,600.0,,,1.8,1.2,411.0,523.0,
7,20,50.0,16.0,5.0,0.0,600.0,,,2.6,2.4,323.0,414.0,
8,10,43.0,16.0,9.0,0.0,600.0,,,5.0,4.0,403.0,483.0,
9,55,60.0,16.0,16.0,0.0,600.0,,,8.9,7.1,400.0,502.0,
10,30,60.0,16.0,16.0,400.0,750.0,,,9.6,6.4,575.0,637.0,
11,20,65.0,16.0,12.0,0.0,600.0,,,7.6,4.4,194.0,326.0,
12,50,35.0,8.0,19.0,0.0,600.0,,,19.0,0.0,224.0,351.0,
13,30,25.0,8.0,23.0,650.0,1000.0,,,23.0,0.0,681.0,832.0,
14,15,10.0,8.0,20.0,0.0,600.0,,,0.0,20.0,12.0,256.0,
15,30,5.0,16.0,8.0,0.0,600.0,,,5.5,2.5,170.0,300.0,
16,10,20.0,16.0,19.0,0.0,600.0,,,9.9,9.1,266.0,381.0,
17,5,30.0,8.0,2.0,650.0,1000.0,,,2.0,0.0,724.0,878.0,
18,20,40.0,16.0,12.0,0.0,600.0,,,7.2,4.8,375.0,437.0,
19,15,60.0,8.0,17.0,0.0,600.0,,,0.0,17.0,266.0,379.0,
20,45,65.0,16.0,9.0,400.0,750.0,,,5.3,3.7,579.0,668.0,
21,45,20.0,16.0,11.0,0.0,600.0,,,6.2,4.8,212.0,335.0,
22,45,10.0,8.0,18.0,0.0,600.0,,,18.0,0.0,401.0,494.0,
23,55,5.0,8.0,29.0,0.0,600.0,,,29.0,0.0,195.0,333.0,
24,65,35.0,16.0,3.0,650.0,1000.0,,,1.7,1.3,697.0,850.0,
25,65,20.0,8.0,6.0,650.0,1000.0,,,6.0,0.0,805.0,966.0,
26,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
capacity,1000,,,,,,,,,,,,
