CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,45,68.0,16.0,10.0,803.4,1236.0,,,2.7,1.3,4.0,2.0,885.0,882.0,1001.0,998.0,
2,45,70.0,8.0,30.0,494.4,927.0,,,12.0,0.0,18.0,0.0,796.0,793.0,902.0,896.0,
3,42,66.0,8.0,10.0,0.0,741.6,,,0.0,4.0,0.0,6.0,9.0,9.0,197.0,189.0,
4,42,68.0,16.0,10.0,494.4,927.0,,,2.4,1.6,3.9,2.1,691.0,698.0,813.0,810.0,
5,42,65.0,16.0,10.0,0.0,741.6,,,2.1,1.9,3.5,2.5,4.0,9.0,120.0,126.0,
6,40,69.0,8.0,20.0,494.4,927.0,,,8.0,0.0,12.0,0.0,580.0,572.0,758.0,745.0,
7,40,66.0,8.0,20.0,0.0,741.6,,,8.0,0.0,12.0,0.0,137.0,142.0,255.0,262.0,
8,38,68.0,16.0,20.0,0.0,741.6,,,4.8,3.2,7.2,4.8,208.0,220.0,362.0,365.0,
9,38,70.0,8.0,10.0,0.0,741.6,,,0.0,4.0,0.0,6.0,487.0,485.0,646.0,650.0,
10,35,66.0,8.0,10.0,0.0,741.6,,,0.0,4.0,0.0,6.0,326.0,321.0,437.0,443.0,
11,35,69.0,8.0,10.0,0.0,741.6,,,4.0,0.0,6.0,0.0,412.0,420.0,538.0,541.0,
12,25,85.0,8.0,20.0,494.4,927.0,,,0.0,8.0,0.0,12.0,610.0,603.0,757.0,761.0,
13,22,75.0,16.0,30.0,0.0,741.6,,,8.4,3.6,12.5,5.5,29.0,17.0,163.0,158.0,
14,22,85.0,16.0,10.0,0.0,741.6,,,2.4,1.6,3.9,2.1,530.0,536.0,653.0,651.0,
15,20,80.0,8.0,40.0,0.0,741.6,,,16.0,0.0,24.0,0.0,359.0,360.0,456.0,459.0,
16,20,85.0,8.0,40.0,0.0,741.6,,,16.0,0.0,24.0,0.0,445.0,441.0,563.0,564.0,
17,18,75.0,16.0,20.0,0.0,741.6,,,5.4,2.6,8.1,3.9,65.0,68.0,173.0,173.0,
18,15,75.0,8.0,20.0,0.0,741.6,,,0.0,8.0,0.0,12.0,128.0,127.0,302.0,297.0,
19,15,80.0,8.0,10.0,0.0,741.6,,,0.0,4.0,0.0,6.0,232.0,235.0,389.0,383.0,
20,30,50.0,8.0,10.0,0.0,741.6,,,4.0,0.0,6.0,0.0,5.0,5.0,141.0,148.0,
