CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,25,85.0,16.0,20.0,624.0,960.0,,,13.0,7.0,591.0,895.0,
2,22,75.0,8.0,30.0,0.0,576.0,,,30.0,0.0,56.0,366.0,
3,22,85.0,16.0,10.0,384.0,720.0,,,6.5,3.5,469.0,588.0,
4,20,80.0,8.0,40.0,384.0,720.0,,,40.0,0.0,399.0,930.0,
5,20,85.0,8.0,20.0,0.0,576.0,,,0.0,20.0,7.0,423.0,
6,18,75.0,16.0,20.0,0.0,576.0,,,13.4,6.6,245.0,662.0,
7,15,75.0,16.0,20.0,0.0,576.0,,,12.0,8.0,266.0,439.0,
8,15,80.0,8.0,10.0,0.0,576.0,,,0.0,10.0,255.0,591.0,
9,10,35.0,16.0,20.0,0.0,576.0,,,13.5,6.5,210.0,625.0,
10,10,40.0,8.0,30.0,384.0,720.0,,,30.0,0.0,463.0,692.0,
11,8,40.0,16.0,40.0,0.0,576.0,,,25.4,14.6,19.0,520.0,
12,8,45.0,16.0,20.0,0.0,576.0,,,11.4,8.6,157.0,400.0,
13,5,35.0,16.0,10.0,384.0,720.0,,,7.2,2.8,337.0,938.0,
14,5,45.0,8.0,10.0,0.0,576.0,,,10.0,0.0,23.0,460.0,
15,2,40.0,8.0,20.0,0.0,576.0,,,20.0,0.0,37.0,544.0,
16,0,40.0,8.0,20.0,0.0,576.0,,,20.0,0.0,197.0,433.0,
17,0,45.0,16.0,20.0,384.0,720.0,,,11.1,8.9,331.0,952.0,
18,44,5.0,8.0,20.0,0.0,576.0,,,20.0,0.0,337.0,454.0,
19,42,10.0,16.0,40.0,0.0,576.0,,,27.1,12.9,186.0,441.0,
20,42,15.0,16.0,10.0,384.0,720.0,,,6.3,3.7,511.0,688.0,
21,40,5.0,16.0,10.0,0.0,576.0,,,6.5,3.5,148.0,407.0,
22,40,15.0,8.0,40.0,0.0,576.0,,,0.0,40.0,233.0,613.0,
23,38,5.0,8.0,30.0,0.0,576.0,,,0.0,30.0,24.0,526.0,
24,38,15.0,16.0,10.0,624.0,960.0,,,6.5,3.5,578.0,889.0,
25,35,5.0,16.0,20.0,384.0,720.0,,,14.4,5.6,329.0,917.0,
26,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
capacity,1000,,,,,,,,,,,,
