CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 17
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,8.0,10.0,0.0,600.0,,,0.0,4.0,0.0,6.0,0.0,0.0,985.0,985.0,
2,35,17.0,16.0,7.0,0.0,600.0,,,1.9,0.9,2.2,2.0,0.0,0.0,985.0,994.0,
3,55,45.0,16.0,13.0,0.0,600.0,,,3.1,2.1,4.8,3.0,0.0,0.0,971.0,996.0,
4,55,20.0,8.0,19.0,650.0,1000.0,,,7.6,0.0,11.4,0.0,611.0,620.0,870.0,872.0,
5,15,30.0,16.0,26.0,0.0,600.0,,,7.2,3.2,10.4,5.2,0.0,0.0,976.0,980.0,
6,25,30.0,16.0,3.0,0.0,600.0,,,0.7,0.5,1.0,0.8,326.0,331.0,598.0,608.0,
7,20,50.0,8.0,5.0,0.0,600.0,,,2.0,0.0,3.0,0.0,0.0,0.0,998.0,985.0,
8,10,43.0,8.0,9.0,0.0,600.0,,,3.6,0.0,5.4,0.0,302.0,315.0,569.0,568.0,
9,55,60.0,16.0,16.0,0.0,600.0,,,3.7,2.7,5.6,4.0,325.0,317.0,593.0,582.0,
10,30,60.0,16.0,16.0,400.0,750.0,,,3.3,3.1,5.8,3.8,466.0,464.0,728.0,725.0,
11,20,65.0,16.0,12.0,0.0,600.0,,,3.2,1.6,4.6,2.6,131.0,133.0,389.0,394.0,
12,50,35.0,8.0,19.0,0.0,600.0,,,0.0,7.6,0.0,11.4,0.0,0.0,993.0,998.0,
13,30,25.0,8.0,23.0,650.0,1000.0,,,0.0,9.2,0.0,13.8,638.0,616.0,902.0,883.0,
14,15,10.0,16.0,20.0,0.0,600.0,,,4.6,3.4,8.1,3.9,0.0,0.0,978.0,961.0,
15,30,5.0,16.0,8.0,0.0,600.0,,,2.1,1.1,3.1,1.7,95.0,107.0,372.0,372.0,
16,10,20.0,8.0,19.0,0.0,600.0,,,0.0,7.6,0.0,11.4,0.0,0.0,974.0,971.0,
17,5,30.0,8.0,2.0,650.0,1000.0,,,0.0,0.8,0.0,1.2,664.0,659.0,938.0,943.0,
18,20,40.0,8.0,12.0,0.0,600.0,,,4.8,0.0,7.2,0.0,0.0,0.0,974.0,996.0,
19,15,60.0,16.0,17.0,0.0,600.0,,,3.9,2.9,6.4,3.8,0.0,0.0,996.0,980.0,
20,45,65.0,16.0,9.0,0.0,600.0,,,2.3,1.3,3.9,1.5,0.0,0.0,960.0,976.0,
21,45,20.0,8.0,11.0,0.0,600.0,,,4.4,0.0,6.6,0.0,0.0,0.0,974.0,1000.0,
22,45,10.0,8.0,18.0,0.0,600.0,,,0.0,7.2,0.0,10.8,332.0,322.0,594.0,574.0,
23,55,5.0,8.0,29.0,0.0,600.0,,,0.0,11.6,0.0,17.4,130.0,133.0,403.0,389.0,
24,65,35.0,16.0,3.0,0.0,600.0,,,0.8,0.4,1.3,0.5,0.0,0.0,998.0,980.0,
25,65,20.0,16.0,6.0,650.0,1000.0,,,1.3,1.1,2.2,1.4,706.0,700.0,963.0,961.0,
26,45,30.0,8.0,17.0,0.0,600.0,,,0.0,6.8,0.0,10.2,0.0,0.0,996.0,987.0,
27,35,40.0,16.0,16.0,0.0,600.0,,,3.7,2.7,6.5,3.1,50.0,39.0,323.0,320.0,
28,41,37.0,8.0,16.0,0.0,600.0,,,6.4,0.0,9.6,0.0,0.0,0.0,992.0,994.0,
29,64,42.0,16.0,9.0,0.0,600.0,,,2.6,1.0,3.6,1.8,0.0,0.0,961.0,989.0,
30,40,60.0,8.0,21.0,0.0,600.0,,,0.0,8.4,0.0,12.6,169.0,183.0,437.0,444.0,
31,31,52.0,16.0,27.0,0.0,600.0,,,7.0,3.8,10.3,5.9,0.0,0.0,987.0,988.0,
32,35,69.0,8.0,23.0,0.0,600.0,,,0.0,9.2,0.0,13.8,0.0,0.0,993.0,1000.0,
33,53,52.0,8.0,11.0,0.0,600.0,,,0.0,4.4,0.0,6.6,5.0,18.0,286.0,285.0,
34,65,55.0,8.0,14.0,0.0,600.0,,,0.0,5.6,0.0,8.4,0.0,0.0,967.0,959.0,
35,63,65.0,16.0,8.0,650.0,1000.0,,,1.9,1.3,2.6,2.2,626.0,630.0,870.0,882.0,
