CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,25,85.0,16.0,20.0,624.0,960.0,,,4.9,3.1,6.7,5.3,598.0,600.0,853.0,860.0,
2,22,75.0,8.0,30.0,0.0,576.0,,,12.0,0.0,18.0,0.0,86.0,82.0,356.0,340.0,
3,22,85.0,16.0,10.0,384.0,720.0,,,2.5,1.5,4.0,2.0,394.0,396.0,666.0,673.0,
4,20,80.0,8.0,40.0,624.0,960.0,,,16.0,0.0,24.0,0.0,582.0,581.0,846.0,826.0,
5,20,85.0,8.0,20.0,0.0,576.0,,,0.0,8.0,0.0,12.0,19.0,22.0,280.0,301.0,
6,18,75.0,16.0,20.0,0.0,576.0,,,5.4,2.6,7.9,4.1,317.0,326.0,589.0,591.0,
7,15,75.0,8.0,20.0,0.0,576.0,,,8.0,0.0,12.0,0.0,233.0,231.0,491.0,481.0,
8,15,80.0,8.0,10.0,0.0,576.0,,,0.0,4.0,0.0,6.0,296.0,305.0,547.0,549.0,
9,10,35.0,8.0,20.0,0.0,576.0,,,0.0,8.0,0.0,12.0,292.0,302.0,556.0,567.0,
10,10,40.0,16.0,30.0,384.0,720.0,,,7.2,4.8,9.5,8.5,447.0,435.0,719.0,701.0,
11,8,40.0,16.0,40.0,0.0,576.0,,,11.5,4.5,16.5,7.5,118.0,117.0,384.0,386.0,
12,8,45.0,16.0,20.0,0.0,576.0,,,5.6,2.4,7.2,4.8,159.0,162.0,419.0,413.0,
13,5,35.0,8.0,10.0,624.0,960.0,,,0.0,4.0,0.0,6.0,589.0,580.0,841.0,842.0,
14,5,45.0,16.0,10.0,0.0,576.0,,,2.3,1.7,4.2,1.8,13.0,33.0,284.0,287.0,
15,2,40.0,8.0,20.0,0.0,576.0,,,0.0,8.0,0.0,12.0,111.0,113.0,371.0,368.0,
16,0,40.0,16.0,20.0,0.0,576.0,,,5.9,2.1,8.3,3.7,192.0,189.0,436.0,459.0,
17,0,45.0,16.0,20.0,624.0,960.0,,,5.0,3.0,8.1,3.9,620.0,638.0,895.0,893.0,
18,44,5.0,16.0,20.0,0.0,576.0,,,5.0,3.0,7.2,4.8,254.0,251.0,524.0,526.0,
19,42,10.0,16.0,40.0,0.0,576.0,,,9.6,6.4,14.7,9.3,186.0,171.0,439.0,451.0,
20,42,15.0,8.0,10.0,384.0,720.0,,,4.0,0.0,6.0,0.0,463.0,459.0,736.0,726.0,
21,40,5.0,16.0,10.0,0.0,576.0,,,2.8,1.2,3.5,2.5,140.0,146.0,419.0,417.0,
22,40,15.0,16.0,40.0,0.0,576.0,,,9.3,6.7,16.7,7.3,307.0,304.0,557.0,579.0,
23,38,5.0,8.0,30.0,0.0,576.0,,,0.0,12.0,0.0,18.0,139.0,122.0,398.0,386.0,
24,38,15.0,8.0,10.0,624.0,960.0,,,0.0,4.0,0.0,6.0,621.0,609.0,864.0,877.0,
25,35,5.0,8.0,20.0,624.0,960.0,,,8.0,0.0,12.0,0.0,643.0,664.0,904.0,919.0,
26,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
capacity,1000,,,,,,,,,,,,,,,,
