CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 17
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,52,75.0,8.0,10.0,0.0,2034.0,,,4.0,0.0,6.0,0.0,194.0,210.0,582.0,572.0,
2,45,70.0,8.0,30.0,0.0,2034.0,,,0.0,12.0,0.0,18.0,1.0,1.0,599.0,567.0,
3,62,69.0,16.0,10.0,0.0,2034.0,,,2.3,1.7,4.4,1.6,993.0,986.0,1463.0,1495.0,
4,60,66.0,16.0,10.0,0.0,2034.0,,,2.4,1.6,3.4,2.6,1117.0,1141.0,1528.0,1539.0,
5,42,65.0,16.0,10.0,0.0,2034.0,,,2.9,1.1,3.9,2.1,1.0,14.0,424.0,408.0,
6,16,42.0,16.0,20.0,0.0,2034.0,,,5.1,2.9,6.6,5.4,330.0,327.0,834.0,840.0,
7,58,70.0,16.0,20.0,0.0,2034.0,,,4.5,3.5,7.8,4.2,950.0,959.0,1369.0,1376.0,
8,34,60.0,16.0,20.0,2203.5,3390.0,,,5.2,2.8,6.4,5.6,2623.0,2632.0,3286.0,3312.0,
9,28,70.0,8.0,10.0,2203.5,3390.0,,,0.0,4.0,0.0,6.0,2338.0,2344.0,2998.0,3031.0,
10,35,66.0,16.0,10.0,2203.5,3390.0,,,2.7,1.3,3.4,2.6,2593.0,2619.0,3159.0,3114.0,
11,35,69.0,8.0,10.0,2203.5,3390.0,,,0.0,4.0,0.0,6.0,2581.0,2575.0,2959.0,2979.0,
12,25,85.0,16.0,20.0,1356.0,2542.5,,,5.0,3.0,7.5,4.5,1958.0,1953.0,2420.0,2440.0,
13,22,75.0,16.0,30.0,2203.5,3390.0,,,7.5,4.5,11.2,6.8,2302.0,2308.0,2677.0,2662.0,
14,22,85.0,8.0,10.0,1356.0,2542.5,,,4.0,0.0,6.0,0.0,1830.0,1828.0,2397.0,2404.0,
15,20,80.0,16.0,40.0,1356.0,2542.5,,,9.7,6.3,14.9,9.1,2067.0,2069.0,2519.0,2548.0,
16,20,85.0,16.0,40.0,1356.0,2542.5,,,11.8,4.2,17.2,6.8,1724.0,1736.0,2314.0,2313.0,
17,18,75.0,8.0,20.0,2203.5,3390.0,,,8.0,0.0,12.0,0.0,2104.0,2122.0,2685.0,2656.0,
18,15,75.0,16.0,20.0,1356.0,2542.5,,,5.8,2.2,6.7,5.3,1553.0,1520.0,2109.0,2125.0,
19,15,80.0,8.0,10.0,1356.0,2542.5,,,4.0,0.0,6.0,0.0,1665.0,1679.0,2156.0,2170.0,
20,30,50.0,16.0,10.0,0.0,2034.0,,,2.3,1.7,3.6,2.4,10.0,8.0,702.0,700.0,
21,30,56.0,16.0,20.0,2203.5,3390.0,,,5.8,2.2,7.0,5.0,2663.0,2646.0,3335.0,3346.0,
22,28,52.0,16.0,20.0,0.0,2034.0,,,4.6,3.4,7.2,4.8,6.0,3.0,539.0,519.0,
23,14,66.0,16.0,10.0,0.0,2034.0,,,2.5,1.5,3.8,2.2,1507.0,1511.0,1965.0,1951.0,
24,25,50.0,16.0,10.0,0.0,2034.0,,,2.6,1.4,3.7,2.3,2.0,7.0,381.0,373.0,
25,22,66.0,8.0,40.0,2203.5,3390.0,,,0.0,16.0,0.0,24.0,2358.0,2377.0,2790.0,2810.0,
26,8,62.0,8.0,10.0,0.0,2034.0,,,0.0,4.0,0.0,6.0,1299.0,1286.0,1928.0,1958.0,
27,23,52.0,16.0,10.0,0.0,2034.0,,,2.5,1.5,3.5,2.5,83.0,72.0,508.0,514.0,
28,4,55.0,16.0,20.0,0.0,2034.0,,,4.7,3.3,7.5,4.5,1251.0,1259.0,1816.0,1821.0,
29,20,50.0,16.0,10.0,0.0,2034.0,,,2.4,1.6,4.0,2.0,137.0,157.0,802.0,821.0,
30,20,55.0,8.0,10.0,0.0,2034.0,,,4.0,0.0,6.0,0.0,160.0,138.0,629.0,604.0,
31,10,35.0,8.0,20.0,0.0,2034.0,,,0.0,8.0,0.0,12.0,558.0,549.0,1137.0,1178.0,
32,10,40.0,8.0,30.0,0.0,2034.0,,,12.0,0.0,18.0,0.0,444.0,438.0,915.0,913.0,
33,8,40.0,8.0,40.0,0.0,2034.0,,,0.0,16.0,0.0,24.0,450.0,468.0,1065.0,1077.0,
34,8,45.0,8.0,20.0,0.0,2034.0,,,8.0,0.0,12.0,0.0,1179.0,1158.0,1670.0,1692.0,
35,5,35.0,16.0,10.0,0.0,2034.0,,,2.4,1.6,3.8,2.2,641.0,622.0,1245.0,1255.0,
36,5,45.0,8.0,10.0,0.0,2034.0,,,4.0,0.0,6.0,0.0,1064.0,1042.0,1608.0,1589.0,
37,2,40.0,16.0,20.0,0.0,2034.0,,,4.9,3.1,6.6,5.4,757.0,752.0,1359.0,1348.0,
38,0,40.0,16.0,30.0,0.0,2034.0,,,6.8,5.2,10.2,7.8,884.0,847.0,1443.0,1435.0,
39,0,45.0,16.0,20.0,0.0,2034.0,,,5.4,2.6,6.6,5.4,1036.0,1014.0,1477.0,1475.0,
40,36,18.0,8.0,10.0,1356.0,2542.5,,,0.0,4.0,0.0,6.0,1568.0,1562.0,2229.0,2240.0,
41,35,32.0,8.0,10.0,2203.5,3390.0,,,0.0,4.0,0.0,6.0,2569.0,2582.0,3099.0,3098.0,
42,33,32.0,16.0,20.0,2203.5,3390.0,,,4.6,3.4,7.8,4.2,2499.0,2525.0,2971.0,2987.0,
