CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 17
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,8.0,10.0,0.0,138.0,,,4.0,0.0,6.0,0.0,0.0,0.0,215.0,213.0,
2,35,17.0,8.0,7.0,0.0,138.0,,,0.0,2.8,0.0,4.2,0.0,0.0,205.0,202.0,
3,55,45.0,16.0,13.0,0.0,138.0,,,3.2,2.0,4.4,3.4,0.0,0.0,211.0,208.0,
4,55,20.0,16.0,19.0,92.0,172.5,,,5.2,2.4,6.2,5.2,148.0,149.0,159.0,160.0,
5,15,30.0,8.0,26.0,0.0,138.0,,,10.4,0.0,15.6,0.0,0.0,0.0,199.0,205.0,
6,25,30.0,8.0,3.0,0.0,138.0,,,0.0,1.2,0.0,1.8,98.0,98.0,109.0,109.0,
7,20,50.0,16.0,5.0,0.0,138.0,,,1.5,0.5,1.7,1.3,0.0,0.0,210.0,201.0,
8,10,43.0,8.0,9.0,0.0,138.0,,,0.0,3.6,0.0,5.4,95.0,94.0,106.0,106.0,
9,55,60.0,8.0,16.0,0.0,138.0,,,0.0,6.4,0.0,9.6,97.0,96.0,108.0,107.0,
10,30,60.0,8.0,16.0,0.0,138.0,,,6.4,0.0,9.6,0.0,124.0,124.0,134.0,134.0,
11,20,65.0,8.0,12.0,0.0,138.0,,,0.0,4.8,0.0,7.2,67.0,66.0,78.0,78.0,
12,50,35.0,8.0,19.0,0.0,138.0,,,7.6,0.0,11.4,0.0,0.0,0.0,205.0,205.0,
13,30,25.0,16.0,23.0,92.0,172.5,,,5.6,3.6,8.9,4.9,159.0,158.0,170.0,170.0,
14,15,10.0,8.0,20.0,0.0,138.0,,,0.0,8.0,0.0,12.0,31.0,31.0,43.0,42.0,
15,30,5.0,16.0,8.0,0.0,138.0,,,1.9,1.3,2.9,1.9,60.0,60.0,72.0,71.0,
16,10,20.0,16.0,19.0,0.0,138.0,,,4.5,3.1,7.6,3.8,75.0,75.0,85.0,86.0,
17,5,30.0,16.0,2.0,92.0,172.5,,,0.5,0.3,0.8,0.4,157.0,156.0,168.0,167.0,
18,20,40.0,8.0,12.0,0.0,138.0,,,4.8,0.0,7.2,0.0,86.0,86.0,98.0,98.0,
19,15,60.0,16.0,17.0,0.0,138.0,,,4.3,2.5,6.0,4.2,75.0,76.0,87.0,87.0,
20,45,65.0,16.0,9.0,0.0,138.0,,,2.0,1.6,3.6,1.8,126.0,126.0,137.0,136.0,
21,45,20.0,8.0,11.0,0.0,138.0,,,0.0,4.4,0.0,6.6,0.0,0.0,204.0,217.0,
22,45,10.0,16.0,18.0,0.0,138.0,,,4.5,2.7,7.5,3.3,96.0,96.0,108.0,108.0,
23,55,5.0,8.0,29.0,0.0,138.0,,,11.6,0.0,17.4,0.0,67.0,68.0,79.0,78.0,
24,65,35.0,16.0,3.0,92.0,172.5,,,0.6,0.6,1.2,0.6,152.0,152.0,163.0,163.0,
25,65,20.0,16.0,6.0,149.5,230.0,,,1.5,0.9,2.3,1.3,172.0,171.0,183.0,182.0,
