CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,Unnamed: 13
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,52,75.0,16.0,10.0,0.0,2034.0,,,6.6,3.4,295.0,493.0,
2,45,70.0,16.0,30.0,0.0,2034.0,,,18.5,11.5,151.0,452.0,
3,62,69.0,16.0,10.0,0.0,2034.0,,,6.8,3.2,1123.0,1363.0,
4,60,66.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,1236.0,1446.0,
5,42,65.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,9.0,213.0,
6,16,42.0,16.0,20.0,0.0,2034.0,,,11.7,8.3,196.0,968.0,
7,58,70.0,16.0,20.0,0.0,2034.0,,,11.2,8.8,1043.0,1247.0,
8,34,60.0,8.0,20.0,2203.5,3390.0,,,20.0,0.0,1993.0,3355.0,
9,28,70.0,8.0,10.0,2203.5,3390.0,,,0.0,10.0,2016.0,3291.0,
10,35,66.0,8.0,10.0,2203.5,3390.0,,,10.0,0.0,2294.0,3361.0,
11,35,69.0,8.0,10.0,2203.5,3390.0,,,0.0,10.0,2386.0,3180.0,
12,25,85.0,16.0,20.0,1356.0,2542.5,,,11.5,8.5,1687.0,2626.0,
13,22,75.0,16.0,30.0,2203.5,3390.0,,,19.5,10.5,2130.0,2880.0,
14,22,85.0,8.0,10.0,1356.0,2542.5,,,10.0,0.0,1573.0,2706.0,
15,20,80.0,16.0,40.0,1356.0,2542.5,,,28.6,11.4,1784.0,2761.0,
16,20,85.0,8.0,40.0,1356.0,2542.5,,,0.0,40.0,1463.0,2545.0,
17,18,75.0,16.0,20.0,2203.5,3390.0,,,14.0,6.0,1894.0,2917.0,
18,15,75.0,8.0,20.0,1356.0,2542.5,,,20.0,0.0,1253.0,2345.0,
19,15,80.0,8.0,10.0,1356.0,2542.5,,,10.0,0.0,1422.0,2424.0,
20,30,50.0,8.0,10.0,0.0,2034.0,,,0.0,10.0,4.0,1034.0,
21,30,56.0,16.0,20.0,2203.5,3390.0,,,13.5,6.5,1967.0,3331.0,
22,28,52.0,16.0,20.0,0.0,2034.0,,,11.9,8.1,6.0,756.0,
23,14,66.0,8.0,10.0,1356.0,2542.5,,,10.0,0.0,1258.0,2174.0,
24,25,50.0,16.0,10.0,0.0,2034.0,,,6.6,3.4,6.0,574.0,
25,22,66.0,8.0,40.0,2203.5,3390.0,,,40.0,0.0,2098.0,2994.0,
26,8,62.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,991.0,2324.0,
27,23,52.0,16.0,10.0,0.0,2034.0,,,6.7,3.3,4.0,627.0,
28,4,55.0,8.0,20.0,0.0,2034.0,,,20.0,0.0,1008.0,2055.0,
29,20,50.0,16.0,10.0,0.0,2034.0,,,6.8,3.2,14.0,968.0,
30,20,55.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,41.0,740.0,
31,10,35.0,16.0,20.0,0.0,2034.0,,,11.2,8.8,309.0,1495.0,
32,10,40.0,8.0,30.0,0.0,2034.0,,,0.0,30.0,305.0,1036.0,
33,8,40.0,16.0,40.0,0.0,2034.0,,,26.3,13.7,229.0,1383.0,
34,8,45.0,16.0,20.0,0.0,2034.0,,,11.9,8.1,888.0,1943.0,
35,5,35.0,16.0,10.0,0.0,2034.0,,,5.4,4.6,311.0,1593.0,
36,5,45.0,16.0,10.0,0.0,2034.0,,,7.0,3.0,793.0,1872.0,
37,2,40.0,16.0,20.0,0.0,2034.0,,,14.1,5.9,476.0,1645.0,
38,0,40.0,16.0,30.0,0.0,2034.0,,,19.1,10.9,566.0,1691.0,
39,0,45.0,16.0,20.0,0.0,2034.0,,,11.6,8.4,819.0,1665.0,
40,36,18.0,8.0,10.0,1356.0,2542.5,,,0.0,10.0,1453.0,2357.0,
41,35,32.0,16.0,10.0,2203.5,3390.0,,,6.3,3.7,2419.0,3238.0,
42,33,32.0,16.0,20.0,2203.5,3390.0,,,12.3,7.7,2382.0,3079.0,
43,33,35.0,16.0,10.0,2203.5,3390.0,,,5.6,4.4,2357.0,2963.0,
44,32,20.0,8.0,10.0,1356.0,2542.5,,,0.0,10.0,1577.0,2372.0,
45,30,30.0,16.0,10.0,1356.0,2542.5,,,6.4,3.6,1780.0,2585.0,
46,34,25.0,8.0,30.0,1356.0,2542.5,,,30.0,0.0,1750.0,2412.0,
47,30,35.0,8.0,10.0,2203.5,3390.0,,,10.0,0.0,2193.0,2917.0,
48,36,40.0,8.0,10.0,2203.5,3390.0,,,0.0,10.0,2558.0,3279.0,
49,48,20.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,765.0,1326.0,
50,26,32.0,16.0,10.0,1356.0,2542.5,,,6.6,3.4,1821.0,2974.0,
51,25,30.0,16.0,10.0,1356.0,2542.5,,,5.5,4.5,1847.0,2676.0,
52,25,35.0,16.0,10.0,2203.5,3390.0,,,6.1,3.9,2050.0,2871.0,
53,44,5.0,16.0,20.0,0.0,2034.0,,,11.2,8.8,1060.0,1620.0,
54,42,10.0,8.0,40.0,0.0,2034.0,,,40.0,0.0,977.0,1518.0,
55,42,15.0,8.0,10.0,0.0,2034.0,,,0.0,10.0,863.0,1403.0,
56,40,5.0,16.0,30.0,0.0,2034.0,,,19.7,10.3,1075.0,1817.0,
57,38,15.0,8.0,40.0,1356.0,2542.5,,,0.0,40.0,1380.0,2223.0,
58,38,5.0,8.0,30.0,0.0,2034.0,,,0.0,30.0,1093.0,1948.0,
59,38,10.0,8.0,10.0,0.0,2034.0,,,0.0,10.0,1367.0,2042.0,
60,35,5.0,16.0,20.0,0.0,2034.0,,,12.9,7.1,1164.0,2089.0,
61,50,30.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,222.0,772.0,
62,50,35.0,16.0,20.0,0.0,2034.0,,,10.7,9.3,18.0,516.0,
63,50,40.0,8.0,50.0,0.0,2034.0,,,0.0,50.0,12.0,366.0,
64,48,30.0,8.0,10.0,0.0,2034.0,,,0.0,10.0,237.0,910.0,
65,44,25.0,16.0,10.0,0.0,2034.0,,,7.3,2.7,659.0,1201.0,
66,47,35.0,16.0,10.0,0.0,2034.0,,,7.1,2.9,350.0,967.0,
67,47,40.0,8.0,10.0,0.0,2034.0,,,0.0,10.0,11.0,424.0,
68,42,30.0,16.0,10.0,0.0,2034.0,,,5.8,4.2,623.0,1071.0,
69,45,35.0,16.0,10.0,0.0,2034.0,,,6.2,3.8,496.0,1017.0,
70,95,30.0,16.0,30.0,2203.5,3390.0,,,18.5,11.5,2075.0,2689.0,
71,95,35.0,16.0,20.0,1356.0,2542.5,,,12.8,7.2,2178.0,2436.0,
72,53,30.0,8.0,10.0,0.0,2034.0,,,0.0,10.0,83.0,691.0,
73,92,30.0,16.0,10.0,2203.5,3390.0,,,7.3,2.7,2153.0,2838.0,
74,53,35.0,16.0,50.0,0.0,2034.0,,,32.6,17.4,47.0,527.0,
75,45,65.0,16.0,20.0,0.0,2034.0,,,13.1,6.9,44.0,374.0,
