CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,25,85.0,16.0,20.0,624.0,960.0,,,0.0,5.7,2.3,0.0,0.0,7.2,4.8,0.0,578.0,573.0,890.0,899.0,
2,22,75.0,16.0,30.0,0.0,576.0,,,0.0,8.7,3.3,0.0,0.0,11.6,6.4,0.0,55.0,65.0,355.0,376.0,
3,22,85.0,16.0,10.0,384.0,720.0,,,2.2,1.8,0.0,0.0,3.6,2.4,0.0,0.0,465.0,461.0,596.0,597.0,
4,20,80.0,8.0,40.0,384.0,720.0,,,0.0,0.0,0.0,16.0,0.0,0.0,0.0,24.0,387.0,378.0,960.0,918.0,
5,20,85.0,8.0,20.0,0.0,576.0,,,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,11.0,12.0,397.0,396.0,
6,18,75.0,24.0,20.0,0.0,576.0,,,0.0,3.9,2.7,1.4,0.0,6.8,4.9,0.3,229.0,245.0,652.0,670.0,
7,15,75.0,32.0,20.0,0.0,576.0,,,3.7,2.3,1.5,0.5,5.0,4.5,1.6,0.9,278.0,271.0,450.0,451.0,
8,15,80.0,24.0,10.0,0.0,576.0,,,0.0,2.4,1.5,0.1,0.0,3.0,2.2,0.8,244.0,245.0,604.0,610.0,
9,10,35.0,24.0,20.0,0.0,576.0,,,0.0,4.0,2.9,1.0,0.0,5.6,5.4,1.0,232.0,224.0,646.0,635.0,
10,10,40.0,32.0,30.0,384.0,720.0,,,6.1,3.6,1.9,0.4,8.3,4.3,3.2,2.1,461.0,466.0,694.0,693.0,
11,8,40.0,32.0,40.0,0.0,576.0,,,6.0,5.8,3.1,1.2,10.4,6.6,5.1,1.9,33.0,0.0,533.0,535.0,
12,8,45.0,32.0,20.0,0.0,576.0,,,3.6,2.5,1.3,0.6,5.4,3.7,2.1,0.8,154.0,156.0,414.0,418.0,
13,5,35.0,8.0,10.0,384.0,720.0,,,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,311.0,358.0,937.0,952.0,
14,5,45.0,16.0,10.0,0.0,576.0,,,2.6,0.0,1.4,0.0,4.1,0.0,1.9,0.0,15.0,28.0,485.0,481.0,
15,2,40.0,8.0,20.0,0.0,576.0,,,8.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,10.0,6.0,567.0,562.0,
16,0,40.0,32.0,20.0,0.0,576.0,,,3.5,2.4,1.7,0.5,5.0,4.2,1.7,1.1,198.0,197.0,421.0,428.0,
17,0,45.0,8.0,20.0,384.0,720.0,,,8.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,359.0,348.0,954.0,940.0,
18,44,5.0,8.0,20.0,0.0,576.0,,,0.0,0.0,8.0,0.0,0.0,0.0,12.0,0.0,335.0,337.0,452.0,454.0,
19,42,10.0,16.0,40.0,0.0,576.0,,,12.9,0.0,0.0,3.1,22.1,0.0,0.0,1.9,199.0,187.0,427.0,442.0,
