CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 17
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,45,68.0,16.0,10.0,803.4,1236.0,,,2.7,1.3,4.2,1.8,909.0,912.0,968.0,970.0,
2,45,70.0,16.0,30.0,494.4,927.0,,,6.4,5.6,12.6,5.4,820.0,825.0,873.0,874.0,
3,42,66.0,16.0,10.0,0.0,741.6,,,2.4,1.6,3.4,2.6,59.0,57.0,149.0,148.0,
4,42,68.0,16.0,10.0,494.4,927.0,,,2.2,1.8,3.4,2.6,725.0,725.0,784.0,784.0,
5,42,65.0,8.0,10.0,0.0,741.6,,,4.0,0.0,6.0,0.0,10.0,10.0,71.0,67.0,
6,40,69.0,16.0,20.0,0.0,741.6,,,4.7,3.3,8.0,4.0,612.0,613.0,708.0,702.0,
7,40,66.0,16.0,20.0,0.0,741.6,,,4.6,3.4,7.9,4.1,169.0,164.0,226.0,227.0,
8,38,68.0,8.0,20.0,0.0,741.6,,,8.0,0.0,12.0,0.0,250.0,248.0,329.0,330.0,
9,38,70.0,8.0,10.0,0.0,741.6,,,0.0,4.0,0.0,6.0,528.0,529.0,612.0,606.0,
10,35,66.0,16.0,10.0,0.0,741.6,,,2.5,1.5,3.8,2.2,356.0,355.0,413.0,411.0,
11,35,69.0,8.0,10.0,0.0,741.6,,,4.0,0.0,6.0,0.0,446.0,448.0,507.0,505.0,
12,25,85.0,16.0,20.0,0.0,741.6,,,5.7,2.3,7.8,4.2,651.0,647.0,722.0,725.0,
13,22,75.0,16.0,30.0,0.0,741.6,,,7.4,4.6,10.2,7.8,27.0,29.0,93.0,92.0,
14,22,85.0,16.0,10.0,0.0,741.6,,,2.7,1.3,3.3,2.7,565.0,566.0,622.0,620.0,
15,20,80.0,16.0,40.0,0.0,741.6,,,9.2,6.8,16.9,7.1,383.0,382.0,430.0,433.0,
16,20,85.0,16.0,40.0,0.0,741.6,,,10.3,5.7,13.3,10.7,472.0,469.0,533.0,530.0,
17,18,75.0,16.0,20.0,0.0,741.6,,,5.8,2.2,7.1,4.9,94.0,94.0,149.0,151.0,
18,15,75.0,16.0,20.0,0.0,741.6,,,4.5,3.5,7.4,4.6,176.0,174.0,254.0,256.0,
19,15,80.0,8.0,10.0,0.0,741.6,,,0.0,4.0,0.0,6.0,273.0,278.0,351.0,345.0,
20,30,50.0,16.0,10.0,0.0,741.6,,,2.3,1.7,3.7,2.3,3.0,9.0,75.0,79.0,
21,30,52.0,16.0,20.0,803.4,1236.0,,,4.7,3.3,8.0,4.0,909.0,909.0,967.0,968.0,
22,28,52.0,16.0,20.0,494.4,927.0,,,5.0,3.0,8.3,3.7,809.0,809.0,885.0,889.0,
23,28,55.0,16.0,10.0,494.4,927.0,,,2.3,1.7,4.2,1.8,728.0,730.0,781.0,780.0,
24,25,50.0,8.0,10.0,0.0,741.6,,,0.0,4.0,0.0,6.0,60.0,65.0,151.0,148.0,
25,25,52.0,8.0,40.0,0.0,741.6,,,16.0,0.0,24.0,0.0,163.0,165.0,224.0,228.0,
26,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
capacity,200,,,,,,,,,,,,,,,,
