CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,25,85.0,16.0,20.0,384.0,720.0,,,4.5,3.5,7.8,4.2,353.0,335.0,945.0,914.0,
2,22,75.0,8.0,30.0,0.0,576.0,,,0.0,12.0,0.0,18.0,29.0,28.0,561.0,556.0,
3,22,85.0,16.0,10.0,384.0,720.0,,,2.6,1.4,3.2,2.8,335.0,335.0,727.0,708.0,
4,20,80.0,8.0,40.0,384.0,720.0,,,16.0,0.0,24.0,0.0,417.0,388.0,928.0,918.0,
5,20,85.0,8.0,20.0,0.0,576.0,,,0.0,8.0,0.0,12.0,36.0,7.0,672.0,634.0,
6,18,75.0,8.0,20.0,0.0,576.0,,,0.0,8.0,0.0,12.0,201.0,214.0,710.0,692.0,
7,15,75.0,16.0,20.0,0.0,576.0,,,4.5,3.5,6.3,5.7,123.0,133.0,584.0,574.0,
8,15,80.0,16.0,10.0,0.0,576.0,,,2.7,1.3,3.9,2.1,217.0,194.0,653.0,657.0,
9,10,35.0,16.0,20.0,0.0,576.0,,,4.4,3.6,8.2,3.8,181.0,182.0,673.0,663.0,
10,10,40.0,8.0,30.0,384.0,720.0,,,0.0,12.0,0.0,18.0,370.0,404.0,785.0,766.0,
11,8,40.0,8.0,40.0,0.0,576.0,,,0.0,16.0,0.0,24.0,3.0,33.0,557.0,526.0,
12,8,45.0,16.0,20.0,0.0,576.0,,,4.6,3.4,7.6,4.4,26.0,12.0,531.0,539.0,
13,5,35.0,8.0,10.0,384.0,720.0,,,0.0,4.0,0.0,6.0,358.0,389.0,919.0,936.0,
14,5,45.0,16.0,10.0,0.0,576.0,,,2.8,1.2,3.7,2.3,3.0,12.0,704.0,754.0,
15,2,40.0,8.0,20.0,0.0,576.0,,,8.0,0.0,12.0,0.0,26.0,17.0,537.0,557.0,
16,0,40.0,16.0,20.0,0.0,576.0,,,4.6,3.4,8.1,3.9,62.0,73.0,573.0,566.0,
17,0,45.0,8.0,20.0,384.0,720.0,,,8.0,0.0,12.0,0.0,392.0,386.0,912.0,955.0,
18,44,5.0,16.0,20.0,0.0,576.0,,,4.4,3.6,6.8,5.2,217.0,216.0,587.0,573.0,
19,42,10.0,16.0,40.0,0.0,576.0,,,10.2,5.8,14.7,9.3,60.0,78.0,576.0,566.0,
20,42,15.0,8.0,10.0,384.0,720.0,,,4.0,0.0,6.0,0.0,386.0,365.0,814.0,810.0,
21,40,5.0,8.0,10.0,0.0,576.0,,,4.0,0.0,6.0,0.0,25.0,6.0,546.0,523.0,
22,40,15.0,8.0,40.0,0.0,576.0,,,16.0,0.0,24.0,0.0,199.0,216.0,644.0,641.0,
23,38,5.0,8.0,30.0,0.0,576.0,,,12.0,0.0,18.0,0.0,8.0,40.0,555.0,569.0,
