CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,52,75.0,16.0,10.0,0.0,2034.0,,,2.3,1.7,3.6,2.4,297.0,299.0,485.0,479.0,
2,45,70.0,8.0,30.0,0.0,2034.0,,,12.0,0.0,18.0,0.0,213.0,200.0,380.0,386.0,
3,62,69.0,16.0,10.0,0.0,2034.0,,,2.3,1.7,3.6,2.4,1167.0,1162.0,1329.0,1342.0,
4,60,66.0,8.0,10.0,0.0,2034.0,,,4.0,0.0,6.0,0.0,1261.0,1260.0,1433.0,1435.0,
5,42,65.0,8.0,10.0,0.0,2034.0,,,4.0,0.0,6.0,0.0,15.0,22.0,189.0,192.0,
6,16,42.0,8.0,20.0,0.0,2034.0,,,0.0,8.0,0.0,12.0,495.0,486.0,670.0,673.0,
7,58,70.0,8.0,20.0,0.0,2034.0,,,0.0,8.0,0.0,12.0,1057.0,1059.0,1236.0,1247.0,
8,34,60.0,16.0,20.0,2203.5,3390.0,,,5.4,2.6,8.6,3.4,2878.0,2879.0,3056.0,3060.0,
9,28,70.0,16.0,10.0,2203.5,3390.0,,,2.2,1.8,3.5,2.5,2587.0,2590.0,2763.0,2777.0,
10,35,66.0,16.0,10.0,2203.5,3390.0,,,2.9,1.1,3.4,2.6,2782.0,2791.0,2953.0,2954.0,
11,35,69.0,16.0,10.0,2203.5,3390.0,,,2.4,1.6,3.3,2.7,2696.0,2696.0,2866.0,2870.0,
12,25,85.0,16.0,20.0,1356.0,2542.5,,,5.1,2.9,8.9,3.1,2115.0,2111.0,2282.0,2286.0,
13,22,75.0,8.0,30.0,2203.5,3390.0,,,12.0,0.0,18.0,0.0,2404.0,2394.0,2571.0,2573.0,
14,22,85.0,8.0,10.0,1356.0,2542.5,,,0.0,4.0,0.0,6.0,2020.0,2020.0,2192.0,2200.0,
15,20,80.0,8.0,40.0,1356.0,2542.5,,,16.0,0.0,24.0,0.0,2203.0,2212.0,2392.0,2391.0,
16,20,85.0,16.0,40.0,1356.0,2542.5,,,10.4,5.6,14.8,9.2,1927.0,1927.0,2105.0,2097.0,
17,18,75.0,16.0,20.0,1356.0,2542.5,,,4.5,3.5,8.9,3.1,2311.0,2300.0,2483.0,2483.0,
18,15,75.0,16.0,20.0,0.0,2034.0,,,4.7,3.3,8.4,3.6,1737.0,1728.0,1914.0,1918.0,
19,15,80.0,8.0,10.0,0.0,2034.0,,,0.0,4.0,0.0,6.0,1823.0,1830.0,2000.0,2003.0,
20,30,50.0,16.0,10.0,0.0,2034.0,,,2.4,1.6,3.7,2.3,3.0,1.0,181.0,170.0,
21,30,56.0,16.0,20.0,2203.5,3390.0,,,5.1,2.9,7.9,4.1,2980.0,2982.0,3143.0,3145.0,
22,28,52.0,8.0,20.0,0.0,2034.0,,,8.0,0.0,12.0,0.0,10.0,16.0,194.0,190.0,
23,14,66.0,16.0,10.0,0.0,2034.0,,,2.5,1.5,3.3,2.7,1631.0,1641.0,1805.0,1816.0,
24,25,50.0,8.0,10.0,0.0,2034.0,,,4.0,0.0,6.0,0.0,104.0,100.0,283.0,279.0,
