CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,32.0,10.0,0.0,138.0,,,1.8,1.0,0.8,0.4,2.6,2.1,1.1,0.2,0.0,0.0,204.0,210.0,
2,35,17.0,24.0,7.0,0.0,138.0,,,0.0,1.3,1.2,0.3,0.0,2.5,1.2,0.4,0.0,0.0,208.0,215.0,
3,55,45.0,16.0,13.0,0.0,138.0,,,0.0,0.0,4.3,0.9,0.0,0.0,5.0,2.8,0.0,0.0,198.0,215.0,
4,55,20.0,24.0,19.0,92.0,172.5,,,0.0,4.6,2.0,1.0,0.0,7.2,2.7,1.5,137.0,136.0,171.0,169.0,
5,15,30.0,8.0,26.0,0.0,138.0,,,10.4,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,0.0,217.0,205.0,
6,25,30.0,32.0,3.0,0.0,138.0,,,0.5,0.4,0.2,0.1,0.8,0.6,0.4,0.1,0.0,0.0,210.0,221.0,
7,20,50.0,8.0,5.0,0.0,138.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,204.0,209.0,
8,10,43.0,16.0,9.0,0.0,138.0,,,2.5,0.0,1.1,0.0,3.9,0.0,1.5,0.0,85.0,82.0,117.0,118.0,
9,55,60.0,8.0,16.0,0.0,138.0,,,0.0,0.0,0.0,6.4,0.0,0.0,0.0,9.6,84.0,86.0,120.0,118.0,
10,30,60.0,24.0,16.0,0.0,138.0,,,4.0,0.0,1.8,0.6,5.7,0.0,2.6,1.3,0.0,0.0,209.0,213.0,
11,20,65.0,24.0,12.0,0.0,138.0,,,0.0,3.0,1.2,0.6,0.0,3.9,2.7,0.6,57.0,55.0,89.0,90.0,
12,50,35.0,8.0,19.0,0.0,138.0,,,0.0,7.6,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,210.0,213.0,
13,30,25.0,8.0,23.0,149.5,230.0,,,0.0,9.2,0.0,0.0,0.0,13.8,0.0,0.0,147.0,148.0,180.0,181.0,
14,15,10.0,16.0,20.0,0.0,138.0,,,4.8,3.2,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,201.0,205.0,
15,30,5.0,32.0,8.0,0.0,138.0,,,1.5,0.8,0.7,0.2,1.9,1.6,0.7,0.6,51.0,49.0,81.0,81.0,
16,10,20.0,16.0,19.0,0.0,138.0,,,0.0,0.0,5.6,2.0,0.0,0.0,9.6,1.8,0.0,0.0,208.0,196.0,
17,5,30.0,8.0,2.0,0.0,138.0,,,0.0,0.0,0.8,0.0,0.0,0.0,1.2,0.0,0.0,0.0,196.0,207.0,
18,20,40.0,8.0,12.0,0.0,138.0,,,0.0,0.0,0.0,4.8,0.0,0.0,0.0,7.2,0.0,0.0,205.0,222.0,
19,15,60.0,8.0,17.0,0.0,138.0,,,0.0,6.8,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,194.0,189.0,
20,45,65.0,24.0,9.0,0.0,138.0,,,2.0,1.3,0.0,0.3,2.8,2.4,0.0,0.2,0.0,0.0,192.0,200.0,
21,45,20.0,32.0,11.0,0.0,138.0,,,2.1,1.5,0.8,0.1,2.5,2.0,1.4,0.6,0.0,0.0,204.0,217.0,
22,45,10.0,16.0,18.0,0.0,138.0,,,5.6,0.0,1.6,0.0,8.1,0.0,2.7,0.0,0.0,0.0,202.0,209.0,
23,55,5.0,16.0,29.0,0.0,138.0,,,7.8,0.0,3.8,0.0,11.6,0.0,5.8,0.0,55.0,58.0,88.0,91.0,
24,65,35.0,16.0,3.0,0.0,138.0,,,0.0,0.7,0.5,0.0,0.0,1.3,0.5,0.0,0.0,0.0,202.0,204.0,
25,65,20.0,24.0,6.0,149.5,230.0,,,1.8,0.0,0.6,0.1,2.5,0.0,1.0,0.1,156.0,156.0,188.0,189.0,
26,45,30.0,32.0,17.0,0.0,138.0,,,3.0,1.7,1.6,0.5,4.7,3.0,2.0,0.5,0.0,0.0,227.0,217.0,
27,35,40.0,8.0,16.0,0.0,138.0,,,0.0,0.0,0.0,6.4,0.0,0.0,0.0,9.6,0.0,0.0,230.0,218.0,
28,41,37.0,24.0,16.0,0.0,138.0,,,4.0,0.0,1.8,0.6,6.0,0.0,3.1,0.5,0.0,0.0,222.0,223.0,
29,64,42.0,32.0,9.0,0.0,138.0,,,1.7,1.3,0.5,0.1,2.3,1.7,1.1,0.3,0.0,0.0,209.0,196.0,
30,40,60.0,8.0,21.0,0.0,138.0,,,8.4,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,212.0,199.0,
31,31,52.0,32.0,27.0,0.0,138.0,,,4.7,3.3,2.3,0.6,6.7,4.8,3.6,1.1,0.0,0.0,219.0,210.0,
32,35,69.0,32.0,23.0,0.0,138.0,,,4.4,3.0,1.7,0.1,5.5,4.4,2.9,1.0,0.0,0.0,194.0,199.0,
33,53,52.0,8.0,11.0,0.0,138.0,,,0.0,4.4,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,210.0,195.0,
34,65,55.0,16.0,14.0,0.0,138.0,,,0.0,0.0,4.2,1.4,0.0,0.0,5.4,3.0,0.0,0.0,189.0,194.0,
35,63,65.0,24.0,8.0,0.0,138.0,,,2.0,0.0,0.9,0.4,3.0,0.0,1.0,0.9,0.0,0.0,189.0,184.0,
36,2,60.0,16.0,5.0,0.0,138.0,,,0.0,1.4,0.0,0.6,0.0,2.4,0.0,0.6,0.0,0.0,183.0,178.0,
37,20,20.0,32.0,8.0,0.0,138.0,,,1.4,1.0,0.6,0.2,2.2,1.4,0.9,0.3,0.0,0.0,212.0,211.0,
38,5,5.0,16.0,16.0,0.0,138.0,,,0.0,5.0,0.0,1.4,0.0,7.1,0.0,2.5,71.0,73.0,104.0,105.0,
39,60,12.0,8.0,31.0,0.0,138.0,,,0.0,0.0,12.4,0.0,0.0,0.0,18.6,0.0,0.0,0.0,200.0,199.0,
40,40,25.0,24.0,9.0,0.0,138.0,,,1.7,1.4,0.5,0.0,2.6,1.9,0.9,0.0,0.0,0.0,223.0,216.0,
41,42,7.0,16.0,5.0,0.0,138.0,,,0.0,0.0,1.5,0.5,0.0,0.0,2.5,0.5,0.0,0.0,199.0,191.0,
42,24,12.0,32.0,5.0,0.0,138.0,,,1.0,0.5,0.3,0.2,1.3,1.0,0.5,0.2,0.0,0.0,202.0,208.0,
43,23,3.0,24.0,7.0,0.0,138.0,,,1.3,1.0,0.5,0.0,1.8,1.3,1.1,0.0,0.0,0.0,203.0,187.0,
44,11,14.0,16.0,18.0,0.0,138.0,,,0.0,0.0,6.3,0.9,0.0,0.0,9.2,1.6,56.0,59.0,92.0,90.0,
45,6,38.0,32.0,16.0,0.0,138.0,,,2.7,2.4,0.9,0.4,4.5,2.8,2.1,0.2,0.0,0.0,195.0,197.0,
46,2,48.0,16.0,1.0,0.0,138.0,,,0.2,0.2,0.0,0.0,0.4,0.2,0.0,0.0,0.0,0.0,193.0,192.0,
47,8,56.0,24.0,27.0,0.0,138.0,,,7.3,0.0,2.1,1.5,9.8,0.0,5.0,1.5,0.0,0.0,186.0,187.0,
48,13,52.0,16.0,36.0,0.0,138.0,,,0.0,12.7,0.0,1.7,0.0,18.8,0.0,2.8,0.0,0.0,196.0,194.0,
49,6,68.0,16.0,30.0,0.0,138.0,,,0.0,8.1,0.0,3.9,0.0,14.2,0.0,3.8,0.0,0.0,179.0,184.0,
50,47,47.0,24.0,13.0,0.0,138.0,,,3.0,2.1,0.0,0.1,4.8,2.5,0.0,0.5,0.0,0.0,213.0,210.0,
