CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,52,75.0,32.0,10.0,0.0,2034.0,,,1.8,1.3,0.6,0.4,2.3,2.3,1.0,0.4,296.0,299.0,489.0,492.0,
2,45,70.0,24.0,30.0,0.0,2034.0,,,7.5,0.0,3.5,1.0,12.5,0.0,4.4,1.1,146.0,153.0,434.0,430.0,
3,62,69.0,24.0,10.0,0.0,2034.0,,,2.5,0.0,1.2,0.3,4.0,0.0,1.7,0.3,1135.0,1117.0,1355.0,1367.0,
4,60,66.0,32.0,10.0,0.0,2034.0,,,1.5,1.3,0.9,0.3,2.7,2.0,0.7,0.5,1240.0,1230.0,1444.0,1447.0,
5,42,65.0,16.0,10.0,0.0,2034.0,,,2.3,1.7,0.0,0.0,3.7,2.3,0.0,0.0,6.0,5.0,219.0,213.0,
6,16,42.0,24.0,20.0,0.0,2034.0,,,4.6,3.1,0.0,0.3,6.8,4.4,0.0,0.9,180.0,149.0,983.0,1010.0,
7,58,70.0,8.0,20.0,0.0,2034.0,,,8.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,1052.0,1056.0,1258.0,1252.0,
8,34,60.0,24.0,20.0,2203.5,3390.0,,,5.7,0.0,2.0,0.3,7.2,0.0,3.7,1.1,1945.0,1924.0,3390.0,3369.0,
9,28,70.0,16.0,10.0,2203.5,3390.0,,,3.4,0.0,0.0,0.6,5.0,0.0,0.0,1.0,2021.0,2008.0,3336.0,3330.0,
10,35,66.0,32.0,10.0,2203.5,3390.0,,,1.8,1.3,0.6,0.3,2.8,2.2,0.8,0.2,2259.0,2230.0,3291.0,3364.0,
11,35,69.0,24.0,10.0,2203.5,3390.0,,,0.0,2.1,1.6,0.3,0.0,3.5,2.0,0.6,2369.0,2380.0,3189.0,3192.0,
12,25,85.0,16.0,20.0,1356.0,2542.5,,,0.0,0.0,6.7,1.3,0.0,0.0,10.5,1.5,1714.0,1754.0,2651.0,2702.0,
