CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 21
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,24.0,10.0,0.0,600.0,,,2.2,1.4,0.0,0.4,3.0,2.4,0.0,0.6,0.0,0.0,979.0,982.0,
2,35,17.0,24.0,7.0,0.0,600.0,,,0.0,1.6,0.8,0.4,0.0,3.0,1.1,0.2,0.0,0.0,988.0,999.0,
3,55,45.0,8.0,13.0,0.0,600.0,,,0.0,0.0,5.2,0.0,0.0,0.0,7.8,0.0,0.0,0.0,989.0,972.0,
4,55,20.0,32.0,19.0,650.0,1000.0,,,3.2,2.2,1.8,0.3,4.8,3.6,2.6,0.4,676.0,673.0,810.0,813.0,
5,15,30.0,8.0,26.0,0.0,600.0,,,10.4,0.0,0.0,0.0,15.6,0.0,0.0,0.0,0.0,0.0,978.0,979.0,
6,25,30.0,32.0,3.0,0.0,600.0,,,0.5,0.4,0.2,0.1,0.8,0.5,0.3,0.2,0.0,0.0,992.0,979.0,
7,20,50.0,32.0,5.0,0.0,600.0,,,1.0,0.5,0.3,0.2,1.4,1.0,0.6,0.1,0.0,0.0,969.0,981.0,
8,10,43.0,24.0,9.0,0.0,600.0,,,2.0,1.3,0.0,0.3,3.1,1.9,0.0,0.4,403.0,400.0,481.0,485.0,
9,55,60.0,8.0,16.0,0.0,600.0,,,6.4,0.0,0.0,0.0,9.6,0.0,0.0,0.0,397.0,396.0,498.0,503.0,
10,30,60.0,24.0,16.0,0.0,600.0,,,3.5,2.0,0.9,0.0,4.9,2.7,2.0,0.0,0.0,0.0,983.0,968.0,
11,20,65.0,16.0,12.0,0.0,600.0,,,0.0,3.2,1.6,0.0,0.0,4.4,2.8,0.0,194.0,196.0,328.0,326.0,
