CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,8.0,10.0,92.0,172.5,,,4.0,0.0,6.0,0.0,70.0,63.0,210.0,207.0,
2,35,17.0,16.0,7.0,0.0,138.0,,,1.6,1.2,2.9,1.3,13.0,11.0,159.0,153.0,
3,55,45.0,8.0,13.0,92.0,172.5,,,5.2,0.0,7.8,0.0,72.0,74.0,167.0,171.0,
4,55,20.0,16.0,19.0,92.0,172.5,,,5.2,2.4,6.6,4.8,73.0,72.0,198.0,196.0,
5,15,30.0,8.0,26.0,0.0,138.0,,,10.4,0.0,15.6,0.0,16.0,11.0,179.0,181.0,
6,25,30.0,16.0,3.0,0.0,138.0,,,0.8,0.4,1.1,0.7,44.0,39.0,164.0,159.0,
7,20,50.0,8.0,5.0,0.0,138.0,,,0.0,2.0,0.0,3.0,30.0,31.0,137.0,136.0,
8,10,43.0,16.0,9.0,0.0,138.0,,,1.9,1.7,2.9,2.5,40.0,45.0,156.0,156.0,
9,55,60.0,16.0,16.0,0.0,138.0,,,4.1,2.3,5.6,4.0,46.0,44.0,164.0,162.0,
10,30,60.0,16.0,16.0,92.0,172.5,,,4.0,2.4,6.4,3.2,76.0,85.0,173.0,179.0,
11,20,65.0,8.0,12.0,0.0,138.0,,,4.8,0.0,7.2,0.0,33.0,27.0,156.0,163.0,
12,50,35.0,8.0,19.0,0.0,138.0,,,0.0,7.6,0.0,11.4,13.0,13.0,144.0,139.0,
13,30,25.0,16.0,23.0,92.0,172.5,,,5.8,3.4,8.9,4.9,69.0,68.0,210.0,213.0,
14,15,10.0,16.0,20.0,0.0,138.0,,,5.4,2.6,7.1,4.9,24.0,32.0,200.0,190.0,
15,30,5.0,8.0,8.0,0.0,138.0,,,0.0,3.2,0.0,4.8,26.0,23.0,157.0,160.0,
16,10,20.0,8.0,19.0,0.0,138.0,,,7.6,0.0,11.4,0.0,18.0,21.0,146.0,147.0,
17,5,30.0,8.0,2.0,92.0,172.5,,,0.8,0.0,1.2,0.0,50.0,54.0,201.0,198.0,
18,20,40.0,8.0,12.0,0.0,138.0,,,0.0,4.8,0.0,7.2,45.0,40.0,136.0,143.0,
19,15,60.0,16.0,17.0,0.0,138.0,,,3.8,3.0,6.8,3.4,20.0,26.0,146.0,155.0,
20,45,65.0,8.0,9.0,92.0,172.5,,,3.6,0.0,5.4,0.0,77.0,79.0,185.0,186.0,
21,45,20.0,8.0,11.0,0.0,138.0,,,4.4,0.0,6.6,0.0,16.0,7.0,145.0,143.0,
22,45,10.0,8.0,18.0,0.0,138.0,,,0.0,7.2,0.0,10.8,47.0,45.0,157.0,159.0,
23,55,5.0,16.0,29.0,0.0,138.0,,,7.3,4.3,11.0,6.4,29.0,24.0,158.0,162.0,
24,65,35.0,8.0,3.0,92.0,172.5,,,1.2,0.0,1.8,0.0,49.0,55.0,192.0,194.0,
25,65,20.0,16.0,6.0,0.0,138.0,,,1.7,0.7,2.4,1.2,44.0,46.0,196.0,193.0,
26,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
capacity,200,,,,,,,,,,,,,,,,
