CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,25,85.0,16.0,20.0,0.0,144.0,,,11.9,8.1,0.0,201.0,
2,22,75.0,8.0,30.0,0.0,144.0,,,0.0,30.0,0.0,211.0,
3,22,85.0,8.0,10.0,0.0,144.0,,,10.0,0.0,0.0,209.0,
4,20,80.0,8.0,40.0,96.0,180.0,,,40.0,0.0,138.0,174.0,
5,20,85.0,8.0,20.0,0.0,144.0,,,20.0,0.0,0.0,203.0,
6,18,75.0,8.0,20.0,0.0,144.0,,,20.0,0.0,95.0,126.0,
7,15,75.0,8.0,20.0,0.0,144.0,,,20.0,0.0,0.0,210.0,
8,15,80.0,16.0,10.0,0.0,144.0,,,5.9,4.1,89.0,124.0,
9,10,35.0,8.0,20.0,0.0,144.0,,,20.0,0.0,91.0,121.0,
10,10,40.0,8.0,30.0,96.0,180.0,,,0.0,30.0,119.0,149.0,
11,8,40.0,16.0,40.0,0.0,144.0,,,28.8,11.2,56.0,89.0,
12,8,45.0,8.0,20.0,0.0,144.0,,,20.0,0.0,0.0,204.0,
13,5,35.0,16.0,10.0,96.0,180.0,,,6.7,3.3,142.0,175.0,
14,5,45.0,8.0,10.0,0.0,144.0,,,0.0,10.0,0.0,202.0,
15,2,40.0,8.0,20.0,0.0,144.0,,,20.0,0.0,56.0,88.0,
16,0,40.0,16.0,20.0,0.0,144.0,,,11.8,8.2,0.0,197.0,
17,0,45.0,16.0,20.0,96.0,180.0,,,13.4,6.6,148.0,180.0,
18,44,5.0,16.0,20.0,0.0,144.0,,,10.8,9.2,0.0,186.0,
19,42,10.0,8.0,40.0,0.0,144.0,,,40.0,0.0,0.0,201.0,
20,42,15.0,16.0,10.0,0.0,144.0,,,6.5,3.5,0.0,210.0,
21,40,5.0,8.0,10.0,0.0,144.0,,,10.0,0.0,0.0,196.0,
22,40,15.0,16.0,40.0,0.0,144.0,,,23.1,16.9,89.0,123.0,
23,38,5.0,16.0,30.0,0.0,144.0,,,19.2,10.8,62.0,98.0,
24,38,15.0,16.0,10.0,0.0,144.0,,,6.8,3.2,0.0,208.0,
25,35,5.0,16.0,20.0,156.0,240.0,,,13.4,6.6,152.0,185.0,
26,95,30.0,8.0,30.0,0.0,144.0,,,30.0,0.0,0.0,187.0,
27,95,35.0,8.0,20.0,0.0,144.0,,,20.0,0.0,59.0,92.0,
28,92,30.0,8.0,10.0,0.0,144.0,,,10.0,0.0,0.0,185.0,
29,90,35.0,16.0,10.0,0.0,144.0,,,6.4,3.6,0.0,192.0,
30,88,30.0,16.0,10.0,0.0,144.0,,,6.7,3.3,73.0,106.0,
31,88,35.0,8.0,20.0,0.0,144.0,,,20.0,0.0,0.0,192.0,
32,87,30.0,16.0,10.0,0.0,144.0,,,6.0,4.0,0.0,178.0,
33,85,25.0,16.0,10.0,0.0,144.0,,,5.7,4.3,49.0,84.0,
34,85,35.0,16.0,30.0,0.0,144.0,,,19.9,10.1,0.0,198.0,
35,67,85.0,8.0,20.0,96.0,180.0,,,0.0,20.0,136.0,169.0,
36,65,85.0,16.0,40.0,0.0,144.0,,,27.0,13.0,43.0,75.0,
37,65,82.0,8.0,10.0,0.0,144.0,,,0.0,10.0,0.0,189.0,
38,62,80.0,16.0,30.0,0.0,144.0,,,16.2,13.8,75.0,105.0,
39,60,80.0,8.0,10.0,0.0,144.0,,,0.0,10.0,34.0,70.0,
40,60,85.0,8.0,30.0,0.0,144.0,,,30.0,0.0,83.0,117.0,
41,58,75.0,8.0,20.0,0.0,144.0,,,0.0,20.0,92.0,124.0,
42,55,80.0,8.0,10.0,0.0,144.0,,,10.0,0.0,33.0,66.0,
43,55,85.0,16.0,20.0,0.0,144.0,,,11.6,8.4,0.0,195.0,
44,55,82.0,8.0,10.0,0.0,144.0,,,10.0,0.0,64.0,95.0,
45,20,82.0,16.0,10.0,0.0,144.0,,,6.0,4.0,34.0,69.0,
46,18,80.0,8.0,10.0,0.0,144.0,,,0.0,10.0,0.0,198.0,
47,2,45.0,16.0,10.0,0.0,144.0,,,6.3,3.7,0.0,201.0,
48,42,5.0,8.0,10.0,0.0,144.0,,,0.0,10.0,0.0,187.0,
49,42,12.0,8.0,10.0,0.0,144.0,,,0.0,10.0,102.0,134.0,
50,72,35.0,8.0,30.0,0.0,144.0,,,30.0,0.0,0.0,211.0,
51,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
capacity,200,,,,,,,,,,,,
