CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,41,49.0,16.0,10.0,92.0,172.5,,,7.3,2.7,59.0,208.0,
2,35,17.0,16.0,7.0,0.0,138.0,,,4.7,2.3,5.0,147.0,
3,55,45.0,8.0,13.0,92.0,172.5,,,0.0,13.0,71.0,168.0,
4,55,20.0,16.0,19.0,92.0,172.5,,,13.2,5.8,66.0,198.0,
5,15,30.0,16.0,26.0,0.0,138.0,,,14.8,11.2,15.0,178.0,
6,25,30.0,16.0,3.0,0.0,138.0,,,2.1,0.9,39.0,168.0,
7,20,50.0,16.0,5.0,0.0,138.0,,,2.7,2.3,31.0,139.0,
8,10,43.0,16.0,9.0,0.0,138.0,,,5.9,3.1,45.0,156.0,
9,55,60.0,16.0,16.0,0.0,138.0,,,10.0,6.0,44.0,164.0,
10,30,60.0,8.0,16.0,92.0,172.5,,,16.0,0.0,81.0,172.0,
11,20,65.0,8.0,12.0,0.0,138.0,,,12.0,0.0,22.0,154.0,
12,50,35.0,16.0,19.0,0.0,138.0,,,10.5,8.5,6.0,134.0,
13,30,25.0,16.0,23.0,92.0,172.5,,,14.6,8.4,77.0,217.0,
14,15,10.0,16.0,20.0,0.0,138.0,,,11.2,8.8,22.0,194.0,
15,30,5.0,16.0,8.0,0.0,138.0,,,4.9,3.1,23.0,162.0,
16,10,20.0,16.0,19.0,0.0,138.0,,,11.6,7.4,21.0,147.0,
17,5,30.0,16.0,2.0,92.0,172.5,,,1.4,0.6,48.0,191.0,
18,20,40.0,16.0,12.0,0.0,138.0,,,8.0,4.0,44.0,143.0,
19,15,60.0,8.0,17.0,0.0,138.0,,,0.0,17.0,29.0,148.0,
20,45,65.0,8.0,9.0,92.0,172.5,,,9.0,0.0,72.0,182.0,
21,45,20.0,8.0,11.0,0.0,138.0,,,11.0,0.0,10.0,138.0,
22,45,10.0,16.0,18.0,0.0,138.0,,,9.8,8.2,41.0,162.0,
23,55,5.0,8.0,29.0,0.0,138.0,,,0.0,29.0,25.0,155.0,
24,65,35.0,8.0,3.0,92.0,172.5,,,0.0,3.0,45.0,194.0,
25,65,20.0,8.0,6.0,0.0,138.0,,,6.0,0.0,54.0,195.0,
26,45,30.0,16.0,17.0,92.0,172.5,,,10.7,6.3,80.0,186.0,
27,35,40.0,8.0,16.0,0.0,138.0,,,0.0,16.0,4.0,144.0,
28,41,37.0,8.0,16.0,0.0,138.0,,,0.0,16.0,1.0,146.0,
29,64,42.0,8.0,9.0,0.0,138.0,,,9.0,0.0,19.0,160.0,
30,40,60.0,16.0,21.0,0.0,138.0,,,12.9,8.1,16.0,133.0,
31,31,52.0,16.0,27.0,0.0,138.0,,,17.4,9.6,8.0,143.0,
32,35,69.0,16.0,23.0,92.0,172.5,,,14.4,8.6,61.0,195.0,
33,53,52.0,16.0,11.0,0.0,138.0,,,6.7,4.3,11.0,172.0,
34,65,55.0,16.0,14.0,92.0,172.5,,,8.5,5.5,60.0,181.0,
35,63,65.0,16.0,8.0,0.0,138.0,,,5.7,2.3,41.0,190.0,
36,2,60.0,16.0,5.0,0.0,138.0,,,3.4,1.6,27.0,184.0,
37,20,20.0,8.0,8.0,92.0,172.5,,,8.0,0.0,82.0,190.0,
38,5,5.0,8.0,16.0,0.0,138.0,,,16.0,0.0,31.0,156.0,
39,60,12.0,16.0,31.0,0.0,138.0,,,20.6,10.4,21.0,191.0,
40,40,25.0,16.0,9.0,0.0,138.0,,,5.9,3.1,36.0,144.0,
41,42,7.0,16.0,5.0,0.0,138.0,,,2.7,2.3,38.0,165.0,
42,24,12.0,8.0,5.0,0.0,138.0,,,5.0,0.0,13.0,164.0,
43,23,3.0,16.0,7.0,92.0,172.5,,,4.0,3.0,74.0,190.0,
44,11,14.0,16.0,18.0,0.0,138.0,,,11.0,7.0,19.0,153.0,
45,6,38.0,16.0,16.0,0.0,138.0,,,10.4,5.6,20.0,179.0,
46,2,48.0,16.0,1.0,92.0,172.5,,,0.7,0.3,56.0,183.0,
47,8,56.0,16.0,27.0,0.0,138.0,,,15.5,11.5,29.0,176.0,
48,13,52.0,16.0,36.0,92.0,172.5,,,22.3,13.7,63.0,192.0,
49,6,68.0,16.0,30.0,0.0,138.0,,,19.0,11.0,71.0,159.0,
50,47,47.0,16.0,13.0,92.0,172.5,,,7.7,5.3,65.0,189.0,
51,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
capacity,200,,,,,,,,,,,,
