CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,52,75.0,16.0,10.0,0.0,2034.0,,,2.5,0.0,1.5,0.0,4.1,0.0,1.9,0.0,292.0,302.0,479.0,496.0,
2,45,70.0,32.0,30.0,0.0,2034.0,,,4.8,4.2,1.9,1.1,7.8,6.0,2.5,1.6,155.0,148.0,451.0,435.0,
3,62,69.0,16.0,10.0,0.0,2034.0,,,3.8,0.0,0.0,0.2,5.6,0.0,0.0,0.4,1119.0,1120.0,1362.0,1372.0,
4,60,66.0,16.0,10.0,0.0,2034.0,,,0.0,2.7,1.3,0.0,0.0,3.2,2.8,0.0,1240.0,1244.0,1452.0,1438.0,
5,42,65.0,24.0,10.0,0.0,2034.0,,,2.1,1.5,0.0,0.3,2.9,2.7,0.0,0.5,6.0,8.0,211.0,226.0,
6,16,42.0,8.0,20.0,0.0,2034.0,,,0.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,149.0,163.0,1006.0,955.0,
7,58,70.0,32.0,20.0,0.0,2034.0,,,3.6,2.4,1.7,0.3,5.8,3.3,1.9,1.0,1050.0,1043.0,1260.0,1255.0,
8,34,60.0,32.0,20.0,2203.5,3390.0,,,3.7,2.8,1.3,0.2,5.1,3.5,2.0,1.4,1986.0,2031.0,3387.0,3362.0,
9,28,70.0,8.0,10.0,2203.5,3390.0,,,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,2070.0,2069.0,3328.0,3279.0,
10,35,66.0,16.0,10.0,2203.5,3390.0,,,2.9,0.0,1.1,0.0,4.7,0.0,1.3,0.0,2277.0,2250.0,3371.0,3294.0,
11,35,69.0,8.0,10.0,2203.5,3390.0,,,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,2399.0,2416.0,3190.0,3128.0,
12,25,85.0,8.0,20.0,1356.0,2542.5,,,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,1708.0,1757.0,2658.0,2701.0,
13,22,75.0,24.0,30.0,2203.5,3390.0,,,5.1,3.9,2.9,0.0,8.2,5.4,4.4,0.0,2085.0,2109.0,2903.0,2859.0,
14,22,85.0,8.0,10.0,1356.0,2542.5,,,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,1510.0,1569.0,2675.0,2649.0,
15,20,80.0,24.0,40.0,1356.0,2542.5,,,8.4,5.5,0.0,2.2,13.6,7.6,0.0,2.8,1777.0,1810.0,2774.0,2751.0,
16,20,85.0,32.0,40.0,1356.0,2542.5,,,6.2,4.9,3.7,1.3,9.2,7.5,4.7,2.7,1468.0,1485.0,2599.0,2582.0,
17,18,75.0,16.0,20.0,2203.5,3390.0,,,0.0,7.1,0.0,0.9,0.0,8.8,0.0,3.2,1837.0,1857.0,2950.0,2975.0,
18,15,75.0,16.0,20.0,1356.0,2542.5,,,0.0,0.0,7.0,1.0,0.0,0.0,6.9,5.1,1241.0,1236.0,2417.0,2428.0,
19,15,80.0,32.0,10.0,1356.0,2542.5,,,1.7,1.4,0.8,0.1,2.8,2.0,1.0,0.2,1444.0,1423.0,2413.0,2386.0,
20,30,50.0,32.0,10.0,0.0,2034.0,,,1.7,1.1,1.0,0.2,2.8,1.8,1.3,0.1,7.0,6.0,1021.0,1035.0,
21,30,56.0,24.0,20.0,2203.5,3390.0,,,4.8,0.0,2.4,0.9,7.1,0.0,3.1,1.8,2053.0,2018.0,3383.0,3309.0,
22,28,52.0,32.0,20.0,0.0,2034.0,,,3.8,2.3,1.5,0.4,4.4,3.7,2.8,1.1,7.0,12.0,823.0,774.0,
23,14,66.0,16.0,10.0,1356.0,2542.5,,,2.7,0.0,1.3,0.0,4.7,0.0,1.3,0.0,1305.0,1305.0,2174.0,2187.0,
24,25,50.0,16.0,10.0,0.0,2034.0,,,0.0,2.8,1.2,0.0,0.0,3.8,2.2,0.0,2.0,11.0,574.0,562.0,
25,22,66.0,32.0,40.0,2203.5,3390.0,,,6.3,5.9,2.6,1.2,9.3,8.9,4.5,1.3,2104.0,2126.0,3019.0,3067.0,
26,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
capacity,700,,,,,,,,,,,,,,,,,,,,
