CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,32.0,10.0,149.5,230.0,,,1.6,1.2,0.8,0.3,2.4,1.6,1.3,0.7,130.0,125.0,208.0,204.0,
2,35,17.0,16.0,7.0,0.0,138.0,,,2.1,0.0,0.7,0.0,2.8,0.0,1.4,0.0,14.0,13.0,95.0,94.0,
3,55,45.0,32.0,13.0,0.0,138.0,,,2.4,1.8,0.8,0.2,3.2,2.1,1.7,0.8,105.0,106.0,137.0,135.0,
4,55,20.0,16.0,19.0,92.0,172.5,,,0.0,0.0,5.8,1.8,0.0,0.0,6.2,5.2,64.0,60.0,196.0,198.0,
5,15,30.0,32.0,26.0,0.0,138.0,,,4.4,3.3,2.2,0.5,7.3,5.2,2.7,0.3,18.0,20.0,110.0,113.0,
6,25,30.0,8.0,3.0,0.0,138.0,,,0.0,0.0,1.2,0.0,0.0,0.0,1.8,0.0,46.0,52.0,161.0,159.0,
7,20,50.0,24.0,5.0,0.0,138.0,,,0.9,0.7,0.4,0.0,1.2,1.1,0.6,0.0,62.0,64.0,106.0,106.0,
8,10,43.0,32.0,9.0,0.0,138.0,,,1.6,1.2,0.6,0.2,2.5,1.7,0.8,0.5,54.0,58.0,143.0,142.0,
9,55,60.0,32.0,16.0,0.0,138.0,,,2.7,2.0,1.2,0.5,4.0,2.8,1.9,0.9,47.0,53.0,159.0,152.0,
10,30,60.0,16.0,16.0,92.0,172.5,,,0.0,5.0,0.0,1.4,0.0,7.4,0.0,2.2,96.0,99.0,159.0,156.0,
11,20,65.0,8.0,12.0,0.0,138.0,,,4.8,0.0,0.0,0.0,7.2,0.0,0.0,0.0,23.0,32.0,158.0,158.0,
12,50,35.0,24.0,19.0,0.0,138.0,,,3.7,3.3,0.0,0.7,6.1,4.8,0.0,0.5,34.0,34.0,102.0,101.0,
13,30,25.0,16.0,23.0,92.0,172.5,,,8.6,0.0,0.0,0.6,11.4,0.0,0.0,2.4,70.0,56.0,208.0,210.0,
14,15,10.0,32.0,20.0,0.0,138.0,,,3.3,2.7,1.7,0.3,5.7,4.1,1.7,0.5,26.0,21.0,140.0,140.0,
15,30,5.0,16.0,8.0,0.0,138.0,,,0.0,2.8,0.0,0.4,0.0,3.5,0.0,1.3,29.0,17.0,155.0,160.0,
16,10,20.0,32.0,19.0,0.0,138.0,,,3.4,2.9,1.1,0.2,5.2,3.3,2.0,0.9,48.0,51.0,105.0,110.0,
17,5,30.0,8.0,2.0,0.0,138.0,,,0.8,0.0,0.0,0.0,1.2,0.0,0.0,0.0,44.0,39.0,196.0,189.0,
18,20,40.0,32.0,12.0,0.0,138.0,,,2.0,1.5,1.0,0.2,3.1,2.3,1.3,0.4,74.0,77.0,108.0,106.0,
19,15,60.0,8.0,17.0,0.0,138.0,,,0.0,6.8,0.0,0.0,0.0,10.2,0.0,0.0,47.0,52.0,111.0,109.0,
20,45,65.0,16.0,9.0,92.0,172.5,,,2.5,0.0,1.1,0.0,3.9,0.0,1.5,0.0,105.0,104.0,156.0,153.0,
21,45,20.0,24.0,11.0,0.0,138.0,,,2.2,1.2,0.9,0.0,3.2,2.1,1.2,0.0,34.0,32.0,101.0,99.0,
22,45,10.0,32.0,18.0,0.0,138.0,,,3.6,1.9,1.1,0.7,4.3,2.9,2.5,1.1,55.0,52.0,145.0,146.0,
23,55,5.0,24.0,29.0,0.0,138.0,,,5.6,4.8,0.0,1.2,9.0,7.1,0.0,1.3,36.0,27.0,159.0,156.0,
24,65,35.0,24.0,3.0,92.0,172.5,,,0.7,0.4,0.0,0.2,0.9,0.6,0.0,0.3,114.0,116.0,190.0,196.0,
25,65,20.0,16.0,6.0,0.0,138.0,,,2.1,0.0,0.0,0.3,3.4,0.0,0.0,0.2,47.0,37.0,189.0,188.0,
26,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
capacity,200,,,,,,,,,,,,,,,,,,,,
