CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 21
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,45,68.0,24.0,10.0,803.4,1236.0,,,2.3,1.3,0.0,0.5,3.2,2.3,0.0,0.5,883.0,883.0,997.0,1001.0,
2,45,70.0,8.0,30.0,494.4,927.0,,,12.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,793.0,796.0,893.0,900.0,
3,42,66.0,8.0,10.0,0.0,741.6,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,11.0,25.0,191.0,198.0,
4,42,68.0,24.0,10.0,494.4,927.0,,,2.2,1.3,0.6,0.0,2.9,2.0,1.1,0.0,688.0,689.0,810.0,820.0,
5,42,65.0,32.0,10.0,0.0,741.6,,,1.6,1.3,0.7,0.4,2.4,2.0,1.2,0.4,8.0,6.0,128.0,120.0,
6,40,69.0,32.0,20.0,494.4,927.0,,,3.7,2.3,1.7,0.4,5.1,4.4,2.1,0.4,580.0,565.0,753.0,759.0,
7,40,66.0,8.0,20.0,0.0,741.6,,,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,141.0,131.0,262.0,256.0,
8,38,68.0,24.0,20.0,0.0,741.6,,,4.0,3.3,0.0,0.7,7.2,4.3,0.0,0.5,216.0,216.0,359.0,367.0,
9,38,70.0,8.0,10.0,0.0,741.6,,,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,497.0,493.0,647.0,648.0,
10,35,66.0,24.0,10.0,0.0,741.6,,,2.5,0.0,1.3,0.2,4.0,0.0,1.2,0.8,329.0,323.0,444.0,438.0,
11,35,69.0,32.0,10.0,0.0,741.6,,,1.8,1.3,0.6,0.3,2.4,2.1,1.2,0.2,408.0,418.0,539.0,534.0,
12,25,85.0,24.0,20.0,494.4,927.0,,,5.8,0.0,1.9,0.3,7.9,0.0,2.2,1.9,612.0,609.0,760.0,763.0,
13,22,75.0,8.0,30.0,0.0,741.6,,,0.0,0.0,0.0,12.0,0.0,0.0,0.0,18.0,23.0,19.0,158.0,160.0,
14,22,85.0,16.0,10.0,0.0,741.6,,,0.0,2.9,0.0,1.1,0.0,5.6,0.0,0.4,532.0,533.0,651.0,655.0,
