CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,52,75.0,16.0,10.0,0.0,2034.0,,,6.4,3.6,0.0,3378.0,
2,45,70.0,8.0,30.0,0.0,2034.0,,,0.0,30.0,0.0,3309.0,
3,62,69.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,0.0,3275.0,
4,60,66.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,1250.0,1430.0,
5,42,65.0,16.0,10.0,0.0,2034.0,,,5.4,4.6,0.0,3330.0,
6,16,42.0,8.0,20.0,0.0,2034.0,,,20.0,0.0,491.0,661.0,
7,58,70.0,16.0,20.0,0.0,2034.0,,,11.5,8.5,0.0,3281.0,
8,34,60.0,8.0,20.0,2203.5,3390.0,,,20.0,0.0,2871.0,3052.0,
9,28,70.0,8.0,10.0,2203.5,3390.0,,,0.0,10.0,2601.0,2770.0,
10,35,66.0,16.0,10.0,2203.5,3390.0,,,5.2,4.8,2777.0,2952.0,
11,35,69.0,8.0,10.0,2203.5,3390.0,,,0.0,10.0,2697.0,2870.0,
12,25,85.0,16.0,20.0,0.0,2034.0,,,11.0,9.0,0.0,3308.0,
13,22,75.0,16.0,30.0,2203.5,3390.0,,,19.1,10.9,2395.0,2573.0,
14,22,85.0,16.0,10.0,0.0,2034.0,,,5.4,4.6,0.0,3275.0,
15,20,80.0,8.0,40.0,1356.0,2542.5,,,40.0,0.0,2213.0,2379.0,
16,20,85.0,8.0,40.0,0.0,2034.0,,,40.0,0.0,0.0,3357.0,
17,18,75.0,16.0,20.0,1356.0,2542.5,,,14.1,5.9,2295.0,2478.0,
18,15,75.0,16.0,20.0,0.0,2034.0,,,13.8,6.2,0.0,3355.0,
19,15,80.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,0.0,3326.0,
20,30,50.0,8.0,10.0,0.0,2034.0,,,0.0,10.0,0.0,3302.0,
21,30,56.0,8.0,20.0,0.0,2034.0,,,0.0,20.0,0.0,3337.0,
22,28,52.0,16.0,20.0,0.0,2034.0,,,12.0,8.0,15.0,186.0,
23,14,66.0,8.0,10.0,0.0,2034.0,,,0.0,10.0,1629.0,1810.0,
24,25,50.0,16.0,10.0,0.0,2034.0,,,6.2,3.8,0.0,3361.0,
25,22,66.0,8.0,40.0,2203.5,3390.0,,,40.0,0.0,2491.0,2670.0,
26,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
capacity,700,,,,,,,,,,,,
