CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,45,68.0,16.0,10.0,0.0,741.6,,,2.7,1.3,4.2,1.8,0.0,0.0,1202.0,1198.0,
2,45,70.0,8.0,30.0,0.0,741.6,,,12.0,0.0,18.0,0.0,0.0,0.0,1128.0,1231.0,
3,42,66.0,8.0,10.0,0.0,741.6,,,4.0,0.0,6.0,0.0,0.0,0.0,1203.0,1219.0,
4,42,68.0,8.0,10.0,494.4,927.0,,,0.0,4.0,0.0,6.0,726.0,724.0,784.0,782.0,
5,42,65.0,16.0,10.0,0.0,741.6,,,2.2,1.8,3.7,2.3,0.0,0.0,1232.0,1190.0,
6,40,69.0,8.0,20.0,0.0,741.6,,,8.0,0.0,12.0,0.0,618.0,621.0,710.0,708.0,
7,40,66.0,8.0,20.0,0.0,741.6,,,8.0,0.0,12.0,0.0,0.0,0.0,1162.0,1140.0,
8,38,68.0,16.0,20.0,0.0,741.6,,,5.3,2.7,8.0,4.0,254.0,252.0,329.0,324.0,
9,38,70.0,8.0,10.0,0.0,741.6,,,4.0,0.0,6.0,0.0,531.0,534.0,612.0,611.0,
10,35,66.0,16.0,10.0,0.0,741.6,,,2.7,1.3,3.8,2.2,355.0,357.0,413.0,414.0,
11,35,69.0,8.0,10.0,0.0,741.6,,,0.0,4.0,0.0,6.0,445.0,443.0,505.0,508.0,
12,25,85.0,16.0,20.0,0.0,741.6,,,4.9,3.1,8.7,3.3,0.0,0.0,1207.0,1196.0,
13,22,75.0,16.0,30.0,0.0,741.6,,,7.7,4.3,12.2,5.8,24.0,26.0,94.0,95.0,
14,22,85.0,8.0,10.0,0.0,741.6,,,0.0,4.0,0.0,6.0,565.0,564.0,622.0,621.0,
15,20,80.0,8.0,40.0,0.0,741.6,,,0.0,16.0,0.0,24.0,379.0,383.0,432.0,432.0,
16,20,85.0,8.0,40.0,0.0,741.6,,,16.0,0.0,24.0,0.0,469.0,474.0,532.0,532.0,
17,18,75.0,8.0,20.0,0.0,741.6,,,0.0,8.0,0.0,12.0,97.0,99.0,151.0,148.0,
18,15,75.0,16.0,20.0,0.0,741.6,,,4.9,3.1,7.9,4.1,172.0,172.0,257.0,260.0,
19,15,80.0,8.0,10.0,0.0,741.6,,,0.0,4.0,0.0,6.0,276.0,275.0,349.0,349.0,
20,30,50.0,8.0,10.0,0.0,741.6,,,4.0,0.0,6.0,0.0,9.0,7.0,74.0,74.0,
21,30,52.0,8.0,20.0,0.0,741.6,,,0.0,8.0,0.0,12.0,0.0,0.0,1171.0,1233.0,
22,28,52.0,16.0,20.0,494.4,927.0,,,5.8,2.2,6.8,5.2,812.0,808.0,886.0,885.0,
23,28,55.0,8.0,10.0,494.4,927.0,,,4.0,0.0,6.0,0.0,732.0,727.0,780.0,777.0,
24,25,50.0,16.0,10.0,0.0,741.6,,,3.0,1.0,3.1,2.9,64.0,58.0,147.0,150.0,
25,25,52.0,16.0,40.0,0.0,741.6,,,9.7,6.3,14.5,9.5,166.0,166.0,225.0,224.0,
26,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
capacity,200,,,,,,,,,,,,,,,,
