CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 17
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,8.0,10.0,149.5,230.0,,,0.0,4.0,0.0,6.0,127.0,125.0,208.0,206.0,
2,35,17.0,8.0,7.0,0.0,138.0,,,0.0,2.8,0.0,4.2,15.0,18.0,95.0,94.0,
3,55,45.0,16.0,13.0,0.0,138.0,,,2.8,2.4,5.2,2.6,106.0,105.0,136.0,136.0,
4,55,20.0,8.0,19.0,92.0,172.5,,,7.6,0.0,11.4,0.0,67.0,71.0,205.0,196.0,
5,15,30.0,8.0,26.0,0.0,138.0,,,10.4,0.0,15.6,0.0,18.0,13.0,113.0,112.0,
6,25,30.0,8.0,3.0,0.0,138.0,,,0.0,1.2,0.0,1.8,53.0,47.0,160.0,155.0,
7,20,50.0,16.0,5.0,0.0,138.0,,,1.2,0.8,2.0,1.0,65.0,64.0,106.0,108.0,
8,10,43.0,16.0,9.0,0.0,138.0,,,2.5,1.1,3.6,1.8,61.0,61.0,140.0,142.0,
9,55,60.0,8.0,16.0,0.0,138.0,,,6.4,0.0,9.6,0.0,47.0,49.0,156.0,152.0,
10,30,60.0,16.0,16.0,92.0,172.5,,,4.5,1.9,6.3,3.3,95.0,99.0,158.0,159.0,
11,20,65.0,16.0,12.0,0.0,138.0,,,2.9,1.9,4.5,2.7,32.0,32.0,162.0,163.0,
12,50,35.0,8.0,19.0,0.0,138.0,,,7.6,0.0,11.4,0.0,32.0,37.0,99.0,99.0,
13,30,25.0,16.0,23.0,92.0,172.5,,,6.1,3.1,8.2,5.6,67.0,64.0,220.0,218.0,
14,15,10.0,16.0,20.0,0.0,138.0,,,5.0,3.0,6.4,5.6,26.0,21.0,139.0,139.0,
15,30,5.0,16.0,8.0,0.0,138.0,,,1.7,1.5,3.1,1.7,22.0,20.0,157.0,157.0,
16,10,20.0,8.0,19.0,0.0,138.0,,,7.6,0.0,11.4,0.0,51.0,53.0,105.0,106.0,
17,5,30.0,8.0,2.0,0.0,138.0,,,0.8,0.0,1.2,0.0,37.0,38.0,193.0,202.0,
18,20,40.0,16.0,12.0,0.0,138.0,,,3.1,1.7,5.0,2.2,74.0,74.0,106.0,108.0,
19,15,60.0,8.0,17.0,0.0,138.0,,,6.8,0.0,10.2,0.0,52.0,51.0,113.0,110.0,
20,45,65.0,16.0,9.0,92.0,172.5,,,2.1,1.5,3.4,2.0,104.0,109.0,155.0,153.0,
21,45,20.0,8.0,11.0,0.0,138.0,,,4.4,0.0,6.6,0.0,35.0,32.0,98.0,101.0,
22,45,10.0,16.0,18.0,0.0,138.0,,,4.9,2.3,6.2,4.6,57.0,58.0,151.0,149.0,
23,55,5.0,8.0,29.0,0.0,138.0,,,11.6,0.0,17.4,0.0,33.0,36.0,165.0,163.0,
24,65,35.0,8.0,3.0,92.0,172.5,,,0.0,1.2,0.0,1.8,112.0,111.0,194.0,190.0,
25,65,20.0,8.0,6.0,0.0,138.0,,,0.0,2.4,0.0,3.6,34.0,46.0,195.0,197.0,
26,45,30.0,8.0,17.0,92.0,172.5,,,6.8,0.0,10.2,0.0,115.0,117.0,157.0,159.0,
27,35,40.0,8.0,16.0,0.0,138.0,,,6.4,0.0,9.6,0.0,3.0,1.0,159.0,163.0,
28,41,37.0,16.0,16.0,0.0,138.0,,,4.4,2.0,5.4,4.2,4.0,1.0,83.0,84.0,
29,64,42.0,16.0,9.0,0.0,138.0,,,2.1,1.5,3.2,2.2,36.0,33.0,99.0,99.0,
30,40,60.0,16.0,21.0,0.0,138.0,,,4.7,3.7,8.4,4.2,26.0,24.0,124.0,132.0,
31,31,52.0,8.0,27.0,0.0,138.0,,,0.0,10.8,0.0,16.2,24.0,22.0,90.0,89.0,
32,35,69.0,8.0,23.0,92.0,172.5,,,0.0,9.2,0.0,13.8,111.0,111.0,175.0,179.0,
33,53,52.0,16.0,11.0,0.0,138.0,,,3.2,1.2,4.1,2.5,24.0,23.0,183.0,181.0,
34,65,55.0,16.0,14.0,92.0,172.5,,,3.3,2.3,5.9,2.5,97.0,96.0,147.0,143.0,
35,63,65.0,8.0,8.0,0.0,138.0,,,3.2,0.0,4.8,0.0,49.0,45.0,180.0,189.0,
36,2,60.0,16.0,5.0,0.0,138.0,,,1.1,0.9,1.7,1.3,28.0,34.0,183.0,179.0,
37,20,20.0,8.0,8.0,92.0,172.5,,,0.0,3.2,0.0,4.8,117.0,116.0,160.0,161.0,
38,5,5.0,8.0,16.0,0.0,138.0,,,0.0,6.4,0.0,9.6,36.0,31.0,154.0,146.0,
39,60,12.0,16.0,31.0,0.0,138.0,,,6.6,5.8,9.8,8.8,21.0,28.0,199.0,200.0,
40,40,25.0,8.0,9.0,0.0,138.0,,,3.6,0.0,5.4,0.0,48.0,44.0,132.0,133.0,
41,42,7.0,16.0,5.0,0.0,138.0,,,1.5,0.5,2.1,0.9,42.0,36.0,168.0,170.0,
42,24,12.0,8.0,5.0,0.0,138.0,,,0.0,2.0,0.0,3.0,13.0,17.0,183.0,183.0,
43,23,3.0,16.0,7.0,92.0,172.5,,,1.5,1.3,2.8,1.4,111.0,113.0,158.0,162.0,
44,11,14.0,8.0,18.0,0.0,138.0,,,7.2,0.0,10.8,0.0,29.0,21.0,146.0,140.0,
45,6,38.0,8.0,16.0,0.0,138.0,,,6.4,0.0,9.6,0.0,19.0,16.0,201.0,200.0,
46,2,48.0,8.0,1.0,92.0,172.5,,,0.0,0.4,0.0,0.6,92.0,87.0,152.0,150.0,
47,8,56.0,16.0,27.0,0.0,138.0,,,7.9,2.9,9.4,6.8,32.0,33.0,122.0,120.0,
48,13,52.0,8.0,36.0,92.0,172.5,,,0.0,14.4,0.0,21.6,120.0,118.0,197.0,193.0,
49,6,68.0,16.0,30.0,0.0,138.0,,,6.9,5.1,12.1,5.9,92.0,93.0,134.0,134.0,
50,47,47.0,16.0,13.0,92.0,172.5,,,3.1,2.1,4.7,3.1,100.0,103.0,154.0,155.0,
51,49,58.0,8.0,10.0,0.0,138.0,,,0.0,4.0,0.0,6.0,66.0,62.0,119.0,122.0,
52,27,43.0,16.0,9.0,0.0,138.0,,,2.0,1.6,3.8,1.6,22.0,20.0,94.0,92.0,
53,37,31.0,16.0,14.0,0.0,138.0,,,3.1,2.5,6.1,2.3,54.0,54.0,139.0,141.0,
54,57,29.0,16.0,18.0,92.0,172.5,,,4.1,3.1,7.4,3.4,120.0,121.0,168.0,171.0,
55,63,23.0,8.0,2.0,92.0,172.5,,,0.0,0.8,0.0,1.2,61.0,64.0,193.0,198.0,
56,53,12.0,16.0,6.0,92.0,172.5,,,1.4,1.0,2.2,1.4,76.0,70.0,191.0,198.0,
57,32,12.0,8.0,7.0,0.0,138.0,,,2.8,0.0,4.2,0.0,77.0,74.0,136.0,135.0,
58,36,26.0,16.0,18.0,92.0,172.5,,,4.0,3.2,7.2,3.6,77.0,76.0,223.0,221.0,
59,21,24.0,16.0,28.0,0.0,138.0,,,6.6,4.6,9.7,7.1,10.0,7.0,131.0,133.0,
60,17,34.0,8.0,3.0,149.5,230.0,,,1.2,0.0,1.8,0.0,126.0,129.0,206.0,206.0,
61,12,24.0,16.0,13.0,0.0,138.0,,,2.9,2.3,5.1,2.7,56.0,55.0,102.0,103.0,
62,24,58.0,16.0,19.0,0.0,138.0,,,5.4,2.2,8.0,3.4,20.0,23.0,170.0,164.0,
63,27,69.0,8.0,10.0,0.0,138.0,,,4.0,0.0,6.0,0.0,28.0,30.0,118.0,115.0,
64,15,77.0,8.0,9.0,0.0,138.0,,,0.0,3.6,0.0,5.4,34.0,39.0,175.0,176.0,
65,62,77.0,8.0,20.0,0.0,138.0,,,0.0,8.0,0.0,12.0,37.0,49.0,171.0,179.0,
66,49,73.0,8.0,25.0,92.0,172.5,,,0.0,10.0,0.0,15.0,73.0,75.0,183.0,183.0,
67,67,5.0,16.0,25.0,0.0,138.0,,,6.3,3.7,10.3,4.7,38.0,35.0,154.0,151.0,
68,56,39.0,8.0,36.0,92.0,172.5,,,0.0,14.4,0.0,21.6,77.0,74.0,200.0,201.0,
69,37,47.0,16.0,6.0,0.0,138.0,,,1.7,0.7,2.4,1.2,8.0,1.0,148.0,150.0,
70,37,56.0,16.0,5.0,0.0,138.0,,,1.3,0.7,2.0,1.0,8.0,16.0,201.0,203.0,
71,57,68.0,8.0,15.0,0.0,138.0,,,6.0,0.0,9.0,0.0,52.0,55.0,106.0,109.0,
