CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,Unnamed: 13
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,41,49.0,16.0,10.0,149.5,230.0,,,5.9,4.1,148.0,181.0,
2,35,17.0,8.0,7.0,0.0,138.0,,,0.0,7.0,39.0,70.0,
3,55,45.0,8.0,13.0,0.0,138.0,,,0.0,13.0,103.0,138.0,
4,55,20.0,8.0,19.0,92.0,172.5,,,0.0,19.0,137.0,170.0,
5,15,30.0,8.0,26.0,0.0,138.0,,,0.0,26.0,23.0,55.0,
6,25,30.0,16.0,3.0,0.0,138.0,,,1.9,1.1,87.0,120.0,
7,20,50.0,16.0,5.0,0.0,138.0,,,3.1,1.9,68.0,103.0,
8,10,43.0,8.0,9.0,0.0,138.0,,,9.0,0.0,82.0,117.0,
9,55,60.0,8.0,16.0,0.0,138.0,,,16.0,0.0,87.0,118.0,
10,30,60.0,16.0,16.0,92.0,172.5,,,9.5,6.5,114.0,145.0,
11,20,65.0,16.0,12.0,0.0,138.0,,,8.1,3.9,55.0,88.0,
12,50,35.0,16.0,19.0,0.0,138.0,,,12.9,6.1,51.0,84.0,
13,30,25.0,16.0,23.0,149.5,230.0,,,13.3,9.7,147.0,180.0,
14,15,10.0,8.0,20.0,0.0,138.0,,,20.0,0.0,32.0,64.0,
15,30,5.0,8.0,8.0,0.0,138.0,,,0.0,8.0,48.0,81.0,
16,10,20.0,8.0,19.0,0.0,138.0,,,19.0,0.0,64.0,95.0,
17,5,30.0,16.0,2.0,149.5,230.0,,,1.2,0.8,144.0,178.0,
18,20,40.0,16.0,12.0,0.0,138.0,,,7.0,5.0,75.0,110.0,
19,15,60.0,16.0,17.0,0.0,138.0,,,11.6,5.4,65.0,96.0,
20,45,65.0,16.0,9.0,92.0,172.5,,,6.1,2.9,113.0,148.0,
21,45,20.0,16.0,11.0,0.0,138.0,,,7.9,3.1,49.0,84.0,
22,45,10.0,16.0,18.0,0.0,138.0,,,11.4,6.6,86.0,120.0,
23,55,5.0,8.0,29.0,0.0,138.0,,,29.0,0.0,56.0,89.0,
24,65,35.0,8.0,3.0,92.0,172.5,,,3.0,0.0,140.0,176.0,
25,65,20.0,16.0,6.0,149.5,230.0,,,3.5,2.5,153.0,189.0,
26,45,30.0,8.0,17.0,92.0,172.5,,,17.0,0.0,122.0,154.0,
27,35,40.0,8.0,16.0,0.0,138.0,,,0.0,16.0,24.0,60.0,
28,41,37.0,16.0,16.0,0.0,138.0,,,8.1,7.9,29.0,61.0,
29,64,42.0,8.0,9.0,0.0,138.0,,,0.0,9.0,50.0,84.0,
30,40,60.0,16.0,21.0,0.0,138.0,,,12.6,8.4,59.0,94.0,
31,31,52.0,16.0,27.0,0.0,138.0,,,15.4,11.6,37.0,70.0,
32,35,69.0,8.0,23.0,92.0,172.5,,,0.0,23.0,128.0,164.0,
33,53,52.0,8.0,11.0,0.0,138.0,,,11.0,0.0,26.0,59.0,
34,65,55.0,16.0,14.0,0.0,138.0,,,8.5,5.5,107.0,140.0,
35,63,65.0,8.0,8.0,92.0,172.5,,,0.0,8.0,131.0,166.0,
36,2,60.0,8.0,5.0,0.0,138.0,,,0.0,5.0,40.0,73.0,
37,20,20.0,8.0,8.0,92.0,172.5,,,0.0,8.0,121.0,155.0,
38,5,5.0,8.0,16.0,0.0,138.0,,,16.0,0.0,73.0,104.0,
39,60,12.0,8.0,31.0,0.0,138.0,,,0.0,31.0,33.0,66.0,
40,40,25.0,16.0,9.0,0.0,138.0,,,4.8,4.2,72.0,107.0,
41,42,7.0,8.0,5.0,0.0,138.0,,,0.0,5.0,87.0,117.0,
42,24,12.0,16.0,5.0,0.0,138.0,,,2.9,2.1,25.0,57.0,
43,23,3.0,8.0,7.0,92.0,172.5,,,7.0,0.0,122.0,153.0,
44,11,14.0,8.0,18.0,0.0,138.0,,,18.0,0.0,57.0,91.0,
45,6,38.0,8.0,16.0,0.0,138.0,,,0.0,16.0,29.0,60.0,
46,2,48.0,16.0,1.0,0.0,138.0,,,0.6,0.4,107.0,138.0,
47,8,56.0,8.0,27.0,0.0,138.0,,,27.0,0.0,40.0,73.0,
48,13,52.0,16.0,36.0,149.5,230.0,,,22.1,13.9,154.0,185.0,
49,6,68.0,8.0,30.0,0.0,138.0,,,0.0,30.0,98.0,129.0,
50,47,47.0,8.0,13.0,92.0,172.5,,,0.0,13.0,113.0,144.0,
51,49,58.0,8.0,10.0,0.0,138.0,,,0.0,10.0,76.0,111.0,
52,27,43.0,8.0,9.0,0.0,138.0,,,9.0,0.0,42.0,75.0,
53,37,31.0,8.0,14.0,0.0,138.0,,,0.0,14.0,85.0,115.0,
54,57,29.0,16.0,18.0,92.0,172.5,,,12.1,5.9,127.0,160.0,
55,63,23.0,16.0,2.0,92.0,172.5,,,1.1,0.9,123.0,158.0,
56,53,12.0,8.0,6.0,92.0,172.5,,,6.0,0.0,119.0,152.0,
57,32,12.0,8.0,7.0,0.0,138.0,,,7.0,0.0,89.0,123.0,
58,36,26.0,16.0,18.0,149.5,230.0,,,11.0,7.0,177.0,212.0,
