CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,25,85.0,32.0,20.0,384.0,720.0,,,3.6,2.4,1.8,0.2,5.3,3.6,1.7,1.4,409.0,394.0,955.0,914.0,
2,22,75.0,32.0,30.0,0.0,576.0,,,6.0,3.5,1.9,0.5,8.6,5.2,3.0,1.2,24.0,1.0,539.0,526.0,
3,22,85.0,24.0,10.0,384.0,720.0,,,1.9,1.1,0.9,0.0,2.8,2.0,1.2,0.0,279.0,290.0,788.0,784.0,
4,20,80.0,16.0,40.0,624.0,960.0,,,0.0,0.0,13.4,2.6,0.0,0.0,20.8,3.2,669.0,668.0,740.0,734.0,
5,20,85.0,8.0,20.0,0.0,576.0,,,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,2.0,12.0,533.0,560.0,
6,18,75.0,24.0,20.0,0.0,576.0,,,0.0,3.7,2.9,1.4,0.0,6.2,4.4,1.4,383.0,384.0,511.0,507.0,
7,15,75.0,24.0,20.0,0.0,576.0,,,5.2,0.0,2.2,0.6,7.1,0.0,3.6,1.3,120.0,95.0,603.0,622.0,
8,15,80.0,24.0,10.0,0.0,576.0,,,2.1,1.7,0.0,0.2,3.5,1.9,0.0,0.6,394.0,397.0,460.0,460.0,
9,10,35.0,16.0,20.0,0.0,576.0,,,0.0,6.5,0.0,1.5,0.0,8.7,0.0,3.3,401.0,395.0,465.0,464.0,
10,10,40.0,16.0,30.0,384.0,720.0,,,0.0,7.1,4.9,0.0,0.0,11.1,6.9,0.0,532.0,530.0,629.0,626.0,
11,8,40.0,24.0,40.0,0.0,576.0,,,8.2,5.6,2.2,0.0,11.6,7.7,4.7,0.0,224.0,225.0,288.0,291.0,
12,8,45.0,8.0,20.0,0.0,576.0,,,0.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,25.0,37.0,549.0,561.0,
13,5,35.0,32.0,10.0,624.0,960.0,,,1.9,1.1,0.5,0.5,2.5,2.0,1.0,0.5,682.0,683.0,747.0,745.0,
14,5,45.0,16.0,10.0,0.0,576.0,,,2.3,1.7,0.0,0.0,3.5,2.5,0.0,0.0,2.0,30.0,372.0,385.0,
15,2,40.0,24.0,20.0,0.0,576.0,,,3.7,3.1,1.3,0.0,5.2,4.5,2.3,0.0,202.0,198.0,270.0,265.0,
16,0,40.0,24.0,20.0,0.0,576.0,,,4.3,3.1,0.0,0.6,6.1,5.0,0.0,0.9,185.0,193.0,436.0,439.0,
17,0,45.0,8.0,20.0,624.0,960.0,,,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,688.0,697.0,837.0,836.0,
18,44,5.0,16.0,20.0,0.0,576.0,,,0.0,0.0,6.6,1.4,0.0,0.0,10.7,1.3,299.0,296.0,496.0,487.0,
19,42,10.0,16.0,40.0,0.0,576.0,,,0.0,0.0,10.0,6.0,0.0,0.0,16.5,7.5,195.0,181.0,431.0,431.0,
20,42,15.0,24.0,10.0,384.0,720.0,,,2.2,1.6,0.0,0.2,3.2,2.1,0.0,0.6,489.0,491.0,710.0,710.0,
21,40,5.0,32.0,10.0,0.0,576.0,,,1.8,1.3,0.6,0.4,2.5,1.9,1.3,0.3,27.0,28.0,548.0,529.0,
22,40,15.0,16.0,40.0,0.0,576.0,,,12.1,0.0,3.9,0.0,16.9,0.0,7.1,0.0,372.0,372.0,493.0,493.0,
23,38,5.0,32.0,30.0,0.0,576.0,,,4.4,4.1,2.2,1.3,8.4,4.8,2.9,1.9,225.0,227.0,293.0,291.0,
24,38,15.0,32.0,10.0,624.0,960.0,,,1.8,1.2,0.9,0.1,2.2,1.9,1.3,0.6,606.0,607.0,888.0,881.0,
25,35,5.0,16.0,20.0,624.0,960.0,,,0.0,4.9,3.1,0.0,0.0,8.2,3.8,0.0,820.0,818.0,884.0,882.0,
26,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
capacity,1000,,,,,,,,,,,,,,,,,,,,
