CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 17
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,25,85.0,16.0,20.0,624.0,960.0,,,5.5,2.5,8.1,3.9,664.0,665.0,796.0,793.0,
2,22,75.0,8.0,30.0,0.0,576.0,,,12.0,0.0,18.0,0.0,147.0,144.0,284.0,280.0,
3,22,85.0,8.0,10.0,384.0,720.0,,,0.0,4.0,0.0,6.0,460.0,471.0,599.0,597.0,
4,20,80.0,8.0,40.0,624.0,960.0,,,16.0,0.0,24.0,0.0,643.0,639.0,773.0,766.0,
5,20,85.0,16.0,20.0,0.0,576.0,,,5.1,2.9,6.7,5.3,64.0,70.0,195.0,198.0,
6,18,75.0,8.0,20.0,0.0,576.0,,,0.0,8.0,0.0,12.0,388.0,385.0,516.0,520.0,
7,15,75.0,16.0,20.0,0.0,576.0,,,5.0,3.0,7.2,4.8,299.0,300.0,430.0,423.0,
8,15,80.0,8.0,10.0,0.0,576.0,,,4.0,0.0,6.0,0.0,363.0,362.0,498.0,491.0,
9,10,35.0,8.0,20.0,0.0,576.0,,,8.0,0.0,12.0,0.0,360.0,360.0,491.0,496.0,
10,10,40.0,16.0,30.0,384.0,720.0,,,7.3,4.7,12.5,5.5,510.0,518.0,651.0,641.0,
11,8,40.0,8.0,40.0,0.0,576.0,,,0.0,16.0,0.0,24.0,192.0,193.0,318.0,315.0,
12,8,45.0,16.0,20.0,0.0,576.0,,,5.8,2.2,8.2,3.8,222.0,214.0,350.0,349.0,
13,5,35.0,16.0,10.0,624.0,960.0,,,2.4,1.6,3.3,2.7,645.0,641.0,784.0,779.0,
14,5,45.0,8.0,10.0,0.0,576.0,,,0.0,4.0,0.0,6.0,30.0,27.0,160.0,155.0,
15,2,40.0,16.0,20.0,0.0,576.0,,,5.1,2.9,7.8,4.2,169.0,169.0,303.0,305.0,
16,0,40.0,16.0,20.0,0.0,576.0,,,4.8,3.2,7.3,4.7,243.0,255.0,383.0,387.0,
