CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,25,85.0,16.0,20.0,96.0,180.0,,,5.2,2.8,7.3,4.7,145.0,145.0,177.0,177.0,
2,22,75.0,16.0,30.0,0.0,144.0,,,8.0,4.0,11.2,6.8,50.0,47.0,81.0,80.0,
3,22,85.0,8.0,10.0,0.0,144.0,,,4.0,0.0,6.0,0.0,106.0,108.0,139.0,141.0,
4,20,80.0,8.0,40.0,96.0,180.0,,,0.0,16.0,0.0,24.0,141.0,141.0,172.0,171.0,
5,20,85.0,8.0,20.0,0.0,144.0,,,8.0,0.0,12.0,0.0,39.0,40.0,72.0,73.0,
6,18,75.0,8.0,20.0,0.0,144.0,,,0.0,8.0,0.0,12.0,94.0,94.0,125.0,128.0,
7,15,75.0,8.0,20.0,0.0,144.0,,,8.0,0.0,12.0,0.0,78.0,78.0,109.0,109.0,
8,15,80.0,16.0,10.0,0.0,144.0,,,2.6,1.4,3.6,2.4,91.0,89.0,122.0,123.0,
9,10,35.0,16.0,20.0,0.0,144.0,,,5.4,2.6,7.7,4.3,91.0,90.0,122.0,122.0,
10,10,40.0,16.0,30.0,96.0,180.0,,,7.0,5.0,11.8,6.2,117.0,116.0,151.0,151.0,
11,8,40.0,16.0,40.0,0.0,144.0,,,10.2,5.8,15.9,8.1,59.0,58.0,89.0,92.0,
12,8,45.0,16.0,20.0,0.0,144.0,,,4.6,3.4,7.1,4.9,61.0,64.0,97.0,96.0,
13,5,35.0,8.0,10.0,96.0,180.0,,,0.0,4.0,0.0,6.0,142.0,139.0,172.0,175.0,
14,5,45.0,8.0,10.0,0.0,144.0,,,4.0,0.0,6.0,0.0,35.0,35.0,66.0,68.0,
15,2,40.0,16.0,20.0,0.0,144.0,,,5.3,2.7,7.6,4.4,58.0,56.0,88.0,89.0,
16,0,40.0,8.0,20.0,0.0,144.0,,,0.0,8.0,0.0,12.0,72.0,69.0,105.0,104.0,
17,0,45.0,16.0,20.0,96.0,180.0,,,5.2,2.8,8.0,4.0,146.0,148.0,181.0,182.0,
18,44,5.0,8.0,20.0,0.0,144.0,,,8.0,0.0,12.0,0.0,86.0,87.0,118.0,117.0,
19,42,10.0,16.0,40.0,0.0,144.0,,,8.7,7.3,16.8,7.2,69.0,70.0,104.0,104.0,
20,42,15.0,16.0,10.0,96.0,180.0,,,2.8,1.2,3.4,2.6,121.0,122.0,153.0,155.0,
21,40,5.0,16.0,10.0,0.0,144.0,,,2.4,1.6,3.5,2.5,64.0,64.0,98.0,97.0,
22,40,15.0,8.0,40.0,0.0,144.0,,,0.0,16.0,0.0,24.0,92.0,92.0,125.0,125.0,
23,38,5.0,16.0,30.0,0.0,144.0,,,7.3,4.7,11.7,6.3,63.0,62.0,96.0,98.0,
24,38,15.0,16.0,10.0,96.0,180.0,,,2.7,1.3,4.1,1.9,146.0,146.0,181.0,178.0,
25,35,5.0,8.0,20.0,156.0,240.0,,,0.0,8.0,0.0,12.0,151.0,154.0,186.0,184.0,
26,95,30.0,16.0,30.0,96.0,180.0,,,8.0,4.0,11.9,6.1,112.0,115.0,148.0,148.0,
27,95,35.0,8.0,20.0,0.0,144.0,,,0.0,8.0,0.0,12.0,61.0,60.0,92.0,95.0,
28,92,30.0,16.0,10.0,0.0,144.0,,,2.4,1.6,3.6,2.4,60.0,61.0,95.0,93.0,
29,90,35.0,8.0,10.0,0.0,144.0,,,0.0,4.0,0.0,6.0,64.0,65.0,100.0,100.0,
30,88,30.0,16.0,10.0,0.0,144.0,,,2.7,1.3,4.2,1.8,74.0,73.0,105.0,105.0,
31,88,35.0,16.0,20.0,0.0,144.0,,,5.6,2.4,7.4,4.6,58.0,61.0,94.0,91.0,
