CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,25,85.0,8.0,20.0,624.0,960.0,,,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,666.0,673.0,804.0,794.0,
2,22,75.0,24.0,30.0,0.0,576.0,,,8.2,0.0,3.5,0.4,10.7,0.0,6.3,0.9,150.0,152.0,284.0,284.0,
3,22,85.0,8.0,10.0,384.0,720.0,,,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,467.0,467.0,600.0,598.0,
4,20,80.0,32.0,40.0,624.0,960.0,,,7.0,6.3,2.5,0.3,12.1,7.1,3.9,1.0,639.0,637.0,769.0,764.0,
5,20,85.0,16.0,20.0,0.0,576.0,,,0.0,4.1,3.9,0.0,0.0,7.9,4.1,0.0,69.0,62.0,201.0,195.0,
6,18,75.0,32.0,20.0,0.0,576.0,,,2.9,2.6,1.8,0.7,5.3,3.3,3.0,0.4,376.0,381.0,508.0,517.0,
7,15,75.0,8.0,20.0,0.0,576.0,,,8.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,291.0,296.0,431.0,427.0,
8,15,80.0,8.0,10.0,0.0,576.0,,,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,355.0,366.0,488.0,494.0,
9,10,35.0,32.0,20.0,0.0,576.0,,,3.7,2.2,1.4,0.7,5.2,3.6,2.3,1.0,369.0,367.0,495.0,497.0,
10,10,40.0,8.0,30.0,384.0,720.0,,,12.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,507.0,511.0,651.0,645.0,
