CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,41,49.0,8.0,10.0,650.0,1000.0,,,0.0,10.0,643.0,906.0,
2,35,17.0,8.0,7.0,0.0,600.0,,,0.0,7.0,89.0,335.0,
3,55,45.0,16.0,13.0,400.0,750.0,,,9.3,3.7,417.0,695.0,
4,55,20.0,16.0,19.0,650.0,1000.0,,,11.2,7.8,617.0,862.0,
5,15,30.0,8.0,26.0,0.0,600.0,,,26.0,0.0,0.0,274.0,
6,25,30.0,8.0,3.0,0.0,600.0,,,0.0,3.0,332.0,592.0,
7,20,50.0,8.0,5.0,0.0,600.0,,,5.0,0.0,240.0,502.0,
8,10,43.0,16.0,9.0,0.0,600.0,,,5.6,3.4,299.0,581.0,
9,55,60.0,16.0,16.0,0.0,600.0,,,9.3,6.7,312.0,571.0,
10,30,60.0,8.0,16.0,400.0,750.0,,,0.0,16.0,467.0,741.0,
11,20,65.0,16.0,12.0,0.0,600.0,,,6.9,5.1,126.0,396.0,
12,50,35.0,8.0,19.0,0.0,600.0,,,19.0,0.0,164.0,423.0,
13,30,25.0,8.0,23.0,650.0,1000.0,,,0.0,23.0,631.0,896.0,
14,15,10.0,16.0,20.0,0.0,600.0,,,14.7,5.3,14.0,284.0,
15,30,5.0,16.0,8.0,0.0,600.0,,,4.8,3.2,97.0,369.0,
16,10,20.0,16.0,19.0,0.0,600.0,,,11.9,7.1,190.0,460.0,
17,5,30.0,16.0,2.0,650.0,1000.0,,,1.2,0.8,658.0,923.0,
18,20,40.0,8.0,12.0,0.0,600.0,,,12.0,0.0,263.0,534.0,
19,15,60.0,8.0,17.0,0.0,600.0,,,17.0,0.0,183.0,455.0,
20,45,65.0,8.0,9.0,400.0,750.0,,,0.0,9.0,493.0,750.0,
21,45,20.0,8.0,11.0,0.0,600.0,,,11.0,0.0,137.0,406.0,
22,45,10.0,16.0,18.0,0.0,600.0,,,10.5,7.5,310.0,596.0,
23,55,5.0,8.0,29.0,0.0,600.0,,,29.0,0.0,125.0,392.0,
24,65,35.0,8.0,3.0,650.0,1000.0,,,0.0,3.0,653.0,910.0,
25,65,20.0,8.0,6.0,650.0,1000.0,,,0.0,6.0,700.0,969.0,
26,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
capacity,1000,,,,,,,,,,,,
