CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,8.0,10.0,0.0,600.0,,,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,123.0,123.0,984.0,981.0,
2,35,17.0,8.0,7.0,0.0,600.0,,,0.0,0.0,2.8,0.0,0.0,0.0,4.2,0.0,5.0,3.0,862.0,851.0,
3,55,45.0,32.0,13.0,400.0,750.0,,,2.4,1.6,0.7,0.5,3.2,2.3,1.6,0.6,260.0,251.0,853.0,836.0,
4,55,20.0,8.0,19.0,650.0,1000.0,,,0.0,7.6,0.0,0.0,0.0,11.4,0.0,0.0,672.0,676.0,805.0,805.0,
5,15,30.0,24.0,26.0,0.0,600.0,,,4.7,3.6,2.1,0.0,7.2,5.4,3.1,0.0,18.0,8.0,961.0,917.0,
6,25,30.0,16.0,3.0,0.0,600.0,,,0.0,0.0,0.9,0.3,0.0,0.0,1.4,0.4,341.0,341.0,593.0,592.0,
7,20,50.0,24.0,5.0,0.0,600.0,,,1.2,0.0,0.5,0.3,2.1,0.0,0.8,0.1,66.0,69.0,723.0,683.0,
8,10,43.0,32.0,9.0,0.0,600.0,,,1.6,0.9,0.7,0.4,2.2,1.7,1.1,0.4,392.0,385.0,499.0,497.0,
9,55,60.0,8.0,16.0,0.0,600.0,,,0.0,0.0,6.4,0.0,0.0,0.0,9.6,0.0,387.0,387.0,503.0,506.0,
10,30,60.0,8.0,16.0,400.0,750.0,,,0.0,6.4,0.0,0.0,0.0,9.6,0.0,0.0,503.0,499.0,704.0,703.0,
11,20,65.0,16.0,12.0,0.0,600.0,,,2.9,1.9,0.0,0.0,4.4,2.8,0.0,0.0,205.0,206.0,326.0,326.0,
12,50,35.0,24.0,19.0,0.0,600.0,,,4.8,0.0,1.9,0.9,7.8,0.0,2.4,1.2,3.0,6.0,785.0,754.0,
13,30,25.0,8.0,23.0,650.0,1000.0,,,0.0,0.0,0.0,9.2,0.0,0.0,0.0,13.8,689.0,694.0,824.0,826.0,
14,15,10.0,24.0,20.0,0.0,600.0,,,4.3,3.1,0.0,0.7,5.9,4.6,0.0,1.5,12.0,28.0,714.0,760.0,
15,30,5.0,32.0,8.0,0.0,600.0,,,1.4,1.1,0.4,0.3,2.2,1.3,1.1,0.2,173.0,164.0,304.0,310.0,
16,10,20.0,8.0,19.0,0.0,600.0,,,7.6,0.0,0.0,0.0,11.4,0.0,0.0,0.0,86.0,63.0,553.0,582.0,
17,5,30.0,16.0,2.0,650.0,1000.0,,,0.0,0.5,0.3,0.0,0.0,0.8,0.4,0.0,658.0,660.0,937.0,938.0,
18,20,40.0,16.0,12.0,0.0,600.0,,,3.0,1.8,0.0,0.0,3.9,3.3,0.0,0.0,218.0,213.0,592.0,589.0,
19,15,60.0,32.0,17.0,0.0,600.0,,,3.0,1.8,1.2,0.8,4.3,2.9,2.7,0.3,85.0,81.0,592.0,562.0,
20,45,65.0,32.0,9.0,400.0,750.0,,,1.4,1.2,0.8,0.1,2.3,1.6,0.9,0.7,379.0,399.0,846.0,849.0,
21,45,20.0,16.0,11.0,0.0,600.0,,,2.5,1.9,0.0,0.0,3.6,3.0,0.0,0.0,11.0,11.0,749.0,779.0,
22,45,10.0,32.0,18.0,0.0,600.0,,,3.1,2.4,0.9,0.8,4.8,3.5,1.4,1.1,333.0,336.0,564.0,558.0,
23,55,5.0,16.0,29.0,0.0,600.0,,,9.0,0.0,2.6,0.0,10.7,0.0,6.7,0.0,201.0,203.0,328.0,326.0,
24,65,35.0,16.0,3.0,400.0,750.0,,,0.0,0.7,0.5,0.0,0.0,1.0,0.8,0.0,430.0,418.0,985.0,963.0,
25,65,20.0,24.0,6.0,650.0,1000.0,,,1.1,0.7,0.6,0.0,1.8,1.2,0.6,0.0,817.0,815.0,968.0,960.0,
26,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
capacity,1000,,,,,,,,,,,,,,,,,,,,
