CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,41,49.0,16.0,10.0,0.0,138.0,,,7.1,2.9,0.0,222.0,
2,35,17.0,16.0,7.0,0.0,138.0,,,3.8,3.2,0.0,221.0,
3,55,45.0,16.0,13.0,0.0,138.0,,,7.8,5.2,0.0,210.0,
4,55,20.0,16.0,19.0,92.0,172.5,,,10.6,8.4,136.0,171.0,
5,15,30.0,16.0,26.0,0.0,138.0,,,16.3,9.7,0.0,216.0,
6,25,30.0,8.0,3.0,0.0,138.0,,,0.0,3.0,88.0,120.0,
7,20,50.0,16.0,5.0,0.0,138.0,,,3.3,1.7,0.0,204.0,
8,10,43.0,8.0,9.0,0.0,138.0,,,0.0,9.0,85.0,118.0,
9,55,60.0,8.0,16.0,0.0,138.0,,,0.0,16.0,86.0,117.0,
10,30,60.0,16.0,16.0,92.0,172.5,,,8.7,7.3,113.0,147.0,
11,20,65.0,16.0,12.0,0.0,138.0,,,8.2,3.8,55.0,89.0,
12,50,35.0,16.0,19.0,0.0,138.0,,,13.2,5.8,0.0,217.0,
13,30,25.0,16.0,23.0,149.5,230.0,,,14.3,8.7,147.0,182.0,
14,15,10.0,8.0,20.0,0.0,138.0,,,20.0,0.0,0.0,192.0,
15,30,5.0,8.0,8.0,0.0,138.0,,,8.0,0.0,48.0,82.0,
16,10,20.0,16.0,19.0,0.0,138.0,,,12.8,6.2,0.0,203.0,
17,5,30.0,16.0,2.0,149.5,230.0,,,1.2,0.8,146.0,177.0,
18,20,40.0,16.0,12.0,0.0,138.0,,,8.5,3.5,0.0,205.0,
19,15,60.0,8.0,17.0,0.0,138.0,,,0.0,17.0,0.0,203.0,
20,45,65.0,8.0,9.0,0.0,138.0,,,0.0,9.0,0.0,193.0,
21,45,20.0,8.0,11.0,0.0,138.0,,,11.0,0.0,0.0,221.0,
22,45,10.0,8.0,18.0,0.0,138.0,,,18.0,0.0,87.0,120.0,
23,55,5.0,16.0,29.0,0.0,138.0,,,16.7,12.3,57.0,88.0,
24,65,35.0,8.0,3.0,0.0,138.0,,,3.0,0.0,0.0,204.0,
25,65,20.0,16.0,6.0,149.5,230.0,,,3.3,2.7,153.0,188.0,
26,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
capacity,200,,,,,,,,,,,,
