CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,25,85.0,16.0,20.0,96.0,180.0,,,4.2,3.8,8.5,3.5,60.0,65.0,192.0,199.0,
2,22,75.0,8.0,30.0,0.0,144.0,,,0.0,12.0,0.0,18.0,29.0,29.0,153.0,155.0,
3,22,85.0,8.0,10.0,96.0,180.0,,,0.0,4.0,0.0,6.0,62.0,61.0,184.0,194.0,
4,20,80.0,16.0,40.0,96.0,180.0,,,10.2,5.8,14.7,9.3,151.0,151.0,161.0,162.0,
5,20,85.0,16.0,20.0,0.0,144.0,,,5.5,2.5,7.3,4.7,38.0,34.0,161.0,164.0,
6,18,75.0,8.0,20.0,0.0,144.0,,,8.0,0.0,12.0,0.0,95.0,94.0,125.0,123.0,
7,15,75.0,8.0,20.0,0.0,144.0,,,0.0,8.0,0.0,12.0,30.0,33.0,160.0,162.0,
8,15,80.0,8.0,10.0,0.0,144.0,,,0.0,4.0,0.0,6.0,101.0,100.0,111.0,112.0,
9,10,35.0,8.0,20.0,0.0,144.0,,,8.0,0.0,12.0,0.0,100.0,101.0,111.0,112.0,
10,10,40.0,8.0,30.0,0.0,144.0,,,0.0,12.0,0.0,18.0,123.0,120.0,146.0,145.0,
11,8,40.0,16.0,40.0,0.0,144.0,,,10.8,5.2,17.3,6.7,69.0,68.0,80.0,79.0,
12,8,45.0,8.0,20.0,0.0,144.0,,,0.0,8.0,0.0,12.0,26.0,20.0,156.0,162.0,
13,5,35.0,8.0,10.0,96.0,180.0,,,0.0,4.0,0.0,6.0,151.0,152.0,162.0,163.0,
14,5,45.0,16.0,10.0,0.0,144.0,,,2.4,1.6,4.3,1.7,31.0,32.0,125.0,124.0,
15,2,40.0,8.0,20.0,0.0,144.0,,,0.0,8.0,0.0,12.0,68.0,68.0,78.0,78.0,
16,0,40.0,8.0,20.0,0.0,144.0,,,8.0,0.0,12.0,0.0,55.0,56.0,116.0,114.0,
17,0,45.0,16.0,20.0,96.0,180.0,,,5.4,2.6,6.9,5.1,146.0,147.0,181.0,183.0,
18,44,5.0,16.0,20.0,0.0,144.0,,,5.4,2.6,8.1,3.9,78.0,79.0,124.0,127.0,
19,42,10.0,16.0,40.0,0.0,144.0,,,9.8,6.2,16.2,7.8,54.0,58.0,118.0,117.0,
20,42,15.0,16.0,10.0,96.0,180.0,,,2.6,1.4,3.6,2.4,105.0,105.0,165.0,163.0,
21,40,5.0,8.0,10.0,0.0,144.0,,,0.0,4.0,0.0,6.0,45.0,33.0,169.0,169.0,
22,40,15.0,8.0,40.0,0.0,144.0,,,0.0,16.0,0.0,24.0,94.0,93.0,120.0,119.0,
23,38,5.0,16.0,30.0,0.0,144.0,,,7.8,4.2,11.8,6.2,74.0,75.0,86.0,85.0,
24,38,15.0,16.0,10.0,96.0,180.0,,,2.0,2.0,3.7,2.3,125.0,126.0,200.0,194.0,
25,35,5.0,8.0,20.0,156.0,240.0,,,0.0,8.0,0.0,12.0,171.0,171.0,182.0,182.0,
26,95,30.0,16.0,30.0,0.0,144.0,,,6.8,5.2,12.1,5.9,50.0,51.0,180.0,179.0,
27,95,35.0,8.0,20.0,0.0,144.0,,,0.0,8.0,0.0,12.0,57.0,60.0,93.0,95.0,
28,92,30.0,16.0,10.0,0.0,144.0,,,2.9,1.1,4.1,1.9,52.0,50.0,123.0,123.0,
29,90,35.0,16.0,10.0,0.0,144.0,,,2.6,1.4,3.7,2.3,52.0,52.0,114.0,118.0,
30,88,30.0,8.0,10.0,0.0,144.0,,,0.0,4.0,0.0,6.0,72.0,72.0,103.0,104.0,
31,88,35.0,8.0,20.0,0.0,144.0,,,8.0,0.0,12.0,0.0,41.0,47.0,182.0,174.0,
32,87,30.0,16.0,10.0,96.0,180.0,,,2.3,1.7,3.6,2.4,114.0,112.0,177.0,175.0,
33,85,25.0,16.0,10.0,0.0,144.0,,,2.3,1.7,3.6,2.4,49.0,49.0,87.0,87.0,
34,85,35.0,8.0,30.0,96.0,180.0,,,0.0,12.0,0.0,18.0,59.0,61.0,194.0,188.0,
35,67,85.0,8.0,20.0,96.0,180.0,,,8.0,0.0,12.0,0.0,134.0,137.0,172.0,169.0,
36,65,85.0,8.0,40.0,0.0,144.0,,,16.0,0.0,24.0,0.0,42.0,43.0,78.0,79.0,
