CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,16.0,10.0,0.0,600.0,,,2.4,1.6,0.0,0.0,3.3,2.7,0.0,0.0,175.0,187.0,976.0,974.0,
2,35,17.0,24.0,7.0,0.0,600.0,,,1.9,0.0,0.7,0.2,2.7,0.0,1.3,0.2,16.0,18.0,804.0,864.0,
3,55,45.0,16.0,13.0,400.0,750.0,,,3.0,2.2,0.0,0.0,5.0,2.8,0.0,0.0,279.0,239.0,865.0,855.0,
4,55,20.0,32.0,19.0,650.0,1000.0,,,3.3,2.6,1.2,0.6,5.2,4.0,2.0,0.2,674.0,674.0,809.0,805.0,
5,15,30.0,32.0,26.0,0.0,600.0,,,4.6,2.6,2.3,0.9,6.4,5.1,2.9,1.2,16.0,12.0,941.0,914.0,
6,25,30.0,24.0,3.0,0.0,600.0,,,0.0,0.8,0.3,0.1,0.0,0.9,0.7,0.2,353.0,347.0,585.0,588.0,
7,20,50.0,24.0,5.0,0.0,600.0,,,0.0,1.1,0.7,0.2,0.0,1.9,0.9,0.1,50.0,12.0,684.0,687.0,
8,10,43.0,8.0,9.0,0.0,600.0,,,0.0,3.6,0.0,0.0,0.0,5.4,0.0,0.0,391.0,388.0,500.0,498.0,
9,55,60.0,8.0,16.0,0.0,600.0,,,0.0,6.4,0.0,0.0,0.0,9.6,0.0,0.0,388.0,392.0,507.0,512.0,
10,30,60.0,32.0,16.0,400.0,750.0,,,2.5,1.9,1.3,0.7,4.1,3.1,2.2,0.3,501.0,499.0,706.0,693.0,
