CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,Unnamed: 13
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,25,85.0,8.0,20.0,0.0,576.0,,,0.0,20.0,0.0,914.0,
2,22,75.0,16.0,30.0,0.0,576.0,,,20.2,9.8,0.0,943.0,
3,22,85.0,8.0,10.0,0.0,576.0,,,0.0,10.0,0.0,923.0,
4,20,80.0,16.0,40.0,624.0,960.0,,,24.5,15.5,639.0,764.0,
5,20,85.0,8.0,20.0,0.0,576.0,,,0.0,20.0,0.0,956.0,
6,18,75.0,8.0,20.0,0.0,576.0,,,20.0,0.0,377.0,510.0,
7,15,75.0,16.0,20.0,0.0,576.0,,,10.6,9.4,0.0,942.0,
8,15,80.0,16.0,10.0,0.0,576.0,,,6.5,3.5,362.0,489.0,
9,10,35.0,16.0,20.0,0.0,576.0,,,12.2,7.8,364.0,497.0,
10,10,40.0,8.0,30.0,384.0,720.0,,,0.0,30.0,517.0,639.0,
11,8,40.0,16.0,40.0,0.0,576.0,,,27.0,13.0,190.0,318.0,
12,8,45.0,16.0,20.0,0.0,576.0,,,12.2,7.8,0.0,938.0,
13,5,35.0,8.0,10.0,624.0,960.0,,,0.0,10.0,642.0,782.0,
14,5,45.0,16.0,10.0,0.0,576.0,,,6.0,4.0,0.0,956.0,
15,2,40.0,16.0,20.0,0.0,576.0,,,12.4,7.6,163.0,299.0,
16,0,40.0,16.0,20.0,0.0,576.0,,,13.3,6.7,0.0,930.0,
17,0,45.0,16.0,20.0,624.0,960.0,,,13.3,6.7,702.0,834.0,
18,44,5.0,8.0,20.0,0.0,576.0,,,20.0,0.0,0.0,943.0,
19,42,10.0,16.0,40.0,0.0,576.0,,,21.5,18.5,0.0,926.0,
20,42,15.0,16.0,10.0,0.0,576.0,,,5.2,4.8,0.0,938.0,
21,40,5.0,8.0,10.0,0.0,576.0,,,10.0,0.0,0.0,956.0,
22,40,15.0,8.0,40.0,0.0,576.0,,,0.0,40.0,372.0,503.0,
23,38,5.0,16.0,30.0,0.0,576.0,,,19.6,10.4,199.0,330.0,
24,38,15.0,16.0,10.0,0.0,576.0,,,6.5,3.5,0.0,921.0,
25,35,5.0,8.0,20.0,624.0,960.0,,,0.0,20.0,782.0,914.0,
26,95,30.0,16.0,30.0,0.0,576.0,,,18.2,11.8,0.0,949.0,
27,95,35.0,8.0,20.0,0.0,576.0,,,20.0,0.0,135.0,270.0,
28,92,30.0,16.0,10.0,0.0,576.0,,,6.6,3.4,0.0,948.0,
29,90,35.0,16.0,10.0,0.0,576.0,,,5.8,4.2,0.0,928.0,
30,88,30.0,16.0,10.0,0.0,576.0,,,6.1,3.9,242.0,376.0,
31,88,35.0,16.0,20.0,0.0,576.0,,,12.9,7.1,0.0,940.0,
32,87,30.0,8.0,10.0,0.0,576.0,,,10.0,0.0,0.0,922.0,
33,85,25.0,16.0,10.0,0.0,576.0,,,6.6,3.4,72.0,201.0,
34,85,35.0,8.0,30.0,0.0,576.0,,,30.0,0.0,0.0,930.0,
35,67,85.0,8.0,20.0,624.0,960.0,,,0.0,20.0,657.0,789.0,
36,65,85.0,8.0,40.0,0.0,576.0,,,0.0,40.0,36.0,164.0,
37,65,82.0,8.0,10.0,0.0,576.0,,,10.0,0.0,0.0,921.0,
38,62,80.0,16.0,30.0,0.0,576.0,,,19.1,10.9,278.0,399.0,
39,60,80.0,8.0,10.0,0.0,576.0,,,10.0,0.0,56.0,195.0,
40,60,85.0,8.0,30.0,0.0,576.0,,,30.0,0.0,321.0,451.0,
41,58,75.0,8.0,20.0,0.0,576.0,,,0.0,20.0,371.0,502.0,
42,55,80.0,8.0,10.0,0.0,576.0,,,0.0,10.0,27.0,156.0,
43,55,85.0,8.0,20.0,0.0,576.0,,,0.0,20.0,0.0,929.0,
44,55,82.0,8.0,10.0,0.0,576.0,,,0.0,10.0,209.0,343.0,
45,20,82.0,16.0,10.0,0.0,576.0,,,7.0,3.0,36.0,161.0,
46,18,80.0,16.0,10.0,0.0,576.0,,,6.3,3.7,0.0,919.0,
47,2,45.0,16.0,10.0,0.0,576.0,,,5.7,4.3,0.0,957.0,
48,42,5.0,8.0,10.0,0.0,576.0,,,10.0,0.0,0.0,956.0,
49,42,12.0,16.0,10.0,0.0,576.0,,,6.4,3.6,438.0,560.0,
50,72,35.0,16.0,30.0,0.0,576.0,,,17.9,12.1,0.0,954.0,
51,55,20.0,16.0,19.0,0.0,576.0,,,11.3,7.7,0.0,925.0,
52,25,30.0,8.0,3.0,0.0,576.0,,,3.0,0.0,0.0,943.0,
53,20,50.0,16.0,5.0,0.0,576.0,,,3.1,1.9,365.0,499.0,
54,55,60.0,8.0,16.0,0.0,576.0,,,16.0,0.0,0.0,947.0,
55,30,60.0,16.0,16.0,384.0,720.0,,,9.6,6.4,589.0,719.0,
56,50,35.0,8.0,19.0,384.0,720.0,,,19.0,0.0,551.0,682.0,
57,30,25.0,16.0,23.0,0.0,576.0,,,13.9,9.1,0.0,960.0,
58,15,10.0,16.0,20.0,624.0,960.0,,,11.6,8.4,771.0,913.0,
59,10,20.0,16.0,19.0,0.0,576.0,,,13.0,6.0,0.0,937.0,
60,15,60.0,8.0,17.0,0.0,576.0,,,17.0,0.0,0.0,930.0,
61,45,65.0,16.0,9.0,0.0,576.0,,,5.9,3.1,0.0,956.0,
62,65,35.0,8.0,3.0,0.0,576.0,,,0.0,3.0,164.0,289.0,
63,65,20.0,16.0,6.0,0.0,576.0,,,3.8,2.2,0.0,943.0,
64,45,30.0,16.0,17.0,0.0,576.0,,,11.3,5.7,182.0,311.0,
65,35,40.0,8.0,16.0,0.0,576.0,,,16.0,0.0,0.0,133.0,
66,41,37.0,8.0,16.0,384.0,720.0,,,0.0,16.0,560.0,697.0,
67,64,42.0,16.0,9.0,0.0,576.0,,,5.4,3.6,258.0,392.0,
68,40,60.0,8.0,21.0,384.0,720.0,,,21.0,0.0,607.0,742.0,
69,31,52.0,8.0,27.0,0.0,576.0,,,0.0,27.0,145.0,284.0,
70,35,69.0,16.0,23.0,624.0,960.0,,,12.6,10.4,805.0,940.0,
71,65,55.0,16.0,14.0,0.0,576.0,,,8.8,5.2,0.0,960.0,
72,63,65.0,16.0,8.0,0.0,576.0,,,5.2,2.8,0.0,931.0,
73,2,60.0,16.0,5.0,0.0,576.0,,,2.9,2.1,0.0,956.0,
74,20,20.0,8.0,8.0,624.0,960.0,,,0.0,8.0,639.0,769.0,
75,5,5.0,8.0,16.0,0.0,576.0,,,16.0,0.0,0.0,945.0,
76,60,12.0,16.0,31.0,0.0,576.0,,,20.1,10.9,258.0,392.0,
77,23,3.0,8.0,7.0,624.0,960.0,,,0.0,7.0,754.0,889.0,
78,8,56.0,8.0,27.0,0.0,576.0,,,27.0,0.0,353.0,494.0,
79,6,68.0,8.0,30.0,0.0,576.0,,,0.0,30.0,344.0,475.0,
80,47,47.0,8.0,13.0,624.0,960.0,,,0.0,13.0,815.0,945.0,
81,49,58.0,16.0,10.0,0.0,576.0,,,6.8,3.2,0.0,947.0,
82,27,43.0,8.0,9.0,0.0,576.0,,,9.0,0.0,0.0,936.0,
