CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,25,85.0,16.0,20.0,96.0,180.0,,,13.3,6.7,145.0,177.0,
2,22,75.0,16.0,30.0,0.0,144.0,,,18.9,11.1,47.0,80.0,
3,22,85.0,8.0,10.0,0.0,144.0,,,10.0,0.0,108.0,140.0,
4,20,80.0,16.0,40.0,96.0,180.0,,,28.1,11.9,139.0,171.0,
5,20,85.0,8.0,20.0,0.0,144.0,,,20.0,0.0,41.0,73.0,
6,18,75.0,8.0,20.0,0.0,144.0,,,20.0,0.0,94.0,125.0,
7,15,75.0,16.0,20.0,0.0,144.0,,,11.5,8.5,79.0,111.0,
8,15,80.0,16.0,10.0,0.0,144.0,,,6.1,3.9,88.0,123.0,
9,10,35.0,16.0,20.0,0.0,144.0,,,13.3,6.7,88.0,121.0,
10,10,40.0,16.0,30.0,96.0,180.0,,,16.1,13.9,116.0,152.0,
11,8,40.0,16.0,40.0,0.0,144.0,,,28.9,11.1,59.0,91.0,
12,8,45.0,8.0,20.0,0.0,144.0,,,0.0,20.0,63.0,94.0,
13,5,35.0,16.0,10.0,96.0,180.0,,,6.1,3.9,142.0,172.0,
14,5,45.0,8.0,10.0,0.0,144.0,,,0.0,10.0,32.0,65.0,
15,2,40.0,16.0,20.0,0.0,144.0,,,12.1,7.9,55.0,90.0,
16,0,40.0,8.0,20.0,0.0,144.0,,,0.0,20.0,72.0,105.0,
17,0,45.0,16.0,20.0,96.0,180.0,,,13.1,6.9,149.0,179.0,
18,44,5.0,8.0,20.0,0.0,144.0,,,20.0,0.0,85.0,119.0,
19,42,10.0,8.0,40.0,0.0,144.0,,,0.0,40.0,71.0,105.0,
20,42,15.0,16.0,10.0,96.0,180.0,,,5.4,4.6,120.0,154.0,
21,40,5.0,8.0,10.0,0.0,144.0,,,0.0,10.0,67.0,99.0,
22,40,15.0,8.0,40.0,0.0,144.0,,,0.0,40.0,90.0,123.0,
23,38,5.0,8.0,30.0,0.0,144.0,,,30.0,0.0,62.0,97.0,
24,38,15.0,8.0,10.0,96.0,180.0,,,0.0,10.0,145.0,181.0,
25,35,5.0,16.0,20.0,156.0,240.0,,,12.8,7.2,151.0,184.0,
26,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
capacity,200,,,,,,,,,,,,
