CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,16.0,10.0,92.0,172.5,,,2.5,1.5,3.9,2.1,160.0,161.0,171.0,171.0,
2,35,17.0,8.0,7.0,0.0,138.0,,,0.0,2.8,0.0,4.2,49.0,50.0,60.0,61.0,
3,55,45.0,16.0,13.0,0.0,138.0,,,3.6,1.6,4.8,3.0,116.0,116.0,126.0,126.0,
4,55,20.0,8.0,19.0,92.0,172.5,,,0.0,7.6,0.0,11.4,149.0,149.0,159.0,159.0,
5,15,30.0,8.0,26.0,0.0,138.0,,,10.4,0.0,15.6,0.0,34.0,33.0,45.0,44.0,
6,25,30.0,16.0,3.0,0.0,138.0,,,0.7,0.5,1.1,0.7,99.0,99.0,110.0,109.0,
7,20,50.0,8.0,5.0,0.0,138.0,,,0.0,2.0,0.0,3.0,81.0,81.0,91.0,92.0,
8,10,43.0,16.0,9.0,0.0,138.0,,,2.2,1.4,3.2,2.2,94.0,95.0,105.0,105.0,
9,55,60.0,8.0,16.0,0.0,138.0,,,0.0,6.4,0.0,9.6,96.0,96.0,108.0,108.0,
10,30,60.0,8.0,16.0,0.0,138.0,,,6.4,0.0,9.6,0.0,124.0,124.0,134.0,135.0,
11,20,65.0,16.0,12.0,0.0,138.0,,,2.7,2.1,4.9,2.3,66.0,67.0,78.0,78.0,
12,50,35.0,16.0,19.0,0.0,138.0,,,5.0,2.6,7.5,3.9,63.0,63.0,74.0,73.0,
13,30,25.0,8.0,23.0,92.0,172.5,,,0.0,9.2,0.0,13.8,159.0,159.0,169.0,169.0,
14,15,10.0,16.0,20.0,0.0,138.0,,,5.7,2.3,7.8,4.2,32.0,31.0,43.0,42.0,
15,30,5.0,16.0,8.0,0.0,138.0,,,2.1,1.1,2.5,2.3,60.0,61.0,72.0,72.0,
16,10,20.0,16.0,19.0,0.0,138.0,,,4.4,3.2,7.9,3.5,75.0,74.0,85.0,86.0,
17,5,30.0,16.0,2.0,92.0,172.5,,,0.5,0.3,0.8,0.4,157.0,156.0,168.0,167.0,
18,20,40.0,16.0,12.0,0.0,138.0,,,3.1,1.7,4.3,2.9,87.0,87.0,97.0,98.0,
19,15,60.0,16.0,17.0,0.0,138.0,,,3.9,2.9,6.3,3.9,76.0,75.0,87.0,87.0,
20,45,65.0,8.0,9.0,0.0,138.0,,,3.6,0.0,5.4,0.0,125.0,125.0,136.0,136.0,
21,45,20.0,8.0,11.0,0.0,138.0,,,4.4,0.0,6.6,0.0,62.0,61.0,72.0,73.0,
22,45,10.0,8.0,18.0,0.0,138.0,,,7.2,0.0,10.8,0.0,97.0,97.0,108.0,108.0,
23,55,5.0,8.0,29.0,0.0,138.0,,,11.6,0.0,17.4,0.0,68.0,67.0,78.0,78.0,
24,65,35.0,8.0,3.0,92.0,172.5,,,1.2,0.0,1.8,0.0,152.0,153.0,164.0,163.0,
25,65,20.0,8.0,6.0,149.5,230.0,,,2.4,0.0,3.6,0.0,171.0,172.0,183.0,183.0,
26,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
capacity,200,,,,,,,,,,,,,,,,
