CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,25,85.0,16.0,20.0,0.0,576.0,,,11.4,8.6,0.0,923.0,
2,22,75.0,8.0,30.0,0.0,576.0,,,30.0,0.0,0.0,933.0,
3,22,85.0,8.0,10.0,0.0,576.0,,,0.0,10.0,0.0,933.0,
4,20,80.0,16.0,40.0,624.0,960.0,,,27.0,13.0,638.0,772.0,
5,20,85.0,8.0,20.0,0.0,576.0,,,0.0,20.0,0.0,911.0,
6,18,75.0,8.0,20.0,0.0,576.0,,,20.0,0.0,0.0,933.0,
7,15,75.0,8.0,20.0,0.0,576.0,,,20.0,0.0,0.0,940.0,
8,15,80.0,8.0,10.0,0.0,576.0,,,10.0,0.0,367.0,489.0,
9,10,35.0,16.0,20.0,0.0,576.0,,,14.1,5.9,363.0,493.0,
10,10,40.0,8.0,30.0,0.0,576.0,,,30.0,0.0,0.0,953.0,
11,8,40.0,16.0,40.0,0.0,576.0,,,29.1,10.9,190.0,318.0,
12,8,45.0,8.0,20.0,0.0,576.0,,,0.0,20.0,0.0,925.0,
13,5,35.0,8.0,10.0,624.0,960.0,,,0.0,10.0,645.0,777.0,
14,5,45.0,16.0,10.0,0.0,576.0,,,5.8,4.2,0.0,916.0,
15,2,40.0,16.0,20.0,0.0,576.0,,,12.1,7.9,164.0,298.0,
16,0,40.0,8.0,20.0,0.0,576.0,,,20.0,0.0,0.0,952.0,
17,0,45.0,8.0,20.0,0.0,576.0,,,0.0,20.0,0.0,959.0,
18,44,5.0,16.0,20.0,0.0,576.0,,,10.9,9.1,0.0,958.0,
19,42,10.0,16.0,40.0,0.0,576.0,,,28.8,11.2,0.0,956.0,
20,42,15.0,16.0,10.0,0.0,576.0,,,7.1,2.9,0.0,924.0,
21,40,5.0,8.0,10.0,0.0,576.0,,,0.0,10.0,0.0,956.0,
22,40,15.0,8.0,40.0,0.0,576.0,,,0.0,40.0,0.0,923.0,
23,38,5.0,16.0,30.0,0.0,576.0,,,18.0,12.0,195.0,329.0,
24,38,15.0,16.0,10.0,0.0,576.0,,,5.5,4.5,0.0,953.0,
25,35,5.0,16.0,20.0,624.0,960.0,,,12.9,7.1,776.0,914.0,
26,95,30.0,8.0,30.0,0.0,576.0,,,0.0,30.0,0.0,901.0,
27,95,35.0,16.0,20.0,0.0,576.0,,,12.1,7.9,0.0,944.0,
28,92,30.0,8.0,10.0,0.0,576.0,,,10.0,0.0,0.0,896.0,
29,90,35.0,8.0,10.0,0.0,576.0,,,0.0,10.0,0.0,960.0,
30,88,30.0,8.0,10.0,0.0,576.0,,,10.0,0.0,0.0,928.0,
31,88,35.0,8.0,20.0,0.0,576.0,,,0.0,20.0,0.0,916.0,
32,87,30.0,16.0,10.0,0.0,576.0,,,7.0,3.0,0.0,898.0,
33,85,25.0,8.0,10.0,0.0,576.0,,,0.0,10.0,0.0,905.0,
34,85,35.0,16.0,30.0,0.0,576.0,,,18.0,12.0,0.0,927.0,
35,67,85.0,8.0,20.0,0.0,576.0,,,0.0,20.0,0.0,960.0,
36,65,85.0,16.0,40.0,0.0,576.0,,,29.5,10.5,0.0,930.0,
37,65,82.0,16.0,10.0,0.0,576.0,,,6.3,3.7,0.0,928.0,
38,62,80.0,16.0,30.0,0.0,576.0,,,20.4,9.6,278.0,410.0,
39,60,80.0,16.0,10.0,0.0,576.0,,,7.3,2.7,0.0,922.0,
40,60,85.0,8.0,30.0,0.0,576.0,,,30.0,0.0,0.0,933.0,
41,58,75.0,16.0,20.0,0.0,576.0,,,13.1,6.9,0.0,960.0,
42,55,80.0,16.0,10.0,0.0,576.0,,,6.4,3.6,0.0,956.0,
43,55,85.0,16.0,20.0,0.0,576.0,,,13.3,6.7,0.0,923.0,
44,55,82.0,8.0,10.0,0.0,576.0,,,0.0,10.0,206.0,348.0,
45,20,82.0,8.0,10.0,0.0,576.0,,,0.0,10.0,0.0,917.0,
46,18,80.0,16.0,10.0,0.0,576.0,,,6.6,3.4,0.0,919.0,
47,2,45.0,16.0,10.0,0.0,576.0,,,5.7,4.3,0.0,946.0,
48,42,5.0,16.0,10.0,0.0,576.0,,,6.7,3.3,0.0,955.0,
49,42,12.0,16.0,10.0,0.0,576.0,,,5.5,4.5,0.0,949.0,
50,72,35.0,8.0,30.0,0.0,576.0,,,0.0,30.0,0.0,946.0,
51,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
capacity,1000,,,,,,,,,,,,
