CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,Unnamed: 13
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,25,85.0,16.0,20.0,0.0,576.0,,,13.2,6.8,0.0,916.0,
2,22,75.0,16.0,30.0,0.0,576.0,,,20.2,9.8,0.0,922.0,
3,22,85.0,16.0,10.0,0.0,576.0,,,6.4,3.6,0.0,947.0,
4,20,80.0,16.0,40.0,624.0,960.0,,,28.4,11.6,634.0,775.0,
5,20,85.0,8.0,20.0,0.0,576.0,,,0.0,20.0,0.0,923.0,
6,18,75.0,8.0,20.0,0.0,576.0,,,20.0,0.0,377.0,516.0,
7,15,75.0,8.0,20.0,0.0,576.0,,,20.0,0.0,0.0,950.0,
8,15,80.0,8.0,10.0,0.0,576.0,,,0.0,10.0,355.0,495.0,
9,10,35.0,16.0,20.0,0.0,576.0,,,12.1,7.9,359.0,492.0,
10,10,40.0,16.0,30.0,384.0,720.0,,,20.8,9.2,507.0,642.0,
11,8,40.0,8.0,40.0,0.0,576.0,,,40.0,0.0,195.0,326.0,
12,8,45.0,16.0,20.0,0.0,576.0,,,12.2,7.8,0.0,930.0,
13,5,35.0,16.0,10.0,624.0,960.0,,,6.1,3.9,652.0,778.0,
14,5,45.0,16.0,10.0,0.0,576.0,,,5.5,4.5,31.0,158.0,
15,2,40.0,8.0,20.0,0.0,576.0,,,20.0,0.0,164.0,294.0,
16,0,40.0,16.0,20.0,0.0,576.0,,,11.9,8.1,254.0,375.0,
17,0,45.0,8.0,20.0,624.0,960.0,,,20.0,0.0,702.0,833.0,
18,44,5.0,8.0,20.0,0.0,576.0,,,0.0,20.0,323.0,461.0,
19,42,10.0,16.0,40.0,0.0,576.0,,,25.3,14.7,251.0,379.0,
20,42,15.0,16.0,10.0,384.0,720.0,,,5.7,4.3,530.0,661.0,
21,40,5.0,16.0,10.0,0.0,576.0,,,6.6,3.4,0.0,936.0,
22,40,15.0,8.0,40.0,0.0,576.0,,,40.0,0.0,374.0,503.0,
23,38,5.0,8.0,30.0,0.0,576.0,,,30.0,0.0,199.0,323.0,
24,38,15.0,16.0,10.0,624.0,960.0,,,6.0,4.0,678.0,801.0,
25,35,5.0,16.0,20.0,624.0,960.0,,,11.6,8.4,778.0,912.0,
26,95,30.0,8.0,30.0,0.0,576.0,,,0.0,30.0,0.0,897.0,
27,95,35.0,8.0,20.0,0.0,576.0,,,0.0,20.0,140.0,274.0,
28,92,30.0,8.0,10.0,0.0,576.0,,,0.0,10.0,141.0,271.0,
29,90,35.0,16.0,10.0,0.0,576.0,,,6.1,3.9,189.0,323.0,
30,88,30.0,8.0,10.0,0.0,576.0,,,10.0,0.0,235.0,373.0,
31,88,35.0,8.0,20.0,0.0,576.0,,,0.0,20.0,0.0,925.0,
32,87,30.0,16.0,10.0,624.0,960.0,,,6.9,3.1,614.0,746.0,
33,85,25.0,16.0,10.0,0.0,576.0,,,7.4,2.6,70.0,200.0,
34,85,35.0,16.0,30.0,0.0,576.0,,,18.4,11.6,0.0,932.0,
35,67,85.0,8.0,20.0,624.0,960.0,,,0.0,20.0,653.0,778.0,
36,65,85.0,16.0,40.0,0.0,576.0,,,23.4,16.6,38.0,165.0,
37,65,82.0,16.0,10.0,0.0,576.0,,,5.6,4.4,0.0,958.0,
38,62,80.0,8.0,30.0,0.0,576.0,,,30.0,0.0,273.0,400.0,
39,60,80.0,8.0,10.0,0.0,576.0,,,0.0,10.0,57.0,196.0,
40,60,85.0,16.0,30.0,0.0,576.0,,,18.5,11.5,321.0,449.0,
41,58,75.0,16.0,20.0,0.0,576.0,,,13.5,6.5,376.0,496.0,
42,55,80.0,8.0,10.0,0.0,576.0,,,0.0,10.0,26.0,162.0,
43,55,85.0,8.0,20.0,384.0,720.0,,,20.0,0.0,566.0,700.0,
44,55,82.0,16.0,10.0,0.0,576.0,,,6.3,3.7,206.0,337.0,
45,20,82.0,8.0,10.0,0.0,576.0,,,10.0,0.0,26.0,165.0,
46,18,80.0,16.0,10.0,384.0,720.0,,,7.0,3.0,480.0,619.0,
47,2,45.0,16.0,10.0,0.0,576.0,,,5.6,4.4,98.0,229.0,
48,42,5.0,16.0,10.0,0.0,576.0,,,5.8,4.2,0.0,932.0,
49,42,12.0,16.0,10.0,0.0,576.0,,,6.4,3.6,435.0,569.0,
50,72,35.0,8.0,30.0,0.0,576.0,,,30.0,0.0,0.0,925.0,
51,55,20.0,16.0,19.0,0.0,576.0,,,11.6,7.4,325.0,452.0,
52,25,30.0,16.0,3.0,0.0,576.0,,,1.9,1.1,0.0,935.0,
53,20,50.0,8.0,5.0,0.0,576.0,,,5.0,0.0,375.0,500.0,
54,55,60.0,16.0,16.0,384.0,720.0,,,10.5,5.5,594.0,727.0,
55,30,60.0,8.0,16.0,384.0,720.0,,,0.0,16.0,591.0,721.0,
56,50,35.0,16.0,19.0,384.0,720.0,,,12.5,6.5,549.0,688.0,
57,30,25.0,8.0,23.0,0.0,576.0,,,0.0,23.0,394.0,524.0,
58,15,10.0,8.0,20.0,624.0,960.0,,,20.0,0.0,771.0,905.0,
59,10,20.0,16.0,19.0,0.0,576.0,,,13.3,5.7,0.0,918.0,
60,15,60.0,16.0,17.0,624.0,960.0,,,11.7,5.3,691.0,826.0,
