CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,Unnamed: 13
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,45,68.0,8.0,10.0,803.4,1236.0,,,0.0,10.0,828.0,1064.0,
2,45,70.0,16.0,30.0,494.4,927.0,,,20.3,9.7,742.0,942.0,
3,42,66.0,8.0,10.0,0.0,741.6,,,0.0,10.0,3.0,364.0,
4,42,68.0,16.0,10.0,494.4,927.0,,,5.5,4.5,621.0,877.0,
5,42,65.0,16.0,10.0,0.0,741.6,,,6.0,4.0,2.0,237.0,
6,40,69.0,16.0,20.0,494.4,927.0,,,11.3,8.7,487.0,847.0,
7,40,66.0,16.0,20.0,0.0,741.6,,,13.8,6.2,70.0,322.0,
8,38,68.0,16.0,20.0,0.0,741.6,,,10.3,9.7,137.0,450.0,
9,38,70.0,8.0,10.0,0.0,741.6,,,10.0,0.0,428.0,730.0,
10,35,66.0,16.0,10.0,0.0,741.6,,,7.1,2.9,263.0,506.0,
11,35,69.0,8.0,10.0,0.0,741.6,,,0.0,10.0,354.0,593.0,
12,25,85.0,8.0,20.0,494.4,927.0,,,20.0,0.0,538.0,847.0,
13,22,75.0,8.0,30.0,0.0,741.6,,,30.0,0.0,25.0,286.0,
14,22,85.0,8.0,10.0,0.0,741.6,,,0.0,10.0,476.0,709.0,
15,20,80.0,16.0,40.0,0.0,741.6,,,25.7,14.3,300.0,506.0,
16,20,85.0,16.0,40.0,0.0,741.6,,,20.9,19.1,379.0,613.0,
17,18,75.0,8.0,20.0,0.0,741.6,,,0.0,20.0,30.0,238.0,
18,15,75.0,8.0,20.0,0.0,741.6,,,0.0,20.0,43.0,393.0,
19,15,80.0,16.0,10.0,0.0,741.6,,,6.5,3.5,176.0,473.0,
20,30,50.0,16.0,10.0,0.0,741.6,,,6.2,3.8,0.0,272.0,
21,30,52.0,8.0,20.0,803.4,1236.0,,,20.0,0.0,816.0,1054.0,
22,28,52.0,8.0,20.0,494.4,927.0,,,20.0,0.0,699.0,994.0,
23,28,55.0,16.0,10.0,494.4,927.0,,,6.4,3.6,662.0,851.0,
24,25,50.0,8.0,10.0,0.0,741.6,,,10.0,0.0,8.0,351.0,
25,25,52.0,8.0,40.0,0.0,741.6,,,0.0,40.0,83.0,310.0,
26,25,55.0,16.0,10.0,494.4,927.0,,,5.7,4.3,500.0,824.0,
27,23,52.0,8.0,10.0,0.0,741.6,,,10.0,0.0,158.0,407.0,
28,23,55.0,8.0,20.0,0.0,741.6,,,0.0,20.0,457.0,669.0,
29,20,50.0,8.0,10.0,0.0,741.6,,,0.0,10.0,284.0,475.0,
30,20,55.0,16.0,10.0,0.0,741.6,,,6.6,3.4,349.0,589.0,
31,10,35.0,8.0,20.0,0.0,741.6,,,0.0,20.0,143.0,301.0,
32,10,40.0,16.0,30.0,0.0,741.6,,,18.7,11.3,31.0,336.0,
33,8,40.0,16.0,40.0,0.0,741.6,,,23.0,17.0,8.0,319.0,
34,8,45.0,16.0,20.0,494.4,927.0,,,13.9,6.1,654.0,934.0,
35,5,35.0,16.0,10.0,0.0,741.6,,,5.5,4.5,187.0,449.0,
36,5,45.0,8.0,10.0,494.4,927.0,,,0.0,10.0,584.0,794.0,
37,2,40.0,16.0,20.0,0.0,741.6,,,12.8,7.2,299.0,527.0,
38,0,40.0,16.0,30.0,0.0,741.6,,,15.7,14.3,400.0,601.0,
39,0,45.0,8.0,20.0,0.0,741.6,,,20.0,0.0,464.0,717.0,
40,35,30.0,16.0,10.0,0.0,741.6,,,5.9,4.1,169.0,416.0,
