CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,41,49.0,16.0,10.0,0.0,138.0,,,6.8,3.2,0.0,217.0,
2,35,17.0,16.0,7.0,0.0,138.0,,,3.9,3.1,0.0,207.0,
3,55,45.0,16.0,13.0,0.0,138.0,,,8.5,4.5,0.0,201.0,
4,55,20.0,16.0,19.0,92.0,172.5,,,11.8,7.2,138.0,169.0,
5,15,30.0,16.0,26.0,0.0,138.0,,,13.9,12.1,0.0,202.0,
6,25,30.0,8.0,3.0,0.0,138.0,,,0.0,3.0,87.0,120.0,
7,20,50.0,8.0,5.0,0.0,138.0,,,5.0,0.0,0.0,206.0,
8,10,43.0,16.0,9.0,0.0,138.0,,,6.0,3.0,85.0,118.0,
9,55,60.0,16.0,16.0,0.0,138.0,,,11.1,4.9,84.0,119.0,
10,30,60.0,16.0,16.0,92.0,172.5,,,11.5,4.5,112.0,144.0,
11,20,65.0,8.0,12.0,0.0,138.0,,,12.0,0.0,55.0,89.0,
12,50,35.0,8.0,19.0,0.0,138.0,,,0.0,19.0,0.0,215.0,
13,30,25.0,8.0,23.0,149.5,230.0,,,23.0,0.0,148.0,181.0,
14,15,10.0,8.0,20.0,0.0,138.0,,,0.0,20.0,29.0,64.0,
15,30,5.0,16.0,8.0,0.0,138.0,,,4.3,3.7,49.0,81.0,
16,10,20.0,16.0,19.0,0.0,138.0,,,11.9,7.1,62.0,96.0,
17,5,30.0,16.0,2.0,149.5,230.0,,,1.1,0.9,146.0,177.0,
18,20,40.0,8.0,12.0,0.0,138.0,,,12.0,0.0,76.0,110.0,
19,15,60.0,8.0,17.0,0.0,138.0,,,0.0,17.0,63.0,99.0,
20,45,65.0,8.0,9.0,92.0,172.5,,,9.0,0.0,115.0,147.0,
21,45,20.0,16.0,11.0,0.0,138.0,,,7.5,3.5,0.0,217.0,
22,45,10.0,16.0,18.0,0.0,138.0,,,10.3,7.7,85.0,119.0,
23,55,5.0,16.0,29.0,0.0,138.0,,,18.1,10.9,58.0,91.0,
24,65,35.0,8.0,3.0,92.0,172.5,,,0.0,3.0,142.0,174.0,
25,65,20.0,8.0,6.0,149.5,230.0,,,0.0,6.0,154.0,186.0,
26,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
capacity,200,,,,,,,,,,,,
