CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,52,75.0,16.0,10.0,0.0,2034.0,,,6.3,3.7,0.0,3346.0,
2,45,70.0,16.0,30.0,0.0,2034.0,,,17.3,12.7,0.0,3388.0,
3,62,69.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,0.0,3339.0,
4,60,66.0,16.0,10.0,0.0,2034.0,,,7.2,2.8,1252.0,1432.0,
5,42,65.0,16.0,10.0,0.0,2034.0,,,5.8,4.2,0.0,3362.0,
6,16,42.0,16.0,20.0,0.0,2034.0,,,12.2,7.8,487.0,673.0,
7,58,70.0,16.0,20.0,0.0,2034.0,,,14.3,5.7,0.0,3314.0,
8,34,60.0,16.0,20.0,2203.5,3390.0,,,14.6,5.4,2872.0,3049.0,
9,28,70.0,16.0,10.0,2203.5,3390.0,,,6.7,3.3,2589.0,2776.0,
10,35,66.0,16.0,10.0,2203.5,3390.0,,,6.4,3.6,2782.0,2964.0,
11,35,69.0,16.0,10.0,2203.5,3390.0,,,6.2,3.8,2684.0,2858.0,
12,25,85.0,8.0,20.0,0.0,2034.0,,,20.0,0.0,0.0,3331.0,
13,22,75.0,16.0,30.0,2203.5,3390.0,,,17.3,12.7,2396.0,2574.0,
14,22,85.0,8.0,10.0,1356.0,2542.5,,,0.0,10.0,2011.0,2193.0,
15,20,80.0,16.0,40.0,1356.0,2542.5,,,24.9,15.1,2208.0,2380.0,
16,20,85.0,8.0,40.0,1356.0,2542.5,,,40.0,0.0,1924.0,2106.0,
17,18,75.0,8.0,20.0,1356.0,2542.5,,,20.0,0.0,2306.0,2475.0,
18,15,75.0,16.0,20.0,0.0,2034.0,,,12.9,7.1,1738.0,1909.0,
19,15,80.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,1833.0,2012.0,
20,30,50.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,8.0,174.0,
21,30,56.0,16.0,20.0,0.0,2034.0,,,13.0,7.0,0.0,3313.0,
22,28,52.0,16.0,20.0,0.0,2034.0,,,12.5,7.5,6.0,196.0,
23,14,66.0,16.0,10.0,0.0,2034.0,,,6.8,3.2,1629.0,1814.0,
24,25,50.0,16.0,10.0,0.0,2034.0,,,7.3,2.7,107.0,289.0,
25,22,66.0,8.0,40.0,2203.5,3390.0,,,0.0,40.0,2502.0,2669.0,
26,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
capacity,700,,,,,,,,,,,,
