CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 21
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,25,85.0,8.0,20.0,0.0,576.0,,,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,935.0,915.0,
2,22,75.0,24.0,30.0,0.0,576.0,,,5.7,3.8,2.5,0.0,9.4,5.4,3.1,0.0,0.0,0.0,952.0,932.0,
3,22,85.0,8.0,10.0,0.0,576.0,,,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,950.0,933.0,
4,20,80.0,24.0,40.0,624.0,960.0,,,11.0,0.0,4.4,0.6,13.4,0.0,7.8,2.8,638.0,641.0,769.0,773.0,
5,20,85.0,24.0,20.0,0.0,576.0,,,3.6,3.3,0.0,1.1,5.8,5.5,0.0,0.7,0.0,0.0,950.0,947.0,
6,18,75.0,16.0,20.0,0.0,576.0,,,7.7,0.0,0.0,0.3,11.1,0.0,0.0,0.9,0.0,0.0,938.0,954.0,
7,15,75.0,16.0,20.0,0.0,576.0,,,0.0,7.3,0.0,0.7,0.0,10.8,0.0,1.2,0.0,0.0,916.0,955.0,
8,15,80.0,8.0,10.0,0.0,576.0,,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,360.0,357.0,489.0,492.0,
9,10,35.0,32.0,20.0,0.0,576.0,,,3.4,2.7,1.5,0.5,5.7,4.1,1.5,0.6,367.0,362.0,503.0,499.0,
10,10,40.0,8.0,30.0,0.0,576.0,,,12.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,938.0,922.0,
11,8,40.0,32.0,40.0,0.0,576.0,,,6.4,4.9,3.0,1.7,9.2,7.8,5.0,2.0,189.0,187.0,316.0,320.0,
12,8,45.0,16.0,20.0,0.0,576.0,,,0.0,4.3,3.7,0.0,0.0,6.7,5.3,0.0,0.0,0.0,945.0,954.0,
13,5,35.0,32.0,10.0,624.0,960.0,,,1.7,1.1,0.7,0.5,2.5,1.9,1.1,0.5,652.0,653.0,784.0,781.0,
14,5,45.0,8.0,10.0,0.0,576.0,,,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,934.0,960.0,
15,2,40.0,32.0,20.0,0.0,576.0,,,3.4,2.4,1.7,0.6,5.3,3.1,2.8,0.8,174.0,167.0,295.0,295.0,
16,0,40.0,16.0,20.0,0.0,576.0,,,0.0,5.3,2.7,0.0,0.0,8.5,3.5,0.0,0.0,0.0,920.0,933.0,
17,0,45.0,24.0,20.0,0.0,576.0,,,3.7,3.3,0.0,1.0,6.4,5.3,0.0,0.3,0.0,0.0,911.0,937.0,
18,44,5.0,32.0,20.0,0.0,576.0,,,3.4,2.6,1.2,0.8,5.8,3.7,1.6,0.9,0.0,0.0,922.0,923.0,
19,42,10.0,16.0,40.0,0.0,576.0,,,9.4,6.6,0.0,0.0,14.0,10.0,0.0,0.0,0.0,0.0,942.0,947.0,
20,42,15.0,24.0,10.0,0.0,576.0,,,0.0,2.4,1.2,0.4,0.0,3.2,1.9,1.0,0.0,0.0,958.0,919.0,
21,40,5.0,24.0,10.0,0.0,576.0,,,2.1,1.4,0.0,0.5,3.7,1.9,0.0,0.4,0.0,0.0,911.0,927.0,
22,40,15.0,16.0,40.0,0.0,576.0,,,0.0,12.9,0.0,3.1,0.0,18.3,0.0,5.7,0.0,0.0,957.0,957.0,
23,38,5.0,8.0,30.0,0.0,576.0,,,12.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,189.0,192.0,333.0,328.0,
24,38,15.0,24.0,10.0,0.0,576.0,,,2.5,0.0,1.3,0.2,4.1,0.0,1.7,0.3,0.0,0.0,917.0,928.0,
25,35,5.0,24.0,20.0,624.0,960.0,,,4.8,3.0,0.0,0.2,6.1,4.6,0.0,1.3,773.0,780.0,909.0,916.0,
26,95,30.0,8.0,30.0,0.0,576.0,,,0.0,0.0,0.0,12.0,0.0,0.0,0.0,18.0,0.0,0.0,955.0,915.0,
27,95,35.0,24.0,20.0,0.0,576.0,,,3.7,3.2,1.1,0.0,6.2,4.1,1.8,0.0,0.0,0.0,947.0,898.0,
28,92,30.0,8.0,10.0,0.0,576.0,,,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,957.0,956.0,
29,90,35.0,16.0,10.0,0.0,576.0,,,2.6,0.0,1.4,0.0,3.9,0.0,2.1,0.0,0.0,0.0,901.0,905.0,
30,88,30.0,8.0,10.0,0.0,576.0,,,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,956.0,946.0,
31,88,35.0,24.0,20.0,0.0,576.0,,,0.0,5.2,2.5,0.3,0.0,7.4,4.3,0.3,0.0,0.0,926.0,903.0,
32,87,30.0,32.0,10.0,0.0,576.0,,,1.9,0.9,0.8,0.4,2.8,2.1,0.9,0.2,0.0,0.0,951.0,910.0,
33,85,25.0,8.0,10.0,0.0,576.0,,,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,904.0,944.0,
34,85,35.0,24.0,30.0,0.0,576.0,,,8.0,0.0,3.4,0.6,11.0,0.0,4.0,3.0,0.0,0.0,909.0,904.0,
35,67,85.0,8.0,20.0,0.0,576.0,,,0.0,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,944.0,949.0,
