CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,41,49.0,16.0,10.0,0.0,600.0,,,2.2,1.8,3.9,2.1,0.0,0.0,989.0,991.0,
2,35,17.0,8.0,7.0,0.0,600.0,,,0.0,2.8,0.0,4.2,0.0,0.0,986.0,994.0,
3,55,45.0,16.0,13.0,0.0,600.0,,,2.9,2.3,5.5,2.3,0.0,0.0,969.0,983.0,
4,55,20.0,8.0,19.0,650.0,1000.0,,,7.6,0.0,11.4,0.0,673.0,676.0,805.0,802.0,
5,15,30.0,16.0,26.0,0.0,600.0,,,7.0,3.4,8.9,6.7,0.0,0.0,999.0,971.0,
6,25,30.0,16.0,3.0,0.0,600.0,,,0.8,0.4,1.0,0.8,405.0,407.0,520.0,520.0,
7,20,50.0,8.0,5.0,0.0,600.0,,,2.0,0.0,3.0,0.0,0.0,0.0,997.0,994.0,
8,10,43.0,8.0,9.0,0.0,600.0,,,3.6,0.0,5.4,0.0,403.0,404.0,488.0,488.0,
9,55,60.0,16.0,16.0,0.0,600.0,,,4.2,2.2,5.6,4.0,397.0,397.0,497.0,506.0,
10,30,60.0,8.0,16.0,400.0,750.0,,,0.0,6.4,0.0,9.6,576.0,575.0,637.0,632.0,
11,20,65.0,8.0,12.0,0.0,600.0,,,4.8,0.0,7.2,0.0,203.0,198.0,331.0,334.0,
12,50,35.0,16.0,19.0,0.0,600.0,,,4.9,2.7,7.3,4.1,0.0,0.0,999.0,997.0,
13,30,25.0,8.0,23.0,650.0,1000.0,,,0.0,9.2,0.0,13.8,680.0,679.0,835.0,837.0,
14,15,10.0,8.0,20.0,0.0,600.0,,,0.0,8.0,0.0,12.0,26.0,23.0,252.0,264.0,
15,30,5.0,8.0,8.0,0.0,600.0,,,0.0,3.2,0.0,4.8,167.0,163.0,311.0,312.0,
16,10,20.0,8.0,19.0,0.0,600.0,,,0.0,7.6,0.0,11.4,264.0,265.0,381.0,376.0,
17,5,30.0,16.0,2.0,650.0,1000.0,,,0.5,0.3,0.8,0.4,726.0,721.0,871.0,873.0,
18,20,40.0,16.0,12.0,0.0,600.0,,,3.0,1.8,4.6,2.6,374.0,372.0,435.0,439.0,
19,15,60.0,8.0,17.0,0.0,600.0,,,0.0,6.8,0.0,10.2,264.0,266.0,378.0,379.0,
20,45,65.0,8.0,9.0,400.0,750.0,,,3.6,0.0,5.4,0.0,580.0,573.0,671.0,670.0,
21,45,20.0,16.0,11.0,0.0,600.0,,,2.5,1.9,4.3,2.3,0.0,0.0,977.0,998.0,
22,45,10.0,16.0,18.0,0.0,600.0,,,4.9,2.3,7.4,3.4,401.0,409.0,501.0,502.0,
23,55,5.0,8.0,29.0,0.0,600.0,,,0.0,11.6,0.0,17.4,202.0,201.0,336.0,334.0,
24,65,35.0,8.0,3.0,650.0,1000.0,,,1.2,0.0,1.8,0.0,702.0,702.0,855.0,857.0,
25,65,20.0,16.0,6.0,650.0,1000.0,,,1.3,1.1,2.3,1.3,806.0,809.0,965.0,957.0,
26,45,30.0,16.0,17.0,0.0,600.0,,,3.8,3.0,6.1,4.1,0.0,0.0,992.0,989.0,
27,35,40.0,16.0,16.0,0.0,600.0,,,3.7,2.7,6.0,3.6,92.0,101.0,260.0,262.0,
28,41,37.0,8.0,16.0,0.0,600.0,,,0.0,6.4,0.0,9.6,108.0,114.0,262.0,257.0,
29,64,42.0,16.0,9.0,0.0,600.0,,,2.5,1.1,3.2,2.2,187.0,178.0,316.0,314.0,
30,40,60.0,16.0,21.0,0.0,600.0,,,5.2,3.2,7.5,5.1,254.0,255.0,354.0,360.0,
31,31,52.0,16.0,27.0,0.0,600.0,,,6.7,4.1,9.7,6.5,0.0,0.0,974.0,987.0,
32,35,69.0,8.0,23.0,650.0,1000.0,,,0.0,9.2,0.0,13.8,648.0,648.0,785.0,786.0,
33,53,52.0,8.0,11.0,0.0,600.0,,,0.0,4.4,0.0,6.6,36.0,45.0,205.0,212.0,
34,65,55.0,16.0,14.0,0.0,600.0,,,3.6,2.0,5.2,3.2,0.0,0.0,991.0,997.0,
35,63,65.0,16.0,8.0,650.0,1000.0,,,2.2,1.0,2.7,2.1,676.0,680.0,814.0,817.0,
36,2,60.0,16.0,5.0,0.0,600.0,,,1.2,0.8,1.7,1.3,41.0,24.0,217.0,210.0,
37,20,20.0,16.0,8.0,0.0,600.0,,,1.8,1.4,3.2,1.6,0.0,0.0,986.0,991.0,
38,5,5.0,8.0,16.0,0.0,600.0,,,6.4,0.0,9.6,0.0,300.0,298.0,413.0,410.0,
39,60,12.0,16.0,31.0,0.0,600.0,,,8.3,4.1,9.5,9.1,18.0,17.0,243.0,224.0,
40,40,25.0,16.0,9.0,0.0,600.0,,,2.4,1.2,3.5,1.9,355.0,352.0,437.0,442.0,
41,42,7.0,8.0,5.0,0.0,600.0,,,2.0,0.0,3.0,0.0,391.0,395.0,520.0,513.0,
42,24,12.0,16.0,5.0,0.0,600.0,,,1.1,0.9,1.9,1.1,25.0,15.0,180.0,176.0,
43,23,3.0,16.0,7.0,400.0,750.0,,,1.8,1.0,2.7,1.5,613.0,618.0,710.0,711.0,
44,11,14.0,16.0,18.0,0.0,600.0,,,4.3,2.9,6.8,4.0,232.0,233.0,341.0,341.0,
45,6,38.0,8.0,16.0,0.0,600.0,,,6.4,0.0,9.6,0.0,27.0,28.0,202.0,198.0,
