CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,52,75.0,32.0,10.0,0.0,2034.0,,,1.8,1.4,0.5,0.4,2.5,2.1,0.9,0.5,195.0,204.0,598.0,597.0,
2,45,70.0,24.0,30.0,0.0,2034.0,,,0.0,6.2,3.7,2.1,0.0,10.0,4.8,3.2,15.0,10.0,580.0,594.0,
3,62,69.0,16.0,10.0,0.0,2034.0,,,0.0,0.0,2.4,1.6,0.0,0.0,3.3,2.7,994.0,1019.0,1469.0,1465.0,
4,60,66.0,24.0,10.0,0.0,2034.0,,,0.0,1.9,1.5,0.6,0.0,3.2,2.4,0.4,1138.0,1153.0,1530.0,1555.0,
5,42,65.0,24.0,10.0,0.0,2034.0,,,2.0,1.1,0.9,0.0,2.8,2.2,0.9,0.0,1.0,12.0,404.0,412.0,
6,16,42.0,24.0,20.0,0.0,2034.0,,,5.0,0.0,2.4,0.6,7.7,0.0,3.3,1.0,327.0,304.0,826.0,829.0,
7,58,70.0,16.0,20.0,0.0,2034.0,,,5.6,0.0,2.4,0.0,8.1,0.0,3.9,0.0,954.0,959.0,1370.0,1362.0,
8,34,60.0,24.0,20.0,2203.5,3390.0,,,3.7,2.9,1.4,0.0,6.0,4.2,1.8,0.0,2635.0,2599.0,3290.0,3333.0,
9,28,70.0,32.0,10.0,2203.5,3390.0,,,1.8,1.1,0.5,0.5,2.7,1.6,1.0,0.7,2377.0,2337.0,3019.0,3020.0,
10,35,66.0,8.0,10.0,2203.5,3390.0,,,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2588.0,2581.0,3160.0,3151.0,
11,35,69.0,32.0,10.0,2203.5,3390.0,,,1.7,1.3,0.6,0.5,2.5,2.2,1.0,0.3,2594.0,2570.0,2973.0,2972.0,
12,25,85.0,32.0,20.0,1356.0,2542.5,,,3.1,2.7,1.4,0.8,5.2,3.8,1.8,1.2,1975.0,1971.0,2427.0,2448.0,
13,22,75.0,8.0,30.0,2203.5,3390.0,,,0.0,0.0,12.0,0.0,0.0,0.0,18.0,0.0,2298.0,2280.0,2670.0,2689.0,
14,22,85.0,32.0,10.0,1356.0,2542.5,,,2.0,1.1,0.7,0.2,2.7,1.7,1.0,0.6,1828.0,1841.0,2376.0,2382.0,
15,20,80.0,32.0,40.0,1356.0,2542.5,,,6.9,5.2,2.4,1.4,10.9,7.2,4.0,1.9,2071.0,2037.0,2526.0,2528.0,
16,20,85.0,32.0,40.0,1356.0,2542.5,,,6.2,4.2,3.8,1.8,10.7,6.8,3.7,2.8,1719.0,1756.0,2307.0,2302.0,
17,18,75.0,32.0,20.0,2203.5,3390.0,,,3.7,2.4,1.5,0.4,5.0,3.3,2.3,1.4,2128.0,2110.0,2665.0,2673.0,
18,15,75.0,8.0,20.0,1356.0,2542.5,,,0.0,0.0,8.0,0.0,0.0,0.0,12.0,0.0,1534.0,1546.0,2085.0,2125.0,
19,15,80.0,16.0,10.0,1356.0,2542.5,,,3.6,0.0,0.0,0.4,5.7,0.0,0.0,0.3,1646.0,1646.0,2160.0,2166.0,
20,30,50.0,16.0,10.0,0.0,2034.0,,,3.4,0.0,0.0,0.6,4.9,0.0,0.0,1.1,9.0,2.0,667.0,648.0,
21,30,56.0,24.0,20.0,2203.5,3390.0,,,4.2,2.8,0.0,1.0,6.7,4.3,0.0,1.0,2636.0,2630.0,3339.0,3346.0,
22,28,52.0,32.0,20.0,0.0,2034.0,,,3.3,2.4,1.8,0.5,5.0,3.6,2.4,0.9,1.0,8.0,543.0,507.0,
23,14,66.0,8.0,10.0,0.0,2034.0,,,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1481.0,1505.0,1953.0,1944.0,
24,25,50.0,8.0,10.0,0.0,2034.0,,,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,4.0,2.0,397.0,373.0,
25,22,66.0,16.0,40.0,2203.5,3390.0,,,0.0,0.0,12.5,3.5,0.0,0.0,16.5,7.5,2358.0,2371.0,2806.0,2814.0,
26,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
capacity,700,,,,,,,,,,,,,,,,,,,,
