CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,Unnamed: 13
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,41,49.0,8.0,10.0,0.0,138.0,,,0.0,10.0,0.0,216.0,
2,35,17.0,8.0,7.0,0.0,138.0,,,0.0,7.0,0.0,212.0,
3,55,45.0,8.0,13.0,0.0,138.0,,,0.0,13.0,0.0,204.0,
4,55,20.0,8.0,19.0,92.0,172.5,,,19.0,0.0,137.0,172.0,
5,15,30.0,8.0,26.0,0.0,138.0,,,0.0,26.0,0.0,207.0,
6,25,30.0,16.0,3.0,0.0,138.0,,,1.9,1.1,89.0,121.0,
7,20,50.0,8.0,5.0,0.0,138.0,,,5.0,0.0,0.0,210.0,
8,10,43.0,8.0,9.0,0.0,138.0,,,0.0,9.0,84.0,115.0,
9,55,60.0,8.0,16.0,0.0,138.0,,,16.0,0.0,86.0,119.0,
10,30,60.0,16.0,16.0,92.0,172.5,,,8.9,7.1,112.0,147.0,
11,20,65.0,8.0,12.0,0.0,138.0,,,0.0,12.0,57.0,90.0,
12,50,35.0,8.0,19.0,0.0,138.0,,,0.0,19.0,0.0,225.0,
13,30,25.0,8.0,23.0,149.5,230.0,,,23.0,0.0,147.0,180.0,
14,15,10.0,16.0,20.0,0.0,138.0,,,12.2,7.8,29.0,63.0,
15,30,5.0,16.0,8.0,0.0,138.0,,,4.8,3.2,48.0,81.0,
16,10,20.0,8.0,19.0,0.0,138.0,,,19.0,0.0,64.0,96.0,
17,5,30.0,8.0,2.0,149.5,230.0,,,0.0,2.0,147.0,178.0,
18,20,40.0,8.0,12.0,0.0,138.0,,,0.0,12.0,77.0,109.0,
19,15,60.0,8.0,17.0,0.0,138.0,,,0.0,17.0,66.0,96.0,
20,45,65.0,16.0,9.0,92.0,172.5,,,5.8,3.2,114.0,149.0,
21,45,20.0,8.0,11.0,0.0,138.0,,,0.0,11.0,0.0,202.0,
22,45,10.0,8.0,18.0,0.0,138.0,,,18.0,0.0,85.0,117.0,
23,55,5.0,8.0,29.0,0.0,138.0,,,0.0,29.0,55.0,88.0,
24,65,35.0,8.0,3.0,92.0,172.5,,,3.0,0.0,142.0,173.0,
25,65,20.0,16.0,6.0,149.5,230.0,,,3.6,2.4,153.0,188.0,
26,45,30.0,8.0,17.0,0.0,138.0,,,17.0,0.0,0.0,217.0,
27,35,40.0,16.0,16.0,0.0,138.0,,,10.8,5.2,24.0,58.0,
28,41,37.0,16.0,16.0,0.0,138.0,,,8.6,7.4,27.0,61.0,
29,64,42.0,8.0,9.0,0.0,138.0,,,0.0,9.0,53.0,85.0,
30,40,60.0,16.0,21.0,0.0,138.0,,,14.5,6.5,61.0,93.0,
31,31,52.0,16.0,27.0,0.0,138.0,,,15.6,11.4,0.0,202.0,
32,35,69.0,16.0,23.0,92.0,172.5,,,13.4,9.6,128.0,162.0,
33,53,52.0,16.0,11.0,0.0,138.0,,,6.1,4.9,27.0,59.0,
34,65,55.0,8.0,14.0,0.0,138.0,,,0.0,14.0,0.0,185.0,
35,63,65.0,16.0,8.0,92.0,172.5,,,5.1,2.9,130.0,166.0,
36,2,60.0,8.0,5.0,0.0,138.0,,,0.0,5.0,40.0,71.0,
37,20,20.0,16.0,8.0,0.0,138.0,,,5.1,2.9,0.0,204.0,
38,5,5.0,8.0,16.0,0.0,138.0,,,0.0,16.0,73.0,103.0,
39,60,12.0,8.0,31.0,0.0,138.0,,,0.0,31.0,32.0,64.0,
40,40,25.0,8.0,9.0,0.0,138.0,,,9.0,0.0,75.0,108.0,
41,42,7.0,16.0,5.0,0.0,138.0,,,3.0,2.0,86.0,119.0,
42,24,12.0,8.0,5.0,0.0,138.0,,,0.0,5.0,24.0,58.0,
43,23,3.0,8.0,7.0,92.0,172.5,,,0.0,7.0,120.0,154.0,
44,11,14.0,16.0,18.0,0.0,138.0,,,10.9,7.1,59.0,89.0,
45,6,38.0,16.0,16.0,0.0,138.0,,,8.9,7.1,28.0,59.0,
46,2,48.0,16.0,1.0,0.0,138.0,,,0.7,0.3,105.0,138.0,
47,8,56.0,16.0,27.0,0.0,138.0,,,15.6,11.4,41.0,72.0,
48,13,52.0,16.0,36.0,0.0,138.0,,,23.0,13.0,0.0,193.0,
49,6,68.0,8.0,30.0,0.0,138.0,,,0.0,30.0,97.0,129.0,
50,47,47.0,8.0,13.0,0.0,138.0,,,13.0,0.0,0.0,215.0,
51,49,58.0,16.0,10.0,0.0,138.0,,,6.5,3.5,76.0,109.0,
52,27,43.0,16.0,9.0,0.0,138.0,,,6.1,2.9,0.0,225.0,
53,37,31.0,16.0,14.0,0.0,138.0,,,9.6,4.4,82.0,118.0,
54,57,29.0,8.0,18.0,92.0,172.5,,,0.0,18.0,130.0,162.0,
55,63,23.0,8.0,2.0,92.0,172.5,,,0.0,2.0,124.0,156.0,
56,53,12.0,8.0,6.0,92.0,172.5,,,0.0,6.0,119.0,150.0,
57,32,12.0,16.0,7.0,0.0,138.0,,,5.1,1.9,91.0,122.0,
58,36,26.0,16.0,18.0,149.5,230.0,,,11.3,6.7,179.0,212.0,
59,21,24.0,8.0,28.0,0.0,138.0,,,28.0,0.0,0.0,209.0,
60,17,34.0,16.0,3.0,149.5,230.0,,,1.7,1.3,151.0,182.0,
61,12,24.0,8.0,13.0,0.0,138.0,,,0.0,13.0,63.0,98.0,
62,24,58.0,8.0,19.0,0.0,138.0,,,0.0,19.0,48.0,78.0,
63,27,69.0,16.0,10.0,0.0,138.0,,,6.5,3.5,31.0,66.0,
64,15,77.0,16.0,9.0,0.0,138.0,,,5.0,4.0,61.0,94.0,
65,62,77.0,16.0,20.0,0.0,138.0,,,13.6,6.4,49.0,79.0,
66,49,73.0,16.0,25.0,92.0,172.5,,,14.7,10.3,117.0,147.0,
67,67,5.0,16.0,25.0,0.0,138.0,,,16.5,8.5,73.0,106.0,
68,56,39.0,16.0,36.0,92.0,172.5,,,20.6,15.4,129.0,162.0,
69,37,47.0,16.0,6.0,0.0,138.0,,,3.7,2.3,39.0,71.0,
70,37,56.0,8.0,5.0,149.5,230.0,,,0.0,5.0,165.0,200.0,
71,57,68.0,8.0,15.0,0.0,138.0,,,15.0,0.0,67.0,100.0,
72,47,16.0,8.0,25.0,0.0,138.0,,,0.0,25.0,0.0,208.0,
73,44,17.0,8.0,9.0,0.0,138.0,,,9.0,0.0,66.0,100.0,
74,46,13.0,16.0,8.0,92.0,172.5,,,5.5,2.5,136.0,171.0,
75,49,11.0,8.0,18.0,0.0,138.0,,,18.0,0.0,0.0,197.0,
76,49,42.0,8.0,13.0,0.0,138.0,,,13.0,0.0,63.0,93.0,
77,53,43.0,16.0,14.0,149.5,230.0,,,7.9,6.1,169.0,199.0,
78,61,52.0,16.0,3.0,0.0,138.0,,,2.1,0.9,86.0,119.0,
79,57,48.0,8.0,23.0,0.0,138.0,,,23.0,0.0,80.0,112.0,
80,56,37.0,8.0,6.0,149.5,230.0,,,6.0,0.0,168.0,198.0,
81,55,54.0,16.0,26.0,0.0,138.0,,,17.1,8.9,84.0,114.0,
82,15,47.0,16.0,16.0,0.0,138.0,,,9.1,6.9,0.0,213.0,
83,14,37.0,8.0,11.0,0.0,138.0,,,11.0,0.0,0.0,217.0,
84,11,31.0,16.0,7.0,0.0,138.0,,,4.2,2.8,91.0,123.0,
85,16,22.0,8.0,41.0,0.0,138.0,,,41.0,0.0,0.0,208.0,
86,4,18.0,8.0,35.0,0.0,138.0,,,35.0,0.0,82.0,117.0,
87,28,18.0,16.0,26.0,0.0,138.0,,,16.2,9.8,82.0,116.0,
88,26,52.0,16.0,9.0,0.0,138.0,,,5.7,3.3,62.0,97.0,
89,26,35.0,8.0,15.0,149.5,230.0,,,15.0,0.0,163.0,196.0,
90,31,67.0,8.0,3.0,0.0,138.0,,,3.0,0.0,84.0,117.0,
91,15,19.0,16.0,1.0,0.0,138.0,,,0.6,0.4,0.0,206.0,
92,22,22.0,16.0,2.0,0.0,138.0,,,1.1,0.9,16.0,49.0,
93,18,24.0,16.0,22.0,149.5,230.0,,,11.2,10.8,169.0,202.0,
94,26,27.0,8.0,27.0,0.0,138.0,,,27.0,0.0,0.0,208.0,
95,25,24.0,8.0,20.0,0.0,138.0,,,20.0,0.0,0.0,208.0,
96,22,27.0,16.0,11.0,0.0,138.0,,,7.0,4.0,0.0,206.0,
97,25,21.0,8.0,12.0,92.0,172.5,,,0.0,12.0,122.0,154.0,
98,19,21.0,16.0,10.0,0.0,138.0,,,5.7,4.3,0.0,216.0,
99,20,26.0,8.0,9.0,0.0,138.0,,,0.0,9.0,73.0,103.0,
100,18,18.0,8.0,17.0,149.5,230.0,,,0.0,17.0,165.0,195.0,
