CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 17
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,52,75.0,8.0,10.0,0.0,2034.0,,,4.0,0.0,6.0,0.0,32.0,52.0,721.0,741.0,
2,45,70.0,16.0,30.0,0.0,2034.0,,,7.1,4.9,10.8,7.2,11.0,8.0,707.0,671.0,
3,62,69.0,8.0,10.0,0.0,2034.0,,,4.0,0.0,6.0,0.0,878.0,874.0,1625.0,1625.0,
4,60,66.0,16.0,10.0,0.0,2034.0,,,2.6,1.4,3.5,2.5,997.0,984.0,1700.0,1665.0,
5,42,65.0,8.0,10.0,0.0,2034.0,,,4.0,0.0,6.0,0.0,8.0,8.0,675.0,684.0,
6,16,42.0,8.0,20.0,0.0,2034.0,,,0.0,8.0,0.0,12.0,212.0,214.0,943.0,943.0,
7,58,70.0,16.0,20.0,0.0,2034.0,,,5.3,2.7,7.2,4.8,769.0,794.0,1517.0,1524.0,
8,34,60.0,16.0,20.0,2203.5,3390.0,,,5.8,2.2,6.4,5.6,2591.0,2612.0,3337.0,3338.0,
9,28,70.0,8.0,10.0,2203.5,3390.0,,,0.0,4.0,0.0,6.0,2301.0,2359.0,3003.0,3012.0,
10,35,66.0,8.0,10.0,2203.5,3390.0,,,4.0,0.0,6.0,0.0,2540.0,2495.0,3202.0,3218.0,
11,35,69.0,8.0,10.0,2203.5,3390.0,,,4.0,0.0,6.0,0.0,2402.0,2396.0,3122.0,3130.0,
12,25,85.0,8.0,20.0,1356.0,2542.5,,,0.0,8.0,0.0,12.0,1874.0,1866.0,2581.0,2564.0,
13,22,75.0,16.0,30.0,2203.5,3390.0,,,6.9,5.1,13.2,4.8,2123.0,2115.0,2857.0,2830.0,
14,22,85.0,8.0,10.0,1356.0,2542.5,,,4.0,0.0,6.0,0.0,1758.0,1777.0,2483.0,2489.0,
15,20,80.0,8.0,40.0,1356.0,2542.5,,,16.0,0.0,24.0,0.0,1959.0,1973.0,2644.0,2673.0,
16,20,85.0,8.0,40.0,1356.0,2542.5,,,0.0,16.0,0.0,24.0,1637.0,1631.0,2388.0,2370.0,
17,18,75.0,16.0,20.0,2203.5,3390.0,,,5.9,2.1,6.6,5.4,2064.0,2015.0,2713.0,2765.0,
18,15,75.0,16.0,20.0,1356.0,2542.5,,,4.9,3.1,7.3,4.7,1477.0,1481.0,2148.0,2167.0,
19,15,80.0,8.0,10.0,1356.0,2542.5,,,4.0,0.0,6.0,0.0,1539.0,1539.0,2301.0,2251.0,
20,30,50.0,16.0,10.0,0.0,2034.0,,,2.6,1.4,3.6,2.4,2.0,1.0,663.0,700.0,
21,30,56.0,8.0,20.0,2203.5,3390.0,,,8.0,0.0,12.0,0.0,2643.0,2620.0,3297.0,3311.0,
22,28,52.0,8.0,20.0,0.0,2034.0,,,0.0,8.0,0.0,12.0,3.0,10.0,715.0,662.0,
23,14,66.0,16.0,10.0,1356.0,2542.5,,,2.6,1.4,3.8,2.2,1348.0,1393.0,2097.0,2057.0,
24,25,50.0,8.0,10.0,0.0,2034.0,,,0.0,4.0,0.0,6.0,3.0,10.0,689.0,713.0,
25,22,66.0,8.0,40.0,2203.5,3390.0,,,16.0,0.0,24.0,0.0,2243.0,2222.0,2905.0,2945.0,
26,8,62.0,8.0,10.0,0.0,2034.0,,,4.0,0.0,6.0,0.0,1293.0,1250.0,1990.0,1983.0,
27,23,52.0,16.0,10.0,0.0,2034.0,,,2.6,1.4,3.7,2.3,0.0,0.0,661.0,691.0,
28,4,55.0,16.0,20.0,0.0,2034.0,,,4.9,3.1,8.1,3.9,1207.0,1199.0,1864.0,1855.0,
29,20,50.0,8.0,10.0,0.0,2034.0,,,4.0,0.0,6.0,0.0,115.0,126.0,831.0,849.0,
30,20,55.0,16.0,10.0,0.0,2034.0,,,2.3,1.7,4.4,1.6,45.0,8.0,718.0,756.0,
31,10,35.0,8.0,20.0,0.0,2034.0,,,0.0,8.0,0.0,12.0,512.0,539.0,1195.0,1217.0,
32,10,40.0,8.0,30.0,0.0,2034.0,,,0.0,12.0,0.0,18.0,294.0,308.0,1049.0,1027.0,
33,8,40.0,16.0,40.0,0.0,2034.0,,,9.2,6.8,13.1,10.9,425.0,423.0,1134.0,1145.0,
34,8,45.0,16.0,20.0,0.0,2034.0,,,5.3,2.7,8.2,3.8,1067.0,1072.0,1774.0,1795.0,
35,5,35.0,8.0,10.0,0.0,2034.0,,,4.0,0.0,6.0,0.0,596.0,604.0,1332.0,1335.0,
36,5,45.0,8.0,10.0,0.0,2034.0,,,0.0,4.0,0.0,6.0,999.0,959.0,1692.0,1690.0,
37,2,40.0,16.0,20.0,0.0,2034.0,,,5.3,2.7,8.1,3.9,720.0,702.0,1391.0,1413.0,
38,0,40.0,8.0,30.0,0.0,2034.0,,,0.0,12.0,0.0,18.0,768.0,810.0,1473.0,1477.0,
39,0,45.0,8.0,20.0,0.0,2034.0,,,0.0,8.0,0.0,12.0,916.0,907.0,1571.0,1576.0,
40,36,18.0,16.0,10.0,1356.0,2542.5,,,2.8,1.2,4.0,2.0,1519.0,1524.0,2222.0,2283.0,
41,35,32.0,8.0,10.0,2203.5,3390.0,,,4.0,0.0,6.0,0.0,2468.0,2511.0,3185.0,3196.0,
42,33,32.0,8.0,20.0,2203.5,3390.0,,,0.0,8.0,0.0,12.0,2382.0,2419.0,3119.0,3096.0,
43,33,35.0,8.0,10.0,2203.5,3390.0,,,4.0,0.0,6.0,0.0,2322.0,2307.0,2992.0,3033.0,
44,32,20.0,16.0,10.0,1356.0,2542.5,,,2.6,1.4,3.5,2.5,1658.0,1646.0,2363.0,2336.0,
45,30,30.0,16.0,10.0,1356.0,2542.5,,,2.4,1.6,3.1,2.9,1849.0,1859.0,2514.0,2512.0,
46,34,25.0,16.0,30.0,1356.0,2542.5,,,8.4,3.6,11.2,6.8,1750.0,1757.0,2414.0,2457.0,
47,30,35.0,8.0,10.0,2203.5,3390.0,,,0.0,4.0,0.0,6.0,2230.0,2215.0,2925.0,2880.0,
48,36,40.0,16.0,10.0,2203.5,3390.0,,,2.3,1.7,3.4,2.6,2570.0,2590.0,3274.0,3320.0,
49,48,20.0,8.0,10.0,0.0,2034.0,,,4.0,0.0,6.0,0.0,696.0,676.0,1375.0,1391.0,
50,26,32.0,16.0,10.0,1356.0,2542.5,,,2.5,1.5,3.4,2.6,2036.0,1997.0,2721.0,2699.0,
