CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,45,68.0,16.0,10.0,803.4,1236.0,,,6.9,3.1,750.0,1124.0,
2,45,70.0,8.0,30.0,494.4,927.0,,,30.0,0.0,636.0,1036.0,
3,42,66.0,16.0,10.0,0.0,741.6,,,5.4,4.6,4.0,384.0,
4,42,68.0,8.0,10.0,494.4,927.0,,,0.0,10.0,569.0,963.0,
5,42,65.0,8.0,10.0,0.0,741.6,,,0.0,10.0,12.0,400.0,
6,40,69.0,8.0,20.0,494.4,927.0,,,20.0,0.0,479.0,860.0,
7,40,66.0,16.0,20.0,0.0,741.6,,,10.8,9.2,14.0,411.0,
8,38,68.0,16.0,20.0,0.0,741.6,,,12.3,7.7,92.0,482.0,
9,38,70.0,16.0,10.0,0.0,741.6,,,6.9,3.1,358.0,757.0,
10,35,66.0,16.0,10.0,0.0,741.6,,,5.7,4.3,174.0,583.0,
11,35,69.0,8.0,10.0,0.0,741.6,,,10.0,0.0,278.0,686.0,
12,25,85.0,8.0,20.0,494.4,927.0,,,0.0,20.0,482.0,892.0,
13,22,75.0,16.0,30.0,0.0,741.6,,,17.6,12.4,6.0,412.0,
14,22,85.0,16.0,10.0,0.0,741.6,,,6.6,3.4,395.0,807.0,
15,20,80.0,8.0,40.0,0.0,741.6,,,40.0,0.0,217.0,598.0,
16,20,85.0,16.0,40.0,0.0,741.6,,,23.8,16.2,322.0,689.0,
17,18,75.0,8.0,20.0,0.0,741.6,,,0.0,20.0,1.0,406.0,
18,15,75.0,8.0,20.0,0.0,741.6,,,0.0,20.0,23.0,404.0,
19,15,80.0,8.0,10.0,0.0,741.6,,,10.0,0.0,100.0,518.0,
20,30,50.0,8.0,10.0,0.0,741.6,,,10.0,0.0,3.0,394.0,
21,30,52.0,16.0,20.0,803.4,1236.0,,,12.8,7.2,747.0,1138.0,
22,28,52.0,16.0,20.0,494.4,927.0,,,14.0,6.0,664.0,1031.0,
23,28,55.0,16.0,10.0,494.4,927.0,,,6.2,3.8,563.0,949.0,
24,25,50.0,8.0,10.0,0.0,741.6,,,0.0,10.0,15.0,404.0,
25,25,52.0,16.0,40.0,0.0,741.6,,,24.8,15.2,9.0,413.0,
26,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
capacity,200,,,,,,,,,,,,
