CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,52,75.0,16.0,10.0,0.0,2034.0,,,6.4,3.6,307.0,473.0,
2,45,70.0,16.0,30.0,0.0,2034.0,,,20.1,9.9,203.0,377.0,
3,62,69.0,16.0,10.0,0.0,2034.0,,,6.3,3.7,1162.0,1330.0,
4,60,66.0,16.0,10.0,0.0,2034.0,,,7.0,3.0,1250.0,1423.0,
5,42,65.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,25.0,200.0,
6,16,42.0,16.0,20.0,0.0,2034.0,,,10.6,9.4,483.0,673.0,
7,58,70.0,16.0,20.0,0.0,2034.0,,,12.3,7.7,1068.0,1242.0,
8,34,60.0,16.0,20.0,2203.5,3390.0,,,12.7,7.3,2874.0,3055.0,
9,28,70.0,8.0,10.0,2203.5,3390.0,,,10.0,0.0,2599.0,2764.0,
10,35,66.0,16.0,10.0,2203.5,3390.0,,,7.0,3.0,2791.0,2957.0,
11,35,69.0,16.0,10.0,2203.5,3390.0,,,6.3,3.7,2694.0,2868.0,
12,25,85.0,16.0,20.0,1356.0,2542.5,,,12.1,7.9,2111.0,2284.0,
13,22,75.0,8.0,30.0,2203.5,3390.0,,,30.0,0.0,2389.0,2569.0,
14,22,85.0,16.0,10.0,1356.0,2542.5,,,5.8,4.2,2016.0,2186.0,
15,20,80.0,8.0,40.0,1356.0,2542.5,,,0.0,40.0,2210.0,2385.0,
16,20,85.0,16.0,40.0,1356.0,2542.5,,,28.7,11.3,1921.0,2098.0,
17,18,75.0,8.0,20.0,1356.0,2542.5,,,20.0,0.0,2304.0,2479.0,
18,15,75.0,16.0,20.0,0.0,2034.0,,,12.5,7.5,1736.0,1907.0,
19,15,80.0,8.0,10.0,0.0,2034.0,,,10.0,0.0,1821.0,2002.0,
20,30,50.0,8.0,10.0,0.0,2034.0,,,0.0,10.0,7.0,172.0,
21,30,56.0,16.0,20.0,2203.5,3390.0,,,13.8,6.2,2974.0,3155.0,
22,28,52.0,16.0,20.0,0.0,2034.0,,,12.1,7.9,14.0,185.0,
23,14,66.0,16.0,10.0,0.0,2034.0,,,5.6,4.4,1639.0,1816.0,
24,25,50.0,8.0,10.0,0.0,2034.0,,,0.0,10.0,115.0,286.0,
25,22,66.0,8.0,40.0,2203.5,3390.0,,,0.0,40.0,2499.0,2668.0,
26,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
capacity,700,,,,,,,,,,,,
