CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,45,68.0,8.0,10.0,803.4,1236.0,,,0.0,4.0,0.0,6.0,827.0,825.0,1062.0,1056.0,
2,45,70.0,16.0,30.0,494.4,927.0,,,7.0,5.0,10.9,7.1,743.0,739.0,942.0,949.0,
3,42,66.0,8.0,10.0,0.0,741.6,,,4.0,0.0,6.0,0.0,12.0,12.0,338.0,350.0,
4,42,68.0,16.0,10.0,494.4,927.0,,,2.6,1.4,3.5,2.5,640.0,620.0,867.0,878.0,
5,42,65.0,16.0,10.0,0.0,741.6,,,2.2,1.8,3.1,2.9,14.0,2.0,240.0,226.0,
6,40,69.0,8.0,20.0,494.4,927.0,,,8.0,0.0,12.0,0.0,466.0,473.0,841.0,825.0,
7,40,66.0,8.0,20.0,0.0,741.6,,,8.0,0.0,12.0,0.0,71.0,78.0,318.0,316.0,
8,38,68.0,16.0,20.0,0.0,741.6,,,5.0,3.0,7.3,4.7,128.0,147.0,454.0,447.0,
9,38,70.0,8.0,10.0,0.0,741.6,,,4.0,0.0,6.0,0.0,412.0,408.0,719.0,730.0,
10,35,66.0,16.0,10.0,0.0,741.6,,,2.3,1.7,4.0,2.0,276.0,276.0,502.0,507.0,
11,35,69.0,16.0,10.0,0.0,741.6,,,2.5,1.5,3.7,2.3,347.0,361.0,597.0,607.0,
12,25,85.0,16.0,20.0,494.4,927.0,,,4.6,3.4,6.9,5.1,529.0,527.0,848.0,833.0,
13,22,75.0,8.0,30.0,0.0,741.6,,,0.0,12.0,0.0,18.0,29.0,26.0,282.0,289.0,
14,22,85.0,8.0,10.0,0.0,741.6,,,4.0,0.0,6.0,0.0,485.0,476.0,698.0,707.0,
15,20,80.0,16.0,40.0,0.0,741.6,,,8.9,7.1,14.5,9.5,315.0,316.0,500.0,500.0,
16,20,85.0,16.0,40.0,0.0,741.6,,,10.4,5.6,14.1,9.9,391.0,384.0,612.0,614.0,
17,18,75.0,8.0,20.0,0.0,741.6,,,0.0,8.0,0.0,12.0,24.0,17.0,243.0,240.0,
18,15,75.0,16.0,20.0,0.0,741.6,,,4.9,3.1,7.9,4.1,49.0,61.0,390.0,379.0,
19,15,80.0,8.0,10.0,0.0,741.6,,,4.0,0.0,6.0,0.0,172.0,170.0,459.0,450.0,
20,30,50.0,8.0,10.0,0.0,741.6,,,4.0,0.0,6.0,0.0,5.0,6.0,283.0,270.0,
21,30,52.0,16.0,20.0,803.4,1236.0,,,4.9,3.1,7.1,4.9,836.0,822.0,1044.0,1055.0,
22,28,52.0,16.0,20.0,494.4,927.0,,,5.5,2.5,8.3,3.7,690.0,699.0,1018.0,1015.0,
23,28,55.0,16.0,10.0,494.4,927.0,,,2.5,1.5,3.3,2.7,646.0,660.0,861.0,855.0,
24,25,50.0,8.0,10.0,0.0,741.6,,,4.0,0.0,6.0,0.0,4.0,8.0,347.0,361.0,
25,25,52.0,8.0,40.0,0.0,741.6,,,16.0,0.0,24.0,0.0,82.0,79.0,323.0,311.0,
26,25,55.0,8.0,10.0,494.4,927.0,,,4.0,0.0,6.0,0.0,496.0,471.0,850.0,828.0,
27,23,52.0,8.0,10.0,0.0,741.6,,,0.0,4.0,0.0,6.0,176.0,164.0,410.0,400.0,
28,23,55.0,16.0,20.0,0.0,741.6,,,4.7,3.3,7.7,4.3,458.0,461.0,667.0,671.0,
29,20,50.0,8.0,10.0,0.0,741.6,,,0.0,4.0,0.0,6.0,274.0,283.0,480.0,492.0,
30,20,55.0,8.0,10.0,0.0,741.6,,,4.0,0.0,6.0,0.0,367.0,356.0,604.0,585.0,
