CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 21
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,25,85.0,16.0,20.0,624.0,960.0,,,7.4,0.0,0.0,0.6,10.1,0.0,0.0,1.9,594.0,596.0,862.0,853.0,
2,22,75.0,24.0,30.0,0.0,576.0,,,0.0,7.1,4.1,0.9,0.0,9.3,7.0,1.7,82.0,78.0,352.0,335.0,
3,22,85.0,16.0,10.0,384.0,720.0,,,0.0,2.9,0.0,1.1,0.0,5.2,0.0,0.8,391.0,402.0,665.0,674.0,
4,20,80.0,32.0,40.0,624.0,960.0,,,6.3,5.1,3.3,1.3,10.6,8.1,4.3,1.0,574.0,573.0,826.0,827.0,
5,20,85.0,32.0,20.0,0.0,576.0,,,3.7,2.5,1.5,0.3,4.9,4.0,2.8,0.3,22.0,28.0,293.0,302.0,
6,18,75.0,8.0,20.0,0.0,576.0,,,0.0,0.0,0.0,8.0,0.0,0.0,0.0,12.0,307.0,317.0,586.0,589.0,
7,15,75.0,8.0,20.0,0.0,576.0,,,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,216.0,228.0,490.0,493.0,
8,15,80.0,32.0,10.0,0.0,576.0,,,1.7,1.4,0.6,0.3,2.7,1.8,1.4,0.1,305.0,304.0,552.0,565.0,
9,10,35.0,8.0,20.0,0.0,576.0,,,8.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,300.0,297.0,554.0,563.0,
10,10,40.0,8.0,30.0,384.0,720.0,,,0.0,0.0,12.0,0.0,0.0,0.0,18.0,0.0,436.0,443.0,707.0,716.0,
11,8,40.0,32.0,40.0,0.0,576.0,,,7.1,4.6,2.7,1.6,10.6,7.5,3.6,2.3,121.0,135.0,382.0,389.0,
12,8,45.0,32.0,20.0,0.0,576.0,,,3.1,2.6,1.9,0.4,5.0,3.5,2.2,1.3,158.0,163.0,427.0,410.0,
13,5,35.0,16.0,10.0,624.0,960.0,,,2.5,0.0,1.5,0.0,4.4,0.0,1.6,0.0,575.0,575.0,847.0,833.0,
14,5,45.0,16.0,10.0,0.0,576.0,,,2.8,0.0,1.2,0.0,4.2,0.0,1.8,0.0,20.0,13.0,285.0,287.0,
15,2,40.0,32.0,20.0,0.0,576.0,,,3.4,2.4,2.1,0.2,4.7,4.2,2.3,0.8,94.0,91.0,377.0,378.0,
16,0,40.0,16.0,20.0,0.0,576.0,,,5.0,0.0,3.0,0.0,7.8,0.0,4.2,0.0,192.0,176.0,457.0,457.0,
