CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,Unnamed: 13
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,45,68.0,16.0,10.0,803.4,1236.0,,,6.4,3.6,846.0,1042.0,
2,45,70.0,16.0,30.0,494.4,927.0,,,19.7,10.3,747.0,946.0,
3,42,66.0,8.0,10.0,0.0,741.6,,,0.0,10.0,13.0,210.0,
4,42,68.0,8.0,10.0,494.4,927.0,,,10.0,0.0,648.0,863.0,
5,42,65.0,16.0,10.0,0.0,741.6,,,6.3,3.7,2.0,205.0,
6,40,69.0,8.0,20.0,494.4,927.0,,,0.0,20.0,562.0,763.0,
7,40,66.0,16.0,20.0,0.0,741.6,,,13.7,6.3,101.0,290.0,
8,38,68.0,8.0,20.0,0.0,741.6,,,0.0,20.0,193.0,397.0,
9,38,70.0,8.0,10.0,0.0,741.6,,,0.0,10.0,474.0,660.0,
10,35,66.0,8.0,10.0,0.0,741.6,,,10.0,0.0,290.0,479.0,
11,35,69.0,8.0,10.0,0.0,741.6,,,0.0,10.0,370.0,578.0,
12,25,85.0,8.0,20.0,494.4,927.0,,,20.0,0.0,585.0,790.0,
13,22,75.0,16.0,30.0,0.0,741.6,,,22.0,8.0,13.0,211.0,
14,22,85.0,16.0,10.0,0.0,741.6,,,7.1,2.9,500.0,696.0,
15,20,80.0,16.0,40.0,0.0,741.6,,,24.5,15.5,307.0,503.0,
16,20,85.0,8.0,40.0,0.0,741.6,,,0.0,40.0,394.0,595.0,
17,18,75.0,8.0,20.0,0.0,741.6,,,0.0,20.0,22.0,220.0,
18,15,75.0,8.0,20.0,0.0,741.6,,,0.0,20.0,118.0,317.0,
19,15,80.0,16.0,10.0,0.0,741.6,,,6.2,3.8,208.0,408.0,
20,30,50.0,8.0,10.0,0.0,741.6,,,10.0,0.0,1.0,191.0,
21,30,52.0,8.0,20.0,803.4,1236.0,,,0.0,20.0,842.0,1034.0,
22,28,52.0,8.0,20.0,494.4,927.0,,,20.0,0.0,749.0,950.0,
23,28,55.0,16.0,10.0,494.4,927.0,,,6.2,3.8,657.0,851.0,
24,25,50.0,8.0,10.0,0.0,741.6,,,0.0,10.0,12.0,196.0,
25,25,52.0,8.0,40.0,0.0,741.6,,,0.0,40.0,95.0,289.0,
26,25,55.0,8.0,10.0,494.4,927.0,,,0.0,10.0,556.0,765.0,
27,23,52.0,16.0,10.0,0.0,741.6,,,6.0,4.0,195.0,388.0,
28,23,55.0,8.0,20.0,0.0,741.6,,,20.0,0.0,466.0,677.0,
29,20,50.0,16.0,10.0,0.0,741.6,,,6.0,4.0,280.0,490.0,
30,20,55.0,16.0,10.0,0.0,741.6,,,7.0,3.0,372.0,568.0,
31,10,35.0,16.0,20.0,0.0,741.6,,,12.1,7.9,120.0,321.0,
32,10,40.0,8.0,30.0,0.0,741.6,,,30.0,0.0,21.0,220.0,
33,8,40.0,8.0,40.0,0.0,741.6,,,0.0,40.0,27.0,222.0,
34,8,45.0,8.0,20.0,494.4,927.0,,,20.0,0.0,689.0,874.0,
35,5,35.0,8.0,10.0,0.0,741.6,,,10.0,0.0,216.0,404.0,
36,5,45.0,8.0,10.0,494.4,927.0,,,0.0,10.0,592.0,799.0,
37,2,40.0,16.0,20.0,0.0,741.6,,,11.9,8.1,307.0,504.0,
38,0,40.0,8.0,30.0,0.0,741.6,,,30.0,0.0,405.0,597.0,
39,0,45.0,16.0,20.0,0.0,741.6,,,14.0,6.0,500.0,688.0,
40,35,30.0,8.0,10.0,0.0,741.6,,,0.0,10.0,197.0,400.0,
41,35,32.0,8.0,10.0,0.0,741.6,,,0.0,10.0,93.0,295.0,
42,33,32.0,8.0,20.0,0.0,741.6,,,0.0,20.0,18.0,216.0,
43,33,35.0,8.0,10.0,0.0,741.6,,,0.0,10.0,9.0,201.0,
44,32,30.0,8.0,10.0,0.0,741.6,,,10.0,0.0,288.0,487.0,
45,30,30.0,16.0,10.0,0.0,741.6,,,6.7,3.3,466.0,674.0,
46,30,32.0,16.0,30.0,0.0,741.6,,,17.7,12.3,372.0,576.0,
47,30,35.0,8.0,10.0,803.4,1236.0,,,0.0,10.0,934.0,1141.0,
48,28,30.0,16.0,10.0,494.4,927.0,,,6.0,4.0,561.0,764.0,
49,28,35.0,16.0,10.0,803.4,1236.0,,,6.9,3.1,942.0,1138.0,
50,26,32.0,8.0,10.0,494.4,927.0,,,0.0,10.0,755.0,942.0,
51,25,30.0,8.0,10.0,494.4,927.0,,,0.0,10.0,652.0,846.0,
52,25,35.0,16.0,10.0,803.4,1236.0,,,5.4,4.6,846.0,1038.0,
53,44,5.0,16.0,20.0,0.0,741.6,,,11.1,8.9,226.0,415.0,
54,42,10.0,16.0,40.0,0.0,741.6,,,22.0,18.0,126.0,312.0,
55,42,15.0,16.0,10.0,0.0,741.6,,,6.1,3.9,34.0,234.0,
56,40,5.0,16.0,30.0,0.0,741.6,,,17.2,12.8,314.0,503.0,
57,40,15.0,16.0,40.0,0.0,741.6,,,26.6,13.4,30.0,224.0,
58,38,5.0,8.0,30.0,0.0,741.6,,,0.0,30.0,412.0,593.0,
59,38,15.0,16.0,10.0,494.4,927.0,,,6.5,3.5,588.0,793.0,
60,35,5.0,16.0,20.0,0.0,741.6,,,12.0,8.0,499.0,694.0,
61,50,30.0,8.0,10.0,0.0,741.6,,,0.0,10.0,471.0,669.0,
62,50,35.0,8.0,20.0,0.0,741.6,,,0.0,20.0,199.0,382.0,
63,50,40.0,8.0,50.0,0.0,741.6,,,0.0,50.0,97.0,294.0,
64,48,30.0,8.0,10.0,494.4,927.0,,,10.0,0.0,563.0,768.0,
65,48,40.0,8.0,10.0,0.0,741.6,,,10.0,0.0,13.0,198.0,
66,47,35.0,16.0,10.0,494.4,927.0,,,6.1,3.9,754.0,953.0,
67,47,40.0,8.0,10.0,0.0,741.6,,,0.0,10.0,2.0,208.0,
68,45,30.0,16.0,10.0,494.4,927.0,,,6.4,3.6,651.0,861.0,
69,45,35.0,16.0,10.0,803.4,1236.0,,,6.1,3.9,835.0,1050.0,
70,95,30.0,16.0,30.0,0.0,741.6,,,18.4,11.6,317.0,525.0,
71,95,35.0,8.0,20.0,0.0,741.6,,,0.0,20.0,233.0,432.0,
72,53,30.0,16.0,10.0,0.0,741.6,,,6.2,3.8,378.0,585.0,
73,92,30.0,8.0,10.0,0.0,741.6,,,10.0,0.0,418.0,620.0,
74,53,35.0,16.0,50.0,0.0,741.6,,,32.2,17.8,278.0,479.0,
75,45,65.0,8.0,20.0,803.4,1236.0,,,0.0,20.0,927.0,1133.0,
76,90,35.0,8.0,10.0,0.0,741.6,,,0.0,10.0,130.0,340.0,
77,88,30.0,16.0,10.0,0.0,741.6,,,6.6,3.4,505.0,699.0,
78,88,35.0,8.0,20.0,0.0,741.6,,,20.0,0.0,42.0,241.0,
79,87,30.0,16.0,10.0,494.4,927.0,,,5.8,4.2,609.0,792.0,
80,85,25.0,16.0,10.0,494.4,927.0,,,7.1,2.9,704.0,891.0,
81,85,35.0,8.0,30.0,0.0,741.6,,,30.0,0.0,31.0,227.0,
82,75,55.0,16.0,20.0,0.0,741.6,,,11.0,9.0,288.0,495.0,
83,72,55.0,16.0,10.0,0.0,741.6,,,6.5,3.5,200.0,401.0,
84,70,58.0,8.0,20.0,0.0,741.6,,,0.0,20.0,386.0,593.0,
85,68,60.0,8.0,30.0,0.0,741.6,,,30.0,0.0,483.0,682.0,
86,66,55.0,16.0,10.0,0.0,741.6,,,6.4,3.6,99.0,313.0,
87,65,55.0,8.0,20.0,0.0,741.6,,,20.0,0.0,13.0,221.0,
88,65,60.0,8.0,30.0,494.4,927.0,,,30.0,0.0,585.0,775.0,
89,63,58.0,8.0,10.0,494.4,927.0,,,0.0,10.0,663.0,860.0,
90,60,55.0,16.0,10.0,0.0,741.6,,,5.5,4.5,14.0,216.0,
91,60,60.0,8.0,10.0,494.4,927.0,,,0.0,10.0,772.0,957.0,
92,67,85.0,8.0,20.0,0.0,741.6,,,20.0,0.0,311.0,502.0,
93,65,85.0,8.0,40.0,0.0,741.6,,,0.0,40.0,401.0,590.0,
94,65,82.0,8.0,10.0,0.0,741.6,,,0.0,10.0,217.0,411.0,
95,62,80.0,16.0,30.0,0.0,741.6,,,17.7,12.3,120.0,308.0,
96,60,80.0,8.0,10.0,0.0,741.6,,,10.0,0.0,20.0,229.0,
97,60,85.0,8.0,30.0,0.0,741.6,,,0.0,30.0,488.0,689.0,
98,58,75.0,8.0,20.0,0.0,741.6,,,20.0,0.0,22.0,224.0,
99,55,80.0,8.0,10.0,494.4,927.0,,,10.0,0.0,687.0,878.0,
