CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,Unnamed: 7,Unnamed: 8,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_1_3,PROD_DEMAND_1_4,PROD_DEMAND_2_1,PROD_DEMAND_2_2,PROD_DEMAND_2_3,PROD_DEMAND_2_4,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,Unnamed: 21
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,25,85.0,24.0,20.0,96.0,180.0,,,4.1,3.0,0.0,0.9,5.6,4.7,0.0,1.7,124.0,130.0,191.0,190.0,
2,22,75.0,32.0,30.0,0.0,144.0,,,5.7,4.3,1.7,0.3,7.4,6.5,2.4,1.7,30.0,31.0,96.0,101.0,
3,22,85.0,32.0,10.0,96.0,180.0,,,1.7,1.2,0.9,0.3,2.9,1.8,0.9,0.3,94.0,91.0,154.0,155.0,
4,20,80.0,16.0,40.0,96.0,180.0,,,0.0,0.0,14.5,1.5,0.0,0.0,15.9,8.1,120.0,125.0,186.0,188.0,
5,20,85.0,24.0,20.0,0.0,144.0,,,4.7,0.0,2.2,1.1,6.7,0.0,4.1,1.3,40.0,36.0,100.0,102.0,
6,18,75.0,8.0,20.0,0.0,144.0,,,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,78.0,75.0,144.0,145.0,
7,15,75.0,16.0,20.0,0.0,144.0,,,6.1,0.0,1.9,0.0,8.0,0.0,4.0,0.0,64.0,64.0,127.0,125.0,
8,15,80.0,24.0,10.0,0.0,144.0,,,2.6,0.0,0.9,0.5,4.1,0.0,1.5,0.4,73.0,73.0,137.0,140.0,
9,10,35.0,8.0,20.0,0.0,144.0,,,0.0,8.0,0.0,0.0,0.0,12.0,0.0,0.0,70.0,72.0,137.0,138.0,
10,10,40.0,8.0,30.0,96.0,180.0,,,12.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,104.0,99.0,168.0,170.0,
