CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,25,85.0,8.0,20.0,0.0,144.0,,,20.0,0.0,0.0,205.0,
2,22,75.0,8.0,30.0,0.0,144.0,,,30.0,0.0,0.0,212.0,
3,22,85.0,8.0,10.0,0.0,144.0,,,0.0,10.0,0.0,203.0,
4,20,80.0,8.0,40.0,96.0,180.0,,,0.0,40.0,139.0,172.0,
5,20,85.0,16.0,20.0,0.0,144.0,,,12.8,7.2,0.0,190.0,
6,18,75.0,8.0,20.0,0.0,144.0,,,0.0,20.0,0.0,202.0,
7,15,75.0,16.0,20.0,0.0,144.0,,,14.0,6.0,0.0,200.0,
8,15,80.0,16.0,10.0,0.0,144.0,,,5.5,4.5,91.0,121.0,
9,10,35.0,8.0,20.0,0.0,144.0,,,20.0,0.0,89.0,123.0,
10,10,40.0,16.0,30.0,0.0,144.0,,,20.4,9.6,0.0,205.0,
11,8,40.0,8.0,40.0,0.0,144.0,,,0.0,40.0,59.0,92.0,
12,8,45.0,8.0,20.0,0.0,144.0,,,20.0,0.0,0.0,209.0,
13,5,35.0,8.0,10.0,96.0,180.0,,,10.0,0.0,141.0,172.0,
14,5,45.0,8.0,10.0,0.0,144.0,,,0.0,10.0,0.0,202.0,
15,2,40.0,16.0,20.0,0.0,144.0,,,11.9,8.1,58.0,89.0,
16,0,40.0,16.0,20.0,0.0,144.0,,,13.4,6.6,0.0,190.0,
17,0,45.0,8.0,20.0,0.0,144.0,,,20.0,0.0,0.0,200.0,
18,44,5.0,8.0,20.0,0.0,144.0,,,0.0,20.0,0.0,188.0,
19,42,10.0,8.0,40.0,0.0,144.0,,,40.0,0.0,0.0,204.0,
20,42,15.0,8.0,10.0,0.0,144.0,,,0.0,10.0,0.0,202.0,
21,40,5.0,8.0,10.0,0.0,144.0,,,10.0,0.0,0.0,186.0,
22,40,15.0,16.0,40.0,0.0,144.0,,,20.8,19.2,0.0,198.0,
23,38,5.0,8.0,30.0,0.0,144.0,,,30.0,0.0,65.0,98.0,
24,38,15.0,16.0,10.0,0.0,144.0,,,6.1,3.9,0.0,207.0,
25,35,5.0,8.0,20.0,156.0,240.0,,,0.0,20.0,151.0,184.0,
26,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
capacity,200,,,,,,,,,,,,
