CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,PROD_DEMAND_2_1,PROD_DEMAND_2_2,RES_TW_1_START,RES_TW_2_START,RES_TW_1_END,RES_TW_2_END,
0,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,25,85.0,8.0,20.0,0.0,576.0,,,0.0,8.0,0.0,12.0,0.0,0.0,913.0,950.0,
2,22,75.0,8.0,30.0,0.0,576.0,,,0.0,12.0,0.0,18.0,0.0,0.0,919.0,940.0,
3,22,85.0,16.0,10.0,0.0,576.0,,,2.8,1.2,3.9,2.1,0.0,0.0,956.0,956.0,
4,20,80.0,8.0,40.0,624.0,960.0,,,16.0,0.0,24.0,0.0,642.0,640.0,769.0,775.0,
5,20,85.0,16.0,20.0,0.0,576.0,,,4.2,3.8,7.5,4.5,0.0,0.0,912.0,919.0,
6,18,75.0,8.0,20.0,0.0,576.0,,,8.0,0.0,12.0,0.0,0.0,0.0,930.0,960.0,
7,15,75.0,8.0,20.0,0.0,576.0,,,8.0,0.0,12.0,0.0,0.0,0.0,950.0,960.0,
8,15,80.0,8.0,10.0,0.0,576.0,,,0.0,4.0,0.0,6.0,367.0,365.0,491.0,489.0,
9,10,35.0,16.0,20.0,0.0,576.0,,,4.7,3.3,6.5,5.5,369.0,368.0,496.0,500.0,
10,10,40.0,16.0,30.0,0.0,576.0,,,8.4,3.6,11.3,6.7,0.0,0.0,945.0,925.0,
11,8,40.0,8.0,40.0,0.0,576.0,,,16.0,0.0,24.0,0.0,187.0,189.0,323.0,320.0,
12,8,45.0,8.0,20.0,0.0,576.0,,,8.0,0.0,12.0,0.0,0.0,0.0,940.0,943.0,
13,5,35.0,8.0,10.0,624.0,960.0,,,4.0,0.0,6.0,0.0,642.0,644.0,773.0,773.0,
14,5,45.0,16.0,10.0,0.0,576.0,,,2.8,1.2,3.8,2.2,0.0,0.0,957.0,935.0,
15,2,40.0,16.0,20.0,0.0,576.0,,,5.3,2.7,6.8,5.2,172.0,164.0,300.0,296.0,
16,0,40.0,16.0,20.0,0.0,576.0,,,4.7,3.3,8.6,3.4,0.0,0.0,940.0,912.0,
17,0,45.0,16.0,20.0,0.0,576.0,,,4.6,3.4,8.4,3.6,0.0,0.0,930.0,921.0,
18,44,5.0,16.0,20.0,0.0,576.0,,,5.3,2.7,8.8,3.2,0.0,0.0,939.0,954.0,
19,42,10.0,8.0,40.0,0.0,576.0,,,0.0,16.0,0.0,24.0,0.0,0.0,912.0,950.0,
20,42,15.0,8.0,10.0,0.0,576.0,,,4.0,0.0,6.0,0.0,0.0,0.0,914.0,956.0,
21,40,5.0,8.0,10.0,0.0,576.0,,,4.0,0.0,6.0,0.0,0.0,0.0,959.0,920.0,
22,40,15.0,16.0,40.0,0.0,576.0,,,11.4,4.6,17.5,6.5,0.0,0.0,915.0,946.0,
23,38,5.0,16.0,30.0,0.0,576.0,,,8.1,3.9,11.3,6.7,191.0,198.0,332.0,327.0,
24,38,15.0,16.0,10.0,0.0,576.0,,,2.4,1.6,3.9,2.1,0.0,0.0,939.0,944.0,
25,35,5.0,8.0,20.0,624.0,960.0,,,8.0,0.0,12.0,0.0,784.0,778.0,913.0,915.0,
26,40,50.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
capacity,1000,,,,,,,,,,,,,,,,
