CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END,,,PROD_DEMAND_1_1,PROD_DEMAND_1_2,RES_TW_1_START,RES_TW_1_END,
0,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
1,41,49.0,8.0,10.0,149.5,230.0,,,0.0,10.0,130.0,199.0,
2,35,17.0,8.0,7.0,0.0,138.0,,,7.0,0.0,15.0,88.0,
3,55,45.0,8.0,13.0,92.0,172.5,,,13.0,0.0,98.0,144.0,
4,55,20.0,16.0,19.0,92.0,172.5,,,12.2,6.8,116.0,184.0,
5,15,30.0,8.0,26.0,0.0,138.0,,,0.0,26.0,17.0,98.0,
6,25,30.0,8.0,3.0,0.0,138.0,,,0.0,3.0,71.0,132.0,
7,20,50.0,16.0,5.0,0.0,138.0,,,2.9,2.1,60.0,110.0,
8,10,43.0,16.0,9.0,0.0,138.0,,,4.6,4.4,75.0,124.0,
9,55,60.0,16.0,16.0,0.0,138.0,,,11.2,4.8,68.0,132.0,
10,30,60.0,16.0,16.0,92.0,172.5,,,11.0,5.0,105.0,152.0,
11,20,65.0,16.0,12.0,0.0,138.0,,,7.4,4.6,41.0,102.0,
12,50,35.0,8.0,19.0,0.0,138.0,,,19.0,0.0,36.0,98.0,
13,30,25.0,8.0,23.0,149.5,230.0,,,23.0,0.0,131.0,198.0,
14,15,10.0,16.0,20.0,0.0,138.0,,,12.2,7.8,29.0,120.0,
15,30,5.0,16.0,8.0,0.0,138.0,,,5.4,2.6,28.0,96.0,
16,10,20.0,16.0,19.0,0.0,138.0,,,10.1,8.9,50.0,111.0,
17,5,30.0,8.0,2.0,92.0,172.5,,,0.0,2.0,124.0,195.0,
18,20,40.0,16.0,12.0,0.0,138.0,,,8.8,3.2,66.0,117.0,
19,15,60.0,16.0,17.0,0.0,138.0,,,12.2,4.8,52.0,114.0,
20,45,65.0,16.0,9.0,92.0,172.5,,,5.9,3.1,105.0,156.0,
21,45,20.0,16.0,11.0,0.0,138.0,,,7.3,3.7,35.0,100.0,
22,45,10.0,8.0,18.0,0.0,138.0,,,18.0,0.0,70.0,132.0,
23,55,5.0,16.0,29.0,0.0,138.0,,,16.3,12.7,41.0,102.0,
24,65,35.0,8.0,3.0,92.0,172.5,,,0.0,3.0,122.0,191.0,
25,65,20.0,8.0,6.0,92.0,172.5,,,6.0,0.0,117.0,191.0,
26,35,35.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,
capacity,200,,,,,,,,,,,,
