CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END
1,41,49.0,8.0,10.0,149.5,230.0
2,35,17.0,8.0,7.0,0.0,138.0
3,55,45.0,16.0,13.0,0.0,138.0
4,55,20.0,8.0,19.0,92.0,172.5
5,15,30.0,16.0,26.0,0.0,138.0
6,25,30.0,8.0,3.0,0.0,138.0
7,20,50.0,16.0,5.0,0.0,138.0
8,10,43.0,8.0,9.0,0.0,138.0
9,55,60.0,8.0,16.0,0.0,138.0
10,30,60.0,8.0,16.0,92.0,172.5
11,20,65.0,16.0,12.0,0.0,138.0
12,50,35.0,8.0,19.0,0.0,138.0
13,30,25.0,8.0,23.0,149.5,230.0
14,15,10.0,8.0,20.0,0.0,138.0
15,30,5.0,16.0,8.0,0.0,138.0
16,10,20.0,16.0,19.0,0.0,138.0
17,5,30.0,16.0,2.0,149.5,230.0
18,20,40.0,16.0,12.0,0.0,138.0
19,15,60.0,16.0,17.0,0.0,138.0
20,45,65.0,8.0,9.0,92.0,172.5
21,45,20.0,16.0,11.0,0.0,138.0
22,45,10.0,16.0,18.0,0.0,138.0
23,55,5.0,8.0,29.0,0.0,138.0
24,65,35.0,8.0,3.0,92.0,172.5
25,65,20.0,8.0,6.0,149.5,230.0
26,35,35.0,0.0,0.0,0.0,0.0
capacity,200,,,,,
