CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END
2,45,70.0,8,1.7,0.0,2034.0
3,62,69.0,8,10.0,0.0,2034.0
4,60,66.0,8,0.6000000000000001,0.0,2034.0
5,42,65.0,8,0.4,0.0,2034.0
8,34,60.0,8,2.9,2203.5,3390.0
9,28,70.0,8,1.4,2203.5,3390.0
10,35,66.0,8,3.0,2203.5,3390.0
11,35,69.0,8,1.9,2203.5,3390.0
13,22,75.0,8,30.0,2203.5,3390.0
14,22,85.0,8,1.2,1356.0,2542.5
15,20,80.0,8,40.0,1356.0,2542.5
17,18,75.0,8,3.5,2203.5,3390.0
18,15,75.0,8,1.6,1356.0,2542.5
20,30,50.0,8,0.9,0.0,2034.0
21,30,56.0,8,3.7,2203.5,3390.0
23,14,66.0,8,0.8,0.0,2034.0
26,8,62.0,8,0.7,0.0,2034.0
27,23,52.0,8,10.0,0.0,2034.0
29,20,50.0,8,0.8,0.0,2034.0
34,8,45.0,8,1.3,0.0,2034.0
36,5,45.0,8,2.1,0.0,2034.0
37,2,40.0,8,5.1,0.0,2034.0
40,36,18.0,8,2.0,1356.0,2542.5
41,35,32.0,8,0.5,2203.5,3390.0
43,33,35.0,8,1.0,2203.5,3390.0
45,30,30.0,8,0.2,1356.0,2542.5
47,30,35.0,8,0.6,2203.5,3390.0
48,36,40.0,8,0.8,2203.5,3390.0
49,48,20.0,8,0.5,0.0,2034.0
52,25,35.0,8,0.7,2203.5,3390.0
53,44,5.0,8,0.4,0.0,2034.0
54,42,10.0,8,5.6,0.0,2034.0
55,42,15.0,8,1.6,0.0,2034.0
56,40,5.0,8,2.4000000000000004,0.0,2034.0
57,38,15.0,8,4.8,1356.0,2542.5
58,38,5.0,8,3.5,0.0,2034.0
60,35,5.0,8,0.7999999999999999,0.0,2034.0
61,50,30.0,8,0.8999999999999999,0.0,2034.0
64,48,30.0,8,0.7999999999999999,0.0,2034.0
67,47,40.0,8,0.8,0.0,2034.0
69,45,35.0,8,1.1,0.0,2034.0
71,95,35.0,8,1.1,1356.0,2542.5
73,92,30.0,8,10.0,2203.5,3390.0
76,90,35.0,8,0.8,1356.0,2542.5
77,72,45.0,8,1.2,2203.5,3390.0
79,87,30.0,8,10.0,2203.5,3390.0
82,75,55.0,8,1.4,1356.0,2542.5
86,66,55.0,8,0.6,0.0,2034.0
87,64,46.0,8,1.5,2203.5,3390.0
88,65,60.0,8,30.0,0.0,2034.0
91,60,60.0,8,0.8,0.0,2034.0
92,67,85.0,8,5.1,0.0,2034.0
93,42,58.0,8,3.9000000000000004,0.0,2034.0
94,65,82.0,8,0.5,0.0,2034.0
95,62,80.0,8,1.2,0.0,2034.0
98,58,75.0,8,2.3,0.0,2034.0
99,55,80.0,8,1.2999999999999998,0.0,2034.0
100,55,85.0,8,1.2999999999999998,0.0,2034.0
101,40,50.0,0,0.0,0.0,0.0
capacity,700,,0,0.0,,
