CUST NO.,XCOORD.,YCOORD.,updated_SERVICE_TIME,DEMAND,TW_START,TW_END
2,45,70.0,8,30.0,0.0,2034.0
3,62,69.0,8,0.8999999999999999,0.0,2034.0
5,42,65.0,8,1.3,0.0,2034.0
6,16,42.0,8,1.9,0.0,2034.0
7,58,70.0,8,4.3999999999999995,0.0,2034.0
8,34,60.0,8,1.9000000000000001,2203.5,3390.0
9,28,70.0,8,0.8,2203.5,3390.0
12,25,85.0,8,1.5,0.0,2034.0
14,22,85.0,8,0.5,0.0,2034.0
17,18,75.0,8,4.5,0.0,2034.0
19,15,80.0,8,1.8,0.0,2034.0
21,30,56.0,8,0.8999999999999999,0.0,2034.0
22,28,52.0,8,1.2000000000000002,0.0,2034.0
24,25,50.0,8,0.8999999999999999,0.0,2034.0
25,22,66.0,8,3.0999999999999996,2203.5,3390.0
26,40,50.0,0,0.0,0.0,0.0
capacity,700,,0,0.0,,
